# x psi_r psi_i psi2 
-8.000000e+00  7.094328e-15 -7.263420e-15 1.030867e-28
-7.999674e+00 -1.918653e-15  1.314051e-14 1.763543e-28
-7.999349e+00 -2.419703e-15 -8.754040e-15 8.248817e-29
-7.999023e+00  6.137059e-15 -1.029994e-14 1.437523e-28
-7.998698e+00 -4.233885e-15 -1.340662e-14 1.976632e-28
-7.998372e+00 -1.675242e-15  7.360777e-16 3.348247e-30
-7.998047e+00  1.587590e-14 -1.099517e-14 3.729381e-28
-7.997721e+00 -6.649753e-15 -4.756754e-15 6.684592e-29
-7.997396e+00  7.417101e-15 -3.946335e-16 5.516913e-29
-7.997070e+00 -1.356728e-14 -4.839350e-15 2.074903e-28
-7.996745e+00  1.179420e-14 -2.088268e-16 1.391467e-28
-7.996419e+00  7.053011e-15 -4.229124e-15 6.763045e-29
-7.996094e+00  2.546211e-18  1.926142e-15 3.710029e-30
-7.995768e+00 -1.574809e-15  2.922784e-15 1.102269e-29
-7.995443e+00  2.195169e-15  6.529281e-16 5.245084e-30
-7.995117e+00 -5.468323e-15  1.447744e-14 2.394988e-28
-7.994792e+00 -4.201539e-15  1.615459e-15 2.026264e-29
-7.994466e+00 -3.508657e-15 -1.662314e-15 1.507396e-29
-7.994141e+00  2.822133e-15  5.382868e-15 3.693970e-29
-7.993815e+00  2.598404e-15 -3.442218e-15 1.860057e-29
-7.993489e+00 -1.231319e-14  2.080599e-15 1.559434e-28
-7.993164e+00  3.118322e-15  1.748538e-14 3.154626e-28
-7.992838e+00 -1.541721e-14  6.142349e-15 2.754187e-28
-7.992513e+00  5.489529e-15  2.037337e-15 3.428567e-29
-7.992187e+00 -6.578387e-16 -8.302098e-15 6.935759e-29
-7.991862e+00  3.890235e-15  4.895288e-15 3.909778e-29
-7.991536e+00  2.471539e-16 -6.059242e-15 3.677550e-29
-7.991211e+00  2.520959e-15  2.899627e-15 1.476307e-29
-7.990885e+00 -6.624493e-16  9.974099e-15 9.992149e-29
-7.990560e+00 -2.324009e-15 -8.159785e-15 7.198311e-29
-7.990234e+00  7.865550e-15 -4.403517e-15 8.125784e-29
-7.989909e+00  3.246383e-15 -2.109436e-14 4.555109e-28
-7.989583e+00  9.392999e-16  8.983774e-15 8.159048e-29
-7.989258e+00  8.570698e-16 -1.662574e-14 2.771497e-28
-7.988932e+00 -1.268930e-15  1.183095e-14 1.415816e-28
-7.988607e+00  1.678040e-15 -1.484276e-14 2.231234e-28
-7.988281e+00 -2.226249e-15  4.605611e-15 2.616784e-29
-7.987955e+00  5.433175e-15 -1.018260e-14 1.332047e-28
-7.987630e+00  1.171631e-15 -2.305984e-15 6.690281e-30
-7.987304e+00  5.714687e-15 -7.855261e-17 3.266382e-29
-7.986979e+00 -3.328973e-17  2.169801e-15 4.709143e-30
-7.986653e+00 -1.869381e-15  7.136624e-15 5.442599e-29
-7.986328e+00 -2.639101e-16  1.889378e-15 3.639398e-30
