t    R    T
0.000000e+00 1.000000e+00 1.359748e-46
1.000000e-04 1.000000e+00 2.252841e-27
2.000000e-04 1.000000e+00 9.277356e-27
3.000000e-04 1.000000e+00 2.012148e-26
4.000000e-04 1.000000e+00 3.510006e-26
5.000000e-04 1.000000e+00 5.401203e-26
6.000000e-04 1.000000e+00 7.705479e-26
7.000000e-04 1.000000e+00 1.042203e-25
8.000000e-04 1.000000e+00 1.435353e-25
9.000000e-04 1.000000e+00 8.183771e-25
1.000000e-03 1.000000e+00 6.827305e-23
1.100000e-03 1.000000e+00 5.748466e-21
1.200000e-03 1.000000e+00 3.930675e-19
1.300000e-03 1.000000e+00 2.177125e-17
1.400000e-03 1.000000e+00 9.762930e-16
1.500000e-03 1.000000e+00 3.543764e-14
1.600000e-03 1.000000e+00 1.041300e-12
1.700000e-03 1.000000e+00 2.477907e-11
1.800000e-03 1.000000e+00 4.778615e-10
1.900000e-03 9.999999e-01 7.476153e-09
2.000000e-03 9.999994e-01 9.501989e-08
2.100000e-03 9.999947e-01 9.828130e-07
2.200000e-03 9.999615e-01 8.290484e-06
2.300000e-03 9.997711e-01 5.718283e-05
2.400000e-03 9.988828e-01 3.234975e-04
2.500000e-03 9.955008e-01 1.506588e-03
2.600000e-03 9.849753e-01 5.801575e-03
2.700000e-03 9.581406e-01 1.857034e-02
2.800000e-03 9.019747e-01 4.972828e-02
2.900000e-03 8.052432e-01 1.122850e-01
3.000000e-03 6.678346e-01 2.158886e-01
3.100000e-03 5.064467e-01 3.578066e-01
3.200000e-03 3.493330e-01 5.190491e-01
3.300000e-03 2.222411e-01 6.714418e-01
3.400000e-03 1.366090e-01 7.916127e-01
3.500000e-03 8.843900e-02 8.709235e-01
3.600000e-03 6.576884e-02 9.148721e-01
3.700000e-03 5.682664e-02 9.353863e-01
3.800000e-03 5.386677e-02 9.434790e-01
3.900000e-03 5.304452e-02 9.461861e-01
4.000000e-03 5.285331e-02 9.469563e-01
4.100000e-03 5.281659e-02 9.471431e-01
4.200000e-03 5.281125e-02 9.471814e-01
4.300000e-03 5.281107e-02 9.471878e-01
4.400000e-03 5.281146e-02 9.471884e-01
