# x psi_r psi_i psi2 
-8.000000e+00  1.020529e-14  2.640026e-15 1.111178e-28
-7.999674e+00 -4.060749e-15  1.571505e-15 1.895931e-29
-7.999349e+00  6.181172e-15 -2.385808e-15 4.389896e-29
-7.999023e+00  6.168389e-15 -8.389994e-15 1.084410e-28
-7.998698e+00 -7.042528e-15  1.220389e-14 1.985322e-28
-7.998372e+00  5.732142e-15 -1.257406e-14 1.909645e-28
-7.998047e+00 -2.619677e-15  1.573731e-15 9.339335e-30
-7.997721e+00  2.318387e-15 -8.755012e-15 8.202516e-29
-7.997396e+00 -1.891283e-15  3.602822e-15 1.655727e-29
-7.997070e+00  1.487380e-14 -5.016569e-15 2.463960e-28
-7.996745e+00 -1.686069e-14 -3.528807e-15 2.967355e-28
-7.996419e+00  2.289070e-14  6.675555e-15 5.685473e-28
-7.996094e+00 -1.098968e-14 -3.596124e-15 1.337052e-28
-7.995768e+00  1.369304e-14  7.584102e-15 2.450178e-28
-7.995443e+00 -8.100979e-15 -3.381036e-15 7.705727e-29
-7.995117e+00  3.526621e-16  1.476630e-14 2.181681e-28
-7.994792e+00  2.090659e-15 -3.320582e-15 1.539712e-29
-7.994466e+00 -1.006575e-14  1.240388e-15 1.028579e-28
-7.994141e+00 -3.011253e-15  1.327000e-15 1.082857e-29
-7.993815e+00  4.861864e-15 -4.374366e-15 4.277280e-29
-7.993489e+00 -9.099550e-15  5.228507e-15 1.101391e-28
-7.993164e+00 -6.100297e-15  2.889187e-16 3.729710e-29
-7.992838e+00 -6.545387e-15 -6.493455e-15 8.500705e-29
-7.992513e+00 -8.431969e-16 -1.956392e-16 7.492557e-31
-7.992187e+00  6.583393e-15 -5.507539e-15 7.367404e-29
-7.991862e+00 -4.041598e-15  8.486381e-15 8.835317e-29
-7.991536e+00 -4.764436e-16 -9.603246e-15 9.244933e-29
-7.991211e+00 -2.353234e-15  9.584302e-15 9.739655e-29
-7.990885e+00 -3.486182e-15 -5.185544e-15 3.904333e-29
-7.990560e+00  9.660043e-15  9.143448e-15 1.769191e-28
-7.990234e+00 -3.145289e-16 -9.253001e-15 8.571696e-29
-7.989909e+00  7.239345e-15 -1.210955e-15 5.387453e-29
-7.989583e+00 -3.033532e-15 -9.553834e-16 1.011507e-29
-7.989258e+00  6.968876e-15  1.146346e-15 4.987934e-29
-7.988932e+00  1.312997e-15  1.093066e-15 2.918754e-30
-7.988607e+00  3.862999e-15 -9.950835e-15 1.139419e-28
-7.988281e+00  8.470542e-15  7.960862e-15 1.351254e-28
-7.987955e+00 -9.292808e-15  4.856047e-15 1.099375e-28
-7.987630e+00  1.436038e-14 -6.788583e-15 2.523053e-28
-7.987304e+00 -7.235919e-15  1.289639e-15 5.402169e-29
-7.986979e+00  1.896660e-15  5.700226e-15 3.608989e-29
-7.986653e+00 -6.754948e-15 -4.183466e-15 6.313071e-29
-7.986328e+00  4.339186e-15 -2.599572e-16 1.889611e-29
-7.986002e+00 -7.781715e-15 -6.364086e-16 6.096010e-29
-7.985677e+00  3.380954e-15  1.989081e-15 1.538730e-29
-7.985351e+00 -7.651240e-15  6.945592e-15 1.067827e-28
-7.985026e+00  1.572123e-15 -5.953457e-16 2.826006e-30
-7.984700e+00 -1.028889e-15 -2.413630e-15 6.884221e-30
-7.984375e+00 -7.759141e-15  3.811490e-15 7.473173e-29
-7.984049e+00  1.796566e-15 -1.799183e-15 6.464707e-30
-7.983724e+00 -7.205576e-15 -4.739102e-15 7.437942e-29
-7.983398e+00 -1.824335e-15 -2.741350e-15 1.084319e-29
-7.983073e+00  7.565192e-15  7.698940e-15 1.165058e-28
-7.982747e+00 -1.186470e-14 -1.083571e-14 2.581836e-28
-7.982422e+00  1.009259e-14  9.744839e-15 1.968222e-28
-7.982096e+00 -4.201891e-15 -7.474932e-15 7.353049e-29
-7.981770e+00 -4.024025e-15 -3.566821e-15 2.891499e-29
-7.981445e+00  1.160558e-14  1.236906e-14 2.876831e-28
-7.981119e+00 -8.970131e-15 -8.047776e-15 1.452299e-28
-7.980794e+00  9.546773e-15  2.199284e-15 9.597772e-29
-7.980468e+00 -3.967350e-15 -5.415767e-15 4.507039e-29
-7.980143e+00  1.471059e-14  4.176022e-15 2.338405e-28
-7.979817e+00 -2.723160e-15  1.713139e-15 1.035045e-29
-7.979492e+00  1.674025e-15 -4.064226e-16 2.967538e-30
-7.979166e+00  1.299901e-14 -1.608557e-15 1.715618e-28
-7.978841e+00 -4.962098e-15 -2.295056e-16 2.467509e-29
-7.978515e+00  2.802093e-15  5.230167e-15 3.520637e-29
-7.978190e+00  3.099080e-15 -2.072031e-15 1.389761e-29
-7.977864e+00 -3.892432e-15  4.625988e-15 3.655080e-29
-7.977539e+00 -1.101464e-15 -1.210743e-14 1.478031e-28
-7.977213e+00 -5.029255e-15  1.171912e-14 1.626312e-28
-7.976888e+00 -3.232188e-15 -1.332312e-14 1.879525e-28
-7.976562e+00 -2.687870e-16  7.856080e-15 6.179024e-29
-7.976236e+00 -9.192086e-15 -2.893967e-15 9.286950e-29
-7.975911e+00 -1.974825e-15  1.108625e-14 1.268049e-28
-7.975585e+00 -6.933730e-15 -9.052480e-15 1.300240e-28
-7.975260e+00 -2.122207e-15  4.070917e-15 2.107613e-29
-7.974934e+00  5.187641e-16  1.295594e-15 1.947681e-30
-7.974609e+00  1.127712e-14 -3.842369e-15 1.419372e-28
-7.974283e+00 -1.214748e-14 -1.194870e-15 1.489889e-28
-7.973958e+00  1.163671e-14 -8.578186e-15 2.089982e-28
-7.973632e+00 -1.263547e-14  1.611817e-14 4.194506e-28
-7.973307e+00  9.092836e-15 -7.738991e-15 1.425717e-28
-7.972981e+00 -9.016646e-15 -4.832237e-16 8.153341e-29
-7.972656e+00  7.375754e-15  7.782475e-15 1.149687e-28
-7.972330e+00  3.589388e-15 -9.229768e-15 9.807233e-29
-7.972005e+00 -3.308478e-15  5.432870e-15 4.046211e-29
-7.971679e+00  6.487189e-15 -5.275656e-15 6.991617e-29
-7.971354e+00  1.612204e-15  8.312847e-15 7.170262e-29
-7.971028e+00  5.114222e-15 -1.624773e-14 2.901439e-28
-7.970703e+00 -1.046936e-15  1.349779e-14 1.832865e-28
-7.970377e+00  1.635378e-14 -4.780148e-15 2.902959e-28
-7.970051e+00 -1.807452e-14  1.658944e-15 3.294405e-28
-7.969726e+00  1.425160e-14  5.745563e-16 2.034383e-28
-7.969400e+00 -3.119434e-15 -4.132460e-15 2.680809e-29
-7.969075e+00 -2.353846e-16  7.180309e-15 5.161225e-29
-7.968749e+00 -3.731970e-15 -5.403577e-15 4.312624e-29
-7.968424e+00  1.565744e-15 -6.661596e-16 2.895324e-30
-7.968098e+00 -2.556955e-15 -8.981813e-15 8.721099e-29
-7.967773e+00 -5.031607e-15  1.562986e-14 2.696096e-28
-7.967447e+00  2.887254e-15 -8.725048e-15 8.446270e-29
-7.967122e+00 -3.150137e-15  1.609664e-14 2.690253e-28
-7.966796e+00 -8.337099e-15 -1.531583e-14 3.040818e-28
-7.966471e+00  3.896066e-15  1.407457e-14 2.132728e-28
-7.966145e+00 -1.439868e-14 -1.738662e-14 5.096168e-28
-7.965820e+00  3.081554e-15  1.409764e-14 2.082395e-28
-7.965494e+00 -7.971045e-15 -3.973636e-15 7.932734e-29
-7.965169e+00  3.715922e-17  1.260497e-14 1.588867e-28
-7.964843e+00  1.079636e-15 -1.200565e-14 1.453011e-28
-7.964518e+00  9.360489e-15  1.158547e-15 8.896099e-29
-7.964192e+00 -2.381184e-15 -1.367596e-14 1.927019e-28
-7.963866e+00  7.067350e-16  7.696993e-15 5.974318e-29
-7.963541e+00  1.030425e-14 -5.542922e-15 1.369015e-28
-7.963215e+00 -3.919243e-16  2.852254e-15 8.288960e-30
-7.962890e+00  7.435635e-15  1.007537e-15 5.630380e-29
-7.962564e+00  2.102474e-15 -2.982469e-15 1.331552e-29
-7.962239e+00 -4.920668e-16  6.053240e-15 3.688384e-29
-7.961913e+00  2.670048e-15 -7.817680e-15 6.824528e-29
-7.961588e+00  3.456827e-15  1.399659e-15 1.390870e-29
-7.961262e+00 -4.740209e-16  4.391306e-15 1.950827e-29
-7.960937e+00 -1.700846e-15  5.541804e-15 3.360447e-29
-7.960611e+00 -4.169475e-15 -5.910592e-15 5.231963e-29
-7.960286e+00 -2.402082e-15  1.758757e-15 8.863223e-30
-7.959960e+00  1.431472e-15  3.633065e-15 1.524828e-29
-7.959635e+00 -8.404301e-16  6.149154e-15 3.851842e-29
-7.959309e+00  4.212383e-15 -8.685317e-15 9.317890e-29
-7.958984e+00 -1.939465e-15  1.342984e-14 1.841221e-28
-7.958658e+00 -4.757342e-15 -1.090478e-14 1.415466e-28
-7.958332e+00 -4.486767e-15  3.784689e-15 3.445495e-29
-7.958007e+00 -5.044508e-15 -8.253930e-15 9.357441e-29
-7.957681e+00 -2.979204e-15  1.758157e-15 1.196678e-29
-7.957356e+00 -3.006112e-15  1.818915e-15 1.234516e-29
-7.957030e+00  7.152531e-16 -1.557170e-15 2.936366e-30
-7.956705e+00  5.779688e-15 -5.408558e-15 6.265730e-29
-7.956379e+00  1.514678e-15  3.932827e-15 1.776138e-29
-7.956054e+00 -1.045105e-14 -3.851946e-15 1.240620e-28
-7.955728e+00  4.501345e-15  7.802068e-15 8.113437e-29
-7.955403e+00 -6.053411e-15 -1.753671e-14 3.441798e-28
-7.955077e+00  1.510785e-14  8.065107e-15 2.932931e-28
-7.954752e+00  1.659615e-15  4.742779e-15 2.524827e-29
-7.954426e+00 -1.057701e-15  2.722330e-15 8.529812e-30
-7.954101e+00  1.383878e-15 -4.580618e-15 2.289718e-29
-7.953775e+00 -2.364577e-15  1.370816e-14 1.935048e-28
-7.953450e+00  2.482039e-15 -1.343020e-14 1.865307e-28
-7.953124e+00  4.537148e-15 -4.041120e-16 2.074902e-29
-7.952799e+00  1.184546e-15  3.877548e-15 1.643852e-29
-7.952473e+00  6.427418e-15 -1.089434e-14 1.599983e-28
-7.952147e+00 -3.856867e-15  1.932673e-14 3.883978e-28
-7.951822e+00  1.378720e-14 -3.945988e-15 2.056577e-28
-7.951496e+00 -1.865829e-14 -5.740709e-15 3.810874e-28
-7.951171e+00  7.096162e-15  7.633508e-15 1.086260e-28
-7.950845e+00 -2.193829e-15 -1.814288e-15 8.104527e-30
-7.950520e+00 -4.122357e-15 -1.368803e-16 1.701257e-29
-7.950194e+00 -1.276398e-15  2.337682e-16 1.683841e-30
-7.949869e+00 -6.410211e-15 -2.277048e-15 4.627575e-29
-7.949543e+00 -4.872576e-15  3.898259e-16 2.389396e-29
-7.949218e+00  1.746094e-15 -1.174133e-15 4.427435e-30
-7.948892e+00  7.587693e-16 -5.583777e-15 3.175429e-29
-7.948567e+00 -1.110111e-14  7.520862e-15 1.797980e-28
-7.948241e+00  1.260114e-14 -8.376655e-15 2.289570e-28
-7.947916e+00 -4.792696e-15 -7.615603e-15 8.096735e-29
-7.947590e+00 -4.018975e-15  1.268443e-14 1.770469e-28
-7.947265e+00  1.586530e-15 -6.862343e-15 4.960884e-29
-7.946939e+00  4.206648e-15  5.363542e-15 4.646347e-29
-7.946613e+00  6.092972e-15  6.242604e-16 3.751401e-29
-7.946288e+00  3.241876e-15 -2.866587e-16 1.059193e-29
-7.945962e+00 -4.281802e-15 -2.053354e-16 1.837599e-29
-7.945637e+00  9.081223e-15 -3.573704e-15 9.523997e-29
-7.945311e+00 -4.970007e-15  3.429451e-15 3.646211e-29
-7.944986e+00 -1.404081e-15  3.030263e-15 1.115394e-29
-7.944660e+00  8.989696e-15  8.110250e-16 8.147239e-29
-7.944335e+00 -1.229361e-14 -5.457861e-15 1.809212e-28
-7.944009e+00  6.048545e-15  2.932502e-15 4.518446e-29
-7.943684e+00 -6.000658e-15  2.345708e-15 4.151024e-29
-7.943358e+00 -7.395561e-16 -4.430476e-15 2.017606e-29
