# x psi_r psi_i psi2 
-8.000000e+00 -2.602573e-05  4.878188e-05 3.057010e-09
-7.999674e+00  7.119669e-05 -5.982332e-05 8.647797e-09
-7.999349e+00 -9.465624e-05  5.262497e-05 1.172919e-08
-7.999023e+00  8.924599e-05 -2.939732e-05 8.829050e-09
-7.998698e+00 -5.661274e-05 -2.766722e-06 3.212657e-09
-7.998372e+00  6.707179e-06  3.405778e-05 1.204919e-09
-7.998047e+00  4.525029e-05 -5.494165e-05 5.066173e-09
-7.997721e+00 -8.341152e-05  5.906427e-05 1.044607e-08
-7.997396e+00  9.613468e-05 -4.518502e-05 1.128356e-08
-7.997070e+00 -7.953577e-05  1.754991e-05 6.633938e-09
-7.996745e+00  3.867433e-05  1.540731e-05 1.733089e-09
-7.996419e+00  1.398879e-05 -4.363904e-05 2.100052e-09
-7.996094e+00 -6.239138e-05  5.854696e-05 7.320430e-09
-7.995768e+00  9.176885e-05 -5.560077e-05 1.151297e-08
-7.995443e+00 -9.315797e-05  3.571482e-05 9.953956e-09
-7.995117e+00  6.613160e-05 -4.964433e-06 4.398034e-09
-7.994792e+00 -1.893000e-05 -2.727016e-05 1.102007e-09
-7.994466e+00 -3.405156e-05  5.116522e-05 3.777388e-09
-7.994141e+00  7.665299e-05 -5.944731e-05 9.409664e-09
-7.993815e+00 -9.587845e-05  4.960726e-05 1.165356e-08
-7.993489e+00  8.586077e-05 -2.466031e-05 7.980203e-09
-7.993164e+00 -4.965200e-05 -7.777851e-06 2.525816e-09
-7.992838e+00 -1.706462e-06  3.781594e-05 1.432957e-09
-7.992513e+00  5.255077e-05 -5.630320e-05 5.931634e-09
-7.992187e+00 -8.737197e-05  5.761708e-05 1.095359e-08
-7.991862e+00  9.554667e-05 -4.137314e-05 1.084090e-08
-7.991536e+00 -7.457804e-05  1.253739e-05 5.719070e-09
-7.991211e+00  3.085846e-05  2.009194e-05 1.355931e-09
-7.990885e+00  2.227926e-05 -4.656886e-05 2.665024e-09
-7.990560e+00 -6.862783e-05  5.883129e-05 8.170899e-09
-7.990234e+00  9.404882e-05 -5.315594e-05 1.167073e-08
-7.989909e+00 -9.078551e-05  3.128876e-05 9.220996e-09
-7.989583e+00  5.982971e-05  9.213879e-08 3.579602e-09
-7.989258e+00 -1.062029e-05 -3.141595e-05 1.099753e-09
-7.988932e+00 -4.183479e-05  5.313814e-05 4.573812e-09
-7.988607e+00  8.153571e-05 -5.864870e-05 1.008774e-08
-7.988281e+00 -9.637098e-05  4.628354e-05 1.142953e-08
-7.987955e+00  8.181228e-05 -1.982694e-05 7.086357e-09
-7.987630e+00 -4.229671e-05 -1.264661e-05 1.948948e-09
-7.987304e+00 -1.012555e-05  4.123669e-05 1.802991e-09
-7.986979e+00  5.946589e-05 -5.723537e-05 6.812080e-09
-7.986653e+00 -9.067372e-05  5.577945e-05 1.133307e-08
-7.986328e+00  9.422748e-05 -3.732868e-05 1.027225e-08
-7.986002e+00 -6.903965e-05  7.520776e-06 4.823035e-09
-7.985677e+00  2.278956e-05  2.455124e-05 1.122128e-09
-7.985351e+00  3.041790e-05 -4.911288e-05 3.337323e-09
-7.985026e+00 -7.435383e-05  5.868710e-05 8.972669e-09
-7.984700e+00  9.561536e-05 -5.037048e-05 1.167948e-08
-7.984375e+00 -8.771420e-05  2.671361e-05 8.407398e-09
-7.984049e+00  5.305669e-05  5.061106e-06 2.840627e-09
-7.983724e+00 -2.210910e-06 -3.526444e-05 1.248469e-09
-7.983398e+00 -4.931580e-05  5.469493e-05 5.423584e-09
-7.983073e+00  8.580642e-05 -5.744206e-05 1.066233e-08
-7.982747e+00 -9.612832e-05  4.268417e-05 1.106259e-08
-7.982422e+00  7.712964e-05 -1.493410e-05 6.172008e-09
-7.982096e+00 -3.460173e-05 -1.734083e-05 1.497984e-09
-7.981770e+00 -1.848622e-05  4.430239e-05 2.304442e-09
-7.981445e+00  6.594223e-05 -5.774039e-05 7.682330e-09
-7.981119e+00 -9.329010e-05  5.357279e-05 1.157309e-08
-7.980794e+00  9.218533e-05 -3.308565e-05 9.592794e-09
-7.980468e+00 -6.296120e-05  2.536301e-06 3.970545e-09
-7.980143e+00  1.452825e-05  2.875778e-05 1.038080e-09
-7.979817e+00  3.834257e-05 -5.126082e-05 4.097824e-09
-7.979492e+00 -7.952469e-05  5.812437e-05 9.702619e-09
-7.979166e+00  9.645483e-05 -4.727154e-05 1.153813e-08
-7.978841e+00 -8.396563e-05  2.202540e-05 7.535344e-09
-7.978515e+00  4.586278e-05  9.908547e-06 2.201574e-09
-7.978190e+00  6.234578e-06 -3.879416e-05 1.543857e-09
-7.977864e+00 -5.643706e-05  5.583307e-05 6.302474e-09
-7.977539e+00  8.943118e-05 -5.584456e-05 1.111655e-08
-7.977213e+00 -9.515048e-05  3.884077e-05 1.056222e-08
-7.976888e+00  7.184680e-05 -1.001818e-05 5.262327e-09
-7.976562e+00 -2.662462e-05 -2.183044e-05 1.185438e-09
-7.976236e+00 -2.672487e-05  4.699843e-05 2.923071e-09
-7.975911e+00  7.192954e-05 -5.782352e-05 8.517419e-09
