t    R    T
0.000000e+00 1.000000e+00 2.846974e-49
1.000000e-04 1.000000e+00 2.466354e-27
2.000000e-04 1.000000e+00 1.005163e-26
3.000000e-04 1.000000e+00 2.096871e-26
4.000000e-04 1.000000e+00 3.608329e-26
5.000000e-04 1.000000e+00 5.556389e-26
6.000000e-04 1.000000e+00 7.904983e-26
7.000000e-04 1.000000e+00 1.070539e-25
8.000000e-04 1.000000e+00 1.403111e-25
9.000000e-04 1.000000e+00 1.777041e-25
1.000000e-03 1.000000e+00 2.193881e-25
1.100000e-03 1.000000e+00 2.664053e-25
1.200000e-03 1.000000e+00 3.175581e-25
1.300000e-03 1.000000e+00 3.748599e-25
1.400000e-03 1.000000e+00 5.339367e-25
1.500000e-03 1.000000e+00 2.482022e-24
1.600000e-03 1.000000e+00 3.128463e-23
1.700000e-03 1.000000e+00 4.234903e-22
1.800000e-03 1.000000e+00 5.357901e-21
1.900000e-03 1.000000e+00 6.303710e-20
2.000000e-03 1.000000e+00 6.902970e-19
2.100000e-03 1.000000e+00 7.036617e-18
2.200000e-03 1.000000e+00 6.675255e-17
2.300000e-03 1.000000e+00 5.891225e-16
2.400000e-03 1.000000e+00 4.835631e-15
2.500000e-03 1.000000e+00 3.690789e-14
2.600000e-03 1.000000e+00 2.619089e-13
2.700000e-03 1.000000e+00 1.727952e-12
2.800000e-03 1.000000e+00 1.059955e-11
2.900000e-03 1.000000e+00 6.046163e-11
3.000000e-03 1.000000e+00 3.207815e-10
3.100000e-03 1.000000e+00 1.583482e-09
3.200000e-03 9.999999e-01 7.275549e-09
3.300000e-03 9.999996e-01 3.112989e-08
3.400000e-03 9.999987e-01 1.241067e-07
3.500000e-03 9.999957e-01 4.613177e-07
3.600000e-03 9.999867e-01 1.599964e-06
3.700000e-03 9.999615e-01 5.181765e-06
3.800000e-03 9.998955e-01 1.568523e-05
3.900000e-03 9.997344e-01 4.441952e-05
4.000000e-03 9.993665e-01 1.178113e-04
4.100000e-03 9.985808e-01 2.929731e-04
4.200000e-03 9.970098e-01 6.839640e-04
4.300000e-03 9.940662e-01 1.500998e-03
4.400000e-03 9.888931e-01 3.100901e-03
4.500000e-03 9.803581e-01 6.039774e-03
4.600000e-03 9.671263e-01 1.110941e-02
4.700000e-03 9.478322e-01 1.933139e-02
4.800000e-03 9.213465e-01 3.188280e-02
4.900000e-03 8.870875e-01 4.994029e-02
5.000000e-03 8.452952e-01 7.445464e-02
5.100000e-03 7.971741e-01 1.058994e-01
5.200000e-03 7.448364e-01 1.440606e-01
5.300000e-03 6.910317e-01 1.879380e-01
5.400000e-03 6.387236e-01 2.358025e-01
5.500000e-03 5.906180e-01 2.854117e-01
5.600000e-03 5.487664e-01 3.343357e-01
5.700000e-03 5.143355e-01 3.803123e-01
5.800000e-03 4.875759e-01 4.215466e-01
5.900000e-03 4.679664e-01 4.568931e-01
6.000000e-03 4.544637e-01 4.858976e-01
6.100000e-03 4.457797e-01 5.087160e-01
6.200000e-03 4.406205e-01 5.259539e-01
6.300000e-03 4.378499e-01 5.384776e-01
6.400000e-03 4.365704e-01 5.472417e-01
6.500000e-03 4.361372e-01 5.531583e-01
6.600000e-03 4.361271e-01 5.570174e-01
6.700000e-03 4.362886e-01 5.594525e-01
6.800000e-03 4.364883e-01 5.609407e-01
6.900000e-03 4.366671e-01 5.618221e-01
7.000000e-03 4.368061e-01 5.623278e-01
7.100000e-03 4.369063e-01 5.626082e-01
7.200000e-03 4.369755e-01 5.627577e-01
7.300000e-03 4.370225e-01 5.628333e-01
7.400000e-03 4.370543e-01 5.628687e-01
7.500000e-03 4.370759e-01 5.628832e-01
7.600000e-03 4.370904e-01 5.628879e-01
7.700000e-03 4.370996e-01 5.628887e-01
7.800000e-03 4.371043e-01 5.628892e-01
7.900000e-03 4.371051e-01 5.628911e-01
8.000000e-03 4.371025e-01 5.628952e-01
8.100000e-03 4.370970e-01 5.629014e-01
8.200000e-03 4.370894e-01 5.629095e-01
8.300000e-03 4.370805e-01 5.629187e-01
8.400000e-03 4.370713e-01 5.629281e-01
8.500000e-03 4.370625e-01 5.629370e-01
8.600000e-03 4.370551e-01 5.629445e-01
8.700000e-03 4.370497e-01 5.629499e-01
8.800000e-03 4.370468e-01 5.629527e-01
8.900000e-03 4.370468e-01 5.629525e-01
9.000000e-03 4.370497e-01 5.629493e-01
9.100000e-03 4.370552e-01 5.629435e-01
9.200000e-03 4.370627e-01 5.629356e-01
9.300000e-03 4.370715e-01 5.629265e-01
9.400000e-03 4.370807e-01 5.629171e-01
9.500000e-03 4.370895e-01 5.629082e-01
9.600000e-03 4.370971e-01 5.629007e-01
