t    R    T
0.000000e+00 1.000000e+00 1.359748e-46
1.000000e-04 1.000000e+00 2.406723e-27
2.000000e-04 1.000000e+00 9.510772e-27
3.000000e-04 1.000000e+00 1.973989e-26
4.000000e-04 1.000000e+00 3.397160e-26
5.000000e-04 1.000000e+00 5.203238e-26
6.000000e-04 1.000000e+00 7.412959e-26
7.000000e-04 1.000000e+00 1.007785e-25
8.000000e-04 1.000000e+00 1.352527e-25
9.000000e-04 1.000000e+00 2.182973e-25
1.000000e-03 1.000000e+00 3.909315e-24
1.100000e-03 1.000000e+00 2.668393e-22
1.200000e-03 1.000000e+00 1.623027e-20
1.300000e-03 1.000000e+00 8.224173e-19
1.400000e-03 1.000000e+00 3.459850e-17
1.500000e-03 1.000000e+00 1.207643e-15
1.600000e-03 1.000000e+00 3.496592e-14
1.700000e-03 1.000000e+00 8.398546e-13
1.800000e-03 1.000000e+00 1.674014e-11
1.900000e-03 1.000000e+00 2.770571e-10
2.000000e-03 1.000000e+00 3.810788e-09
2.100000e-03 9.999997e-01 4.361132e-08
2.200000e-03 9.999975e-01 4.158690e-07
2.300000e-03 9.999827e-01 3.310234e-06
2.400000e-03 9.999005e-01 2.204079e-05
2.500000e-03 9.995189e-01 1.230690e-04
2.600000e-03 9.980397e-01 5.779597e-04
2.700000e-03 9.932441e-01 2.290686e-03
2.800000e-03 9.802146e-01 7.693172e-03
2.900000e-03 9.504892e-01 2.199831e-02
3.000000e-03 8.934262e-01 5.386286e-02
3.100000e-03 8.010496e-01 1.137065e-01
3.200000e-03 6.746515e-01 2.086904e-01
3.300000e-03 5.281271e-01 3.364155e-01
3.400000e-03 3.838790e-01 4.823012e-01
3.500000e-03 2.629897e-01 6.242113e-01
3.600000e-03 1.765365e-01 7.420991e-01
3.700000e-03 1.236561e-01 8.259684e-01
3.800000e-03 9.593105e-02 8.772151e-01
3.900000e-03 8.344710e-02 9.041885e-01
4.000000e-03 7.861220e-02 9.164547e-01
4.100000e-03 7.700036e-02 9.212886e-01
4.200000e-03 7.653812e-02 9.229442e-01
4.300000e-03 7.642464e-02 9.234383e-01
4.400000e-03 7.640128e-02 9.235668e-01
4.500000e-03 7.639764e-02 9.235958e-01
4.600000e-03 7.639753e-02 9.236013e-01
4.700000e-03 7.639781e-02 9.236020e-01
4.800000e-03 7.639798e-02 9.236020e-01
4.900000e-03 7.639801e-02 9.236020e-01
5.000000e-03 7.639788e-02 9.236021e-01
5.100000e-03 7.639757e-02 9.236024e-01
5.200000e-03 7.639709e-02 9.236028e-01
5.300000e-03 7.639645e-02 9.236035e-01
5.400000e-03 7.639576e-02 9.236042e-01
5.500000e-03 7.639510e-02 9.236048e-01
5.600000e-03 7.639457e-02 9.236054e-01
5.700000e-03 7.639422e-02 9.236058e-01
5.800000e-03 7.639403e-02 9.236060e-01
5.900000e-03 7.639399e-02 9.236060e-01
6.000000e-03 7.639410e-02 9.236059e-01
6.100000e-03 7.639438e-02 9.236056e-01
6.200000e-03 7.639484e-02 9.236052e-01
6.300000e-03 7.639546e-02 9.236045e-01
6.400000e-03 7.639615e-02 9.236038e-01
6.500000e-03 7.639682e-02 9.236032e-01
6.600000e-03 7.639737e-02 9.236026e-01
6.700000e-03 7.639775e-02 9.236022e-01
6.800000e-03 7.639796e-02 9.236020e-01
6.900000e-03 7.639801e-02 9.236020e-01
7.000000e-03 7.639791e-02 9.236021e-01
7.100000e-03 7.639764e-02 9.236023e-01
7.200000e-03 7.639718e-02 9.236027e-01
7.300000e-03 7.639657e-02 9.236033e-01
7.400000e-03 7.639588e-02 9.236040e-01
7.500000e-03 7.639520e-02 9.236047e-01
