# x psi_r psi_i psi2 
-8.000000e+00 -3.331418e-15 -1.168971e-14 1.477477e-28
-7.999674e+00  6.815717e-15  1.492066e-14 2.690800e-28
-7.999349e+00  2.665230e-15 -1.197054e-14 1.503973e-28
-7.999023e+00  6.249803e-15  1.410693e-14 2.380655e-28
-7.998698e+00  7.615671e-15 -4.895313e-15 8.196252e-29
-7.998372e+00 -7.551905e-15  2.852730e-16 5.711266e-29
-7.998047e+00 -1.399928e-15 -3.644571e-15 1.524270e-29
-7.997721e+00 -2.062679e-15  5.835303e-15 3.830541e-29
-7.997396e+00 -8.080967e-16 -2.374350e-15 6.290560e-30
-7.997070e+00  1.449863e-14 -5.118637e-15 2.364107e-28
-7.996745e+00 -8.674194e-15  7.651666e-15 1.337896e-28
-7.996419e+00  4.912668e-15  2.544996e-15 3.061131e-29
-7.996094e+00 -5.429339e-15 -2.473254e-15 3.559471e-29
-7.995768e+00  1.498469e-15  3.053696e-15 1.157047e-29
-7.995443e+00 -2.477023e-15 -9.373131e-15 9.399123e-29
-7.995117e+00  1.268447e-14  7.336533e-15 2.147205e-28
-7.994792e+00 -1.191660e-14 -4.463599e-16 1.422047e-28
-7.994466e+00  4.864346e-15 -8.856994e-16 2.444633e-29
-7.994141e+00 -9.131382e-15 -1.048806e-14 1.933816e-28
-7.993815e+00 -2.128644e-15  4.733557e-15 2.693769e-29
-7.993489e+00 -1.747828e-15  2.658334e-16 3.125570e-30
-7.993164e+00 -2.110652e-15 -2.950921e-15 1.316278e-29
-7.992838e+00  4.582612e-15  4.909214e-15 4.510071e-29
-7.992513e+00  4.397873e-15 -3.383566e-15 3.078980e-29
-7.992187e+00 -1.249985e-14  5.285161e-15 1.841791e-28
-7.991862e+00  6.401754e-15 -8.686810e-16 4.173706e-29
-7.991536e+00 -7.414766e-15 -1.083951e-14 1.724737e-28
-7.991211e+00  6.048739e-15  9.019427e-15 1.179373e-28
-7.990885e+00 -2.639768e-15 -8.655564e-16 7.717564e-30
-7.990560e+00  8.105444e-15 -3.685676e-15 7.928243e-29
-7.990234e+00  1.867157e-15  1.159204e-14 1.378617e-28
-7.989909e+00 -1.240891e-14 -9.209661e-15 2.387990e-28
-7.989583e+00  1.867238e-14  1.427753e-14 5.525057e-28
-7.989258e+00 -6.104773e-15 -1.217864e-14 1.855874e-28
-7.988932e+00  1.202662e-15  7.471667e-15 5.727221e-29
-7.988607e+00  4.397389e-15 -5.494940e-15 4.953139e-29
-7.988281e+00 -6.044321e-15  2.136893e-15 4.110013e-29
-7.987955e+00  7.533583e-15  7.052800e-16 5.725229e-29
-7.987630e+00 -2.397862e-15 -1.654861e-15 8.488307e-30
-7.987304e+00 -3.420130e-16  6.020830e-15 3.636736e-29
-7.986979e+00  1.235707e-15 -1.380901e-14 1.922158e-28
-7.986653e+00 -2.256110e-15  7.729951e-15 6.484217e-29
-7.986328e+00  4.225849e-15 -7.613544e-15 7.582386e-29
-7.986002e+00 -1.181013e-14 -3.730287e-16 1.396184e-28
-7.985677e+00  9.854344e-15  4.901875e-16 9.734838e-29
-7.985351e+00 -1.284907e-14  7.036136e-15 2.146058e-28
-7.985026e+00  3.036157e-15 -4.216505e-15 2.699716e-29
-7.984700e+00  3.841309e-15 -3.751185e-15 2.882704e-29
-7.984375e+00 -7.649459e-15  1.352408e-14 2.414150e-28
-7.984049e+00 -4.646610e-15 -1.657477e-14 2.963141e-28
-7.983724e+00  4.333169e-15  1.784113e-14 3.370821e-28
-7.983398e+00  1.673294e-15 -1.682886e-14 2.860105e-28
-7.983073e+00  3.497490e-15  1.733684e-14 3.127985e-28
-7.982747e+00  2.743820e-16 -1.348273e-15 1.893126e-30
-7.982422e+00 -4.522984e-15 -7.658245e-15 7.910610e-29
-7.982096e+00  3.581692e-15  5.304992e-15 4.097146e-29
-7.981770e+00 -4.330677e-15 -1.364062e-14 2.048212e-28
-7.981445e+00  7.902860e-15  1.524694e-14 2.949245e-28
-7.981119e+00 -2.746831e-16 -1.669511e-14 2.788021e-28
-7.980794e+00 -8.710443e-15  1.545166e-14 3.146256e-28
-7.980468e+00  8.726864e-15 -7.504267e-15 1.324722e-28
-7.980143e+00 -2.131641e-15  3.391086e-15 1.604336e-29
-7.979817e+00  4.484434e-15 -5.658359e-15 5.212718e-29
-7.979492e+00  7.409641e-16  1.349055e-15 2.368977e-30
-7.979166e+00  7.102734e-15  1.062390e-14 1.633161e-28
-7.978841e+00 -1.438937e-14 -1.234661e-14 3.594926e-28
-7.978515e+00  1.323480e-14  8.597753e-15 2.490813e-28
-7.978190e+00 -3.737476e-15 -9.735127e-15 1.087414e-28
-7.977864e+00  7.669873e-15  8.253530e-15 1.269477e-28
-7.977539e+00 -6.616817e-15  7.353360e-16 4.432299e-29
-7.977213e+00 -5.250137e-15 -6.962701e-15 7.604314e-29
-7.976888e+00  1.130759e-14  5.593892e-15 1.591531e-28
-7.976562e+00 -1.953875e-14 -6.756999e-16 3.822193e-28
-7.976236e+00  5.016747e-15  1.191662e-15 2.658781e-29
-7.975911e+00 -6.639530e-15 -6.534547e-15 8.678367e-29
