t    R    T
0.000000e+00 1.000000e+00 1.359748e-46
1.000000e-04 1.000000e+00 2.474016e-27
2.000000e-04 1.000000e+00 9.692571e-27
3.000000e-04 1.000000e+00 1.975055e-26
4.000000e-04 1.000000e+00 3.366939e-26
5.000000e-04 1.000000e+00 5.102583e-26
6.000000e-04 1.000000e+00 7.241237e-26
7.000000e-04 1.000000e+00 9.746963e-26
8.000000e-04 1.000000e+00 1.273331e-25
9.000000e-04 1.000000e+00 1.603323e-25
1.000000e-03 1.000000e+00 1.971489e-25
1.100000e-03 1.000000e+00 2.528792e-25
1.200000e-03 1.000000e+00 7.714299e-25
1.300000e-03 1.000000e+00 1.625075e-23
1.400000e-03 1.000000e+00 4.813286e-22
1.500000e-03 1.000000e+00 1.300866e-20
1.600000e-03 1.000000e+00 3.122810e-19
1.700000e-03 1.000000e+00 6.638665e-18
1.800000e-03 1.000000e+00 1.248805e-16
1.900000e-03 1.000000e+00 2.078003e-15
2.000000e-03 1.000000e+00 3.058360e-14
2.100000e-03 1.000000e+00 3.981531e-13
2.200000e-03 1.000000e+00 4.585965e-12
2.300000e-03 1.000000e+00 4.675221e-11
2.400000e-03 1.000000e+00 4.220919e-10
2.500000e-03 1.000000e+00 3.377222e-09
2.600000e-03 9.999997e-01 2.396880e-08
2.700000e-03 9.999986e-01 1.510518e-07
2.800000e-03 9.999930e-01 8.463141e-07
2.900000e-03 9.999693e-01 4.221551e-06
3.000000e-03 9.998796e-01 1.877735e-05
3.100000e-03 9.995778e-01 7.460829e-05
3.200000e-03 9.986739e-01 2.653298e-04
3.300000e-03 9.962605e-01 8.464079e-04
3.400000e-03 9.905092e-01 2.427828e-03
3.500000e-03 9.782580e-01 6.278608e-03
3.600000e-03 9.548978e-01 1.468267e-02
3.700000e-03 9.149722e-01 3.115133e-02
3.800000e-03 8.537253e-01 6.018371e-02
3.900000e-03 7.692956e-01 1.063180e-01
4.000000e-03 6.646013e-01 1.725360e-01
4.100000e-03 5.477407e-01 2.585693e-01
4.200000e-03 4.302993e-01 3.599723e-01
4.300000e-03 3.240962e-01 4.686423e-01
4.400000e-03 2.378320e-01 5.747758e-01
4.500000e-03 1.751429e-01 6.694661e-01
4.600000e-03 1.347025e-01 7.468260e-01
4.700000e-03 1.119088e-01 8.048415e-01
4.800000e-03 1.010726e-01 8.448783e-01
4.900000e-03 9.713527e-02 8.703660e-01
5.000000e-03 9.648995e-02 8.853708e-01
5.100000e-03 9.702151e-02 8.935593e-01
5.200000e-03 9.772840e-02 8.977117e-01
5.300000e-03 9.826513e-02 8.996729e-01
5.400000e-03 9.858999e-02 9.005375e-01
5.500000e-03 9.875990e-02 9.008941e-01
5.600000e-03 9.883927e-02 9.010320e-01
5.700000e-03 9.887295e-02 9.010821e-01
5.800000e-03 9.888609e-02 9.010991e-01
5.900000e-03 9.889089e-02 9.011045e-01
6.000000e-03 9.889265e-02 9.011060e-01
6.100000e-03 9.889343e-02 9.011062e-01
6.200000e-03 9.889395e-02 9.011059e-01
6.300000e-03 9.889444e-02 9.011055e-01
6.400000e-03 9.889491e-02 9.011051e-01
6.500000e-03 9.889535e-02 9.011046e-01
6.600000e-03 9.889570e-02 9.011043e-01
6.700000e-03 9.889595e-02 9.011040e-01
6.800000e-03 9.889607e-02 9.011039e-01
6.900000e-03 9.889606e-02 9.011039e-01
7.000000e-03 9.889592e-02 9.011041e-01
7.100000e-03 9.889565e-02 9.011044e-01
7.200000e-03 9.889527e-02 9.011047e-01
7.300000e-03 9.889483e-02 9.011052e-01
7.400000e-03 9.889436e-02 9.011056e-01
7.500000e-03 9.889392e-02 9.011061e-01
7.600000e-03 9.889356e-02 9.011064e-01
7.700000e-03 9.889330e-02 9.011067e-01
7.800000e-03 9.889317e-02 9.011068e-01
7.900000e-03 9.889317e-02 9.011068e-01
8.000000e-03 9.889330e-02 9.011067e-01
8.100000e-03 9.889356e-02 9.011064e-01
8.200000e-03 9.889393e-02 9.011060e-01
8.300000e-03 9.889437e-02 9.011056e-01
8.400000e-03 9.889483e-02 9.011051e-01
8.500000e-03 9.889528e-02 9.011047e-01
8.600000e-03 9.889565e-02 9.011043e-01
8.700000e-03 9.889591e-02 9.011041e-01
8.800000e-03 9.889606e-02 9.011039e-01
8.900000e-03 9.889607e-02 9.011039e-01
9.000000e-03 9.889595e-02 9.011040e-01
9.100000e-03 9.889570e-02 9.011043e-01
9.200000e-03 9.889534e-02 9.011047e-01
9.300000e-03 9.889491e-02 9.011051e-01
9.400000e-03 9.889444e-02 9.011056e-01
9.500000e-03 9.889400e-02 9.011060e-01
9.600000e-03 9.889362e-02 9.011064e-01
9.700000e-03 9.889334e-02 9.011067e-01
9.800000e-03 9.889319e-02 9.011068e-01
9.900000e-03 9.889316e-02 9.011068e-01
1.000000e-02 9.889327e-02 9.011067e-01
1.010000e-02 9.889351e-02 9.011065e-01
1.020000e-02 9.889386e-02 9.011061e-01
1.030000e-02 9.889429e-02 9.011057e-01
1.040000e-02 9.889475e-02 9.011052e-01
1.050000e-02 9.889520e-02 9.011048e-01
1.060000e-02 9.889559e-02 9.011044e-01
1.070000e-02 9.889587e-02 9.011041e-01
1.080000e-02 9.889604e-02 9.011039e-01
1.090000e-02 9.889608e-02 9.011039e-01
1.100000e-02 9.889598e-02 9.011040e-01
1.110000e-02 9.889575e-02 9.011042e-01
1.120000e-02 9.889541e-02 9.011046e-01
1.130000e-02 9.889499e-02 9.011050e-01
1.140000e-02 9.889452e-02 9.011055e-01
1.150000e-02 9.889407e-02 9.011059e-01
1.160000e-02 9.889368e-02 9.011063e-01
1.170000e-02 9.889338e-02 9.011066e-01
1.180000e-02 9.889320e-02 9.011068e-01
1.190000e-02 9.889316e-02 9.011068e-01
1.200000e-02 9.889324e-02 9.011067e-01
