# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  2.002500e+04 -1.000000e+00 7.071068e-02
7.700000e-03 1.000000e+00  2.183734e+04 -3.011171e-01 4.493268e-01
7.800000e-03 1.000000e+00  2.183734e+04 -3.126093e-01 4.656194e-01
7.900000e-03 1.000000e+00  2.183734e+04 -3.241002e-01 4.818811e-01
8.000000e-03 1.000000e+00  2.183733e+04 -3.355904e-01 4.980954e-01
8.100000e-03 1.000000e+00  2.183733e+04 -3.470804e-01 5.142548e-01
8.200000e-03 1.000000e+00  2.183733e+04 -3.585708e-01 5.303607e-01
8.300000e-03 1.000000e+00  2.183732e+04 -3.700621e-01 5.464229e-01
8.400000e-03 1.000000e+00  2.183732e+04 -3.815547e-01 5.624570e-01
8.500000e-03 1.000000e+00  2.183732e+04 -3.930485e-01 5.784811e-01
8.600000e-03 1.000000e+00  2.183731e+04 -4.045435e-01 5.945130e-01
8.700000e-03 1.000000e+00  2.183730e+04 -4.160395e-01 6.105681e-01
8.800000e-03 1.000000e+00  2.183729e+04 -4.275362e-01 6.266577e-01
8.900000e-03 1.000000e+00  2.183728e+04 -4.390334e-01 6.427890e-01
9.000000e-03 1.000000e+00  2.183726e+04 -4.505308e-01 6.589659e-01
9.100000e-03 1.000000e+00  2.183724e+04 -4.620284e-01 6.751899e-01
9.200000e-03 1.000000e+00  2.183722e+04 -4.735258e-01 6.914601e-01
9.300000e-03 1.000000e+00  2.183720e+04 -4.850232e-01 7.077742e-01
9.400000e-03 1.000000e+00  2.183719e+04 -4.965200e-01 7.241274e-01
9.500000e-03 1.000000e+00  2.183717e+04 -5.080162e-01 7.405122e-01
9.600000e-03 1.000000e+00  2.183716e+04 -5.195113e-01 7.569182e-01
9.700000e-03 1.000000e+00  2.183715e+04 -5.310051e-01 7.733321e-01
9.800000e-03 1.000000e+00  2.183714e+04 -5.424975e-01 7.897395e-01
9.900000e-03 1.000000e+00  2.183714e+04 -5.539886e-01 8.061266e-01
1.000000e-02 1.000000e+00  2.183713e+04 -5.654789e-01 8.224821e-01
1.010000e-02 1.000000e+00  2.183713e+04 -5.769689e-01 8.387995e-01
1.020000e-02 1.000000e+00  2.183713e+04 -5.884592e-01 8.550777e-01
1.030000e-02 1.000000e+00  2.183712e+04 -5.999503e-01 8.713209e-01
1.040000e-02 1.000000e+00  2.183712e+04 -6.114426e-01 8.875378e-01
1.050000e-02 1.000000e+00  2.183712e+04 -6.229362e-01 9.037395e-01
1.060000e-02 1.000000e+00  2.183711e+04 -6.344310e-01 9.199378e-01
1.070000e-02 1.000000e+00  2.183710e+04 -6.459269e-01 9.361435e-01
1.080000e-02 1.000000e+00  2.183709e+04 -6.574235e-01 9.523651e-01
1.090000e-02 1.000000e+00  2.183708e+04 -6.689206e-01 9.686088e-01
1.100000e-02 1.000000e+00  2.183706e+04 -6.804180e-01 9.848787e-01
1.110000e-02 1.000000e+00  2.183704e+04 -6.919155e-01 1.001177e+00
1.120000e-02 1.000000e+00  2.183702e+04 -7.034130e-01 1.017504e+00
1.130000e-02 1.000000e+00  2.183700e+04 -7.149103e-01 1.033859e+00
1.140000e-02 1.000000e+00  2.183699e+04 -7.264073e-01 1.050240e+00
1.150000e-02 1.000000e+00  2.183697e+04 -7.379036e-01 1.066643e+00
1.160000e-02 1.000000e+00  2.183696e+04 -7.493989e-01 1.083062e+00
1.170000e-02 1.000000e+00  2.183695e+04 -7.608930e-01 1.099488e+00
1.180000e-02 1.000000e+00  2.183694e+04 -7.723856e-01 1.115912e+00
1.190000e-02 1.000000e+00  2.183694e+04 -7.838769e-01 1.132322e+00
1.200000e-02 1.000000e+00  2.183693e+04 -7.953674e-01 1.148711e+00
