t    R    T
0.000000e+00 1.000000e+00 2.846974e-49
1.000000e-04 1.000000e+00 2.385145e-27
2.000000e-04 1.000000e+00 9.811614e-27
3.000000e-04 1.000000e+00 2.026964e-26
4.000000e-04 1.000000e+00 3.491842e-26
5.000000e-04 1.000000e+00 5.335239e-26
6.000000e-04 1.000000e+00 7.560682e-26
7.000000e-04 1.000000e+00 1.021544e-25
8.000000e-04 1.000000e+00 1.334353e-25
9.000000e-04 1.000000e+00 1.677956e-25
1.000000e-03 1.000000e+00 2.053976e-25
1.100000e-03 1.000000e+00 2.483119e-25
1.200000e-03 1.000000e+00 3.080069e-25
1.300000e-03 1.000000e+00 6.274340e-25
1.400000e-03 1.000000e+00 6.031659e-24
1.500000e-03 1.000000e+00 1.044470e-22
1.600000e-03 1.000000e+00 1.767074e-21
1.700000e-03 1.000000e+00 2.757424e-20
1.800000e-03 1.000000e+00 3.951304e-19
1.900000e-03 1.000000e+00 5.194738e-18
2.000000e-03 1.000000e+00 6.262005e-17
2.100000e-03 1.000000e+00 6.918124e-16
2.200000e-03 1.000000e+00 7.002274e-15
2.300000e-03 1.000000e+00 6.491820e-14
2.400000e-03 1.000000e+00 5.512145e-13
2.500000e-03 1.000000e+00 4.286472e-12
2.600000e-03 1.000000e+00 3.053168e-11
2.700000e-03 1.000000e+00 1.992351e-10
2.800000e-03 1.000000e+00 1.191474e-09
2.900000e-03 9.999999e-01 6.532687e-09
3.000000e-03 9.999995e-01 3.285625e-08
3.100000e-03 9.999982e-01 1.516832e-07
3.200000e-03 9.999933e-01 6.432349e-07
3.300000e-03 9.999771e-01 2.507711e-06
3.400000e-03 9.999281e-01 8.996413e-06
3.500000e-03 9.997917e-01 2.973025e-05
3.600000e-03 9.994421e-01 9.060765e-05
3.700000e-03 9.986173e-01 2.549865e-04
3.800000e-03 9.968243e-01 6.635221e-04
3.900000e-03 9.932303e-01 1.598952e-03
4.000000e-03 9.865807e-01 3.574156e-03
4.100000e-03 9.752167e-01 7.424276e-03
4.200000e-03 9.572629e-01 1.435946e-02
4.300000e-03 9.310209e-01 2.591634e-02
4.400000e-03 8.955109e-01 4.375321e-02
4.500000e-03 8.509994e-01 6.928057e-02
4.600000e-03 7.992905e-01 1.031991e-01
4.700000e-03 7.436048e-01 1.450944e-01
4.800000e-03 6.880134e-01 1.932640e-01
4.900000e-03 6.365873e-01 2.448891e-01
5.000000e-03 5.925484e-01 2.965384e-01
5.100000e-03 5.577043e-01 3.448495e-01
5.200000e-03 5.323207e-01 3.871657e-01
5.300000e-03 5.153996e-01 4.219337e-01
5.400000e-03 5.051941e-01 4.487771e-01
5.500000e-03 4.997505e-01 4.682884e-01
5.600000e-03 4.973159e-01 4.816658e-01
5.700000e-03 4.965510e-01 4.903349e-01
5.800000e-03 4.965669e-01 4.956558e-01
5.900000e-03 4.968530e-01 4.987554e-01
6.000000e-03 4.971623e-01 5.004723e-01
6.100000e-03 4.974046e-01 5.013779e-01
6.200000e-03 4.975675e-01 5.018325e-01
6.300000e-03 4.976676e-01 5.020484e-01
6.400000e-03 4.977273e-01 5.021430e-01
6.500000e-03 4.977640e-01 5.021782e-01
6.600000e-03 4.977893e-01 5.021851e-01
6.700000e-03 4.978090e-01 5.021791e-01
6.800000e-03 4.978258e-01 5.021682e-01
6.900000e-03 4.978400e-01 5.021563e-01
7.000000e-03 4.978514e-01 5.021460e-01
7.100000e-03 4.978594e-01 5.021387e-01
7.200000e-03 4.978635e-01 5.021349e-01
7.300000e-03 4.978636e-01 5.021353e-01
7.400000e-03 4.978594e-01 5.021397e-01
7.500000e-03 4.978514e-01 5.021480e-01
7.600000e-03 4.978402e-01 5.021594e-01
7.700000e-03 4.978269e-01 5.021727e-01
7.800000e-03 4.978131e-01 5.021867e-01
7.900000e-03 4.978000e-01 5.021997e-01
8.000000e-03 4.977891e-01 5.022106e-01
8.100000e-03 4.977811e-01 5.022185e-01
8.200000e-03 4.977769e-01 5.022226e-01
8.300000e-03 4.977766e-01 5.022226e-01
8.400000e-03 4.977805e-01 5.022185e-01
8.500000e-03 4.977882e-01 5.022105e-01
8.600000e-03 4.977991e-01 5.021993e-01
8.700000e-03 4.978121e-01 5.021860e-01
8.800000e-03 4.978258e-01 5.021721e-01
8.900000e-03 4.978388e-01 5.021591e-01
9.000000e-03 4.978500e-01 5.021480e-01
9.100000e-03 4.978582e-01 5.021400e-01
9.200000e-03 4.978628e-01 5.021357e-01
9.300000e-03 4.978634e-01 5.021354e-01
9.400000e-03 4.978598e-01 5.021393e-01
9.500000e-03 4.978524e-01 5.021469e-01
9.600000e-03 4.978417e-01 5.021578e-01
9.700000e-03 4.978288e-01 5.021708e-01
9.800000e-03 4.978151e-01 5.021846e-01
9.900000e-03 4.978020e-01 5.021977e-01
1.000000e-02 4.977908e-01 5.022089e-01
1.010000e-02 4.977825e-01 5.022171e-01
1.020000e-02 4.977777e-01 5.022218e-01
