# x psi_r psi_i psi2 
-8.000000e+00  6.017494e-15  3.785409e-16 3.635353e-29
-7.999674e+00  4.070370e-15 -5.602750e-15 4.795871e-29
-7.999349e+00  4.372831e-15  1.021696e-15 2.016552e-29
-7.999023e+00 -6.793028e-15  2.313609e-15 5.149802e-29
-7.998698e+00  6.441819e-15  2.093419e-15 4.587943e-29
-7.998372e+00 -4.653530e-15 -7.243473e-15 7.412324e-29
-7.998047e+00 -6.899089e-15  8.445244e-15 1.189196e-28
-7.997721e+00  7.576222e-15 -1.426565e-14 2.609079e-28
-7.997396e+00 -1.566069e-14  1.715796e-14 5.396529e-28
-7.997070e+00  1.550509e-14 -1.485168e-14 4.609801e-28
-7.996745e+00 -9.427064e-15  9.176575e-15 1.730791e-28
-7.996419e+00  2.367004e-15 -1.224490e-14 1.555402e-28
-7.996094e+00 -3.929906e-15  8.094455e-15 8.096436e-29
-7.995768e+00  4.872922e-15 -1.127307e-14 1.508275e-28
-7.995443e+00 -7.005996e-16  6.898255e-15 4.807676e-29
-7.995117e+00  5.722999e-15 -4.845428e-15 5.623089e-29
-7.994792e+00 -7.007787e-15  1.114801e-14 1.733872e-28
-7.994466e+00  4.379989e-15 -1.157484e-14 1.531613e-28
-7.994141e+00  1.215994e-15  1.235823e-14 1.542045e-28
-7.993815e+00 -3.583217e-15 -9.303060e-15 9.938636e-29
-7.993489e+00  4.031034e-15  6.288184e-15 5.579049e-29
-7.993164e+00  1.396747e-15  4.105871e-15 1.880908e-29
-7.992838e+00 -1.506463e-15 -2.399010e-15 8.024682e-30
-7.992513e+00  6.392943e-15  2.770955e-15 4.854792e-29
-7.992187e+00 -9.749137e-15  5.380185e-15 1.239921e-28
-7.991862e+00 -1.335515e-15 -4.027809e-15 1.800684e-29
-7.991536e+00  2.130027e-15  8.860393e-15 8.304358e-29
-7.991211e+00  1.150871e-15 -1.479952e-14 2.203503e-28
-7.990885e+00  1.109867e-15  2.147332e-14 4.623352e-28
-7.990560e+00  5.882806e-15 -2.144315e-14 4.944162e-28
-7.990234e+00 -5.112039e-15  8.472932e-15 9.792353e-29
-7.989909e+00  4.772569e-15 -6.845504e-15 6.963833e-29
-7.989583e+00 -4.257579e-15 -2.802732e-16 1.820553e-29
-7.989258e+00 -1.772285e-16  1.695120e-16 6.014427e-32
-7.988932e+00 -3.636477e-15 -6.427956e-15 5.454259e-29
-7.988607e+00  1.998905e-15  1.144824e-14 1.350578e-28
-7.988281e+00 -5.890787e-15 -1.619448e-14 2.969627e-28
-7.987955e+00  1.733856e-15  8.574152e-15 7.652234e-29
-7.987630e+00 -4.956316e-15 -1.105087e-14 1.466869e-28
-7.987304e+00 -2.906743e-16  3.068750e-15 9.501720e-30
-7.986979e+00  1.896595e-15  9.272159e-15 8.957001e-29
-7.986653e+00 -2.488061e-15 -6.956420e-15 5.458222e-29
-7.986328e+00  1.603030e-14  6.711744e-15 3.020181e-28
-7.986002e+00  4.082709e-16 -4.571450e-15 2.106484e-29
-7.985677e+00 -3.810995e-15  6.834472e-15 6.123370e-29
-7.985351e+00 -5.069300e-15 -1.412145e-15 2.769195e-29
-7.985026e+00 -2.047018e-15 -4.586241e-15 2.522389e-29
-7.984700e+00  5.862069e-15  1.131388e-14 1.623678e-28
-7.984375e+00 -3.090015e-15 -9.876150e-15 1.070865e-28
-7.984049e+00  4.253266e-15  9.870257e-15 1.155122e-28
-7.983724e+00 -1.448355e-15 -4.481191e-15 2.217880e-29
-7.983398e+00 -2.568705e-15 -1.516873e-15 8.899149e-30
-7.983073e+00  1.601421e-15  4.958062e-15 2.714693e-29
-7.982747e+00 -8.805628e-16  4.588887e-15 2.183328e-29
-7.982422e+00  9.920785e-15 -8.256968e-15 1.665995e-28
-7.982096e+00 -1.247251e-14  1.014824e-14 2.585503e-28
-7.981770e+00  1.499714e-14 -1.120948e-14 3.505668e-28
-7.981445e+00 -1.539552e-14  1.713182e-15 2.399570e-28
-7.981119e+00  6.128783e-15 -6.339836e-16 3.796391e-29
-7.980794e+00 -4.297470e-15  6.573702e-15 6.168181e-29
-7.980468e+00 -5.007202e-15 -1.197362e-14 1.684397e-28
-7.980143e+00  2.208316e-15  7.012963e-15 5.405831e-29
-7.979817e+00  1.560796e-15 -9.755583e-15 9.760748e-29
-7.979492e+00 -1.047055e-15  1.023149e-14 1.057796e-28
-7.979166e+00  3.964463e-15 -1.619581e-14 2.780213e-28
-7.978841e+00 -1.045943e-14  1.308497e-14 2.806161e-28
-7.978515e+00  1.017457e-14 -1.335896e-14 2.819836e-28
-7.978190e+00 -1.015490e-14  1.029891e-14 2.091894e-28
-7.977864e+00  2.221917e-14 -6.628304e-15 5.376257e-28
-7.977539e+00 -1.508539e-14  6.441133e-15 2.690572e-28
-7.977213e+00  9.294153e-15 -5.494241e-15 1.165680e-28
-7.976888e+00 -2.481468e-15  1.388892e-14 1.990596e-28
-7.976562e+00 -1.030860e-14 -9.711892e-15 2.005881e-28
-7.976236e+00  1.254100e-14  6.219951e-15 1.959645e-28
-7.975911e+00 -1.295061e-14 -7.199174e-16 1.682366e-28
-7.975585e+00  1.849543e-14  5.512978e-16 3.423848e-28
-7.975260e+00 -1.120800e-14 -4.894915e-15 1.495794e-28
-7.974934e+00  1.341145e-15  1.286848e-15 3.454646e-30
-7.974609e+00 -5.971626e-15  2.136283e-15 4.022402e-29
-7.974283e+00 -8.762672e-15  6.790318e-16 7.724550e-29
-7.973958e+00  1.077684e-14  5.152695e-15 1.426906e-28
-7.973632e+00  3.040750e-15 -4.090639e-15 2.597949e-29
-7.973307e+00 -2.973596e-15 -4.113609e-16 9.011492e-30
-7.972981e+00  1.532311e-15  2.017258e-15 6.417306e-30
-7.972656e+00 -2.127475e-15  4.382052e-15 2.372853e-29
-7.972330e+00  6.996753e-15 -5.999794e-15 8.495209e-29
-7.972005e+00 -3.453419e-15  6.277999e-15 5.133937e-29
-7.971679e+00  4.051082e-15 -7.103774e-15 6.687487e-29
-7.971354e+00  4.237893e-15  7.509746e-15 7.435602e-29
-7.971028e+00 -2.259171e-15 -1.318363e-14 1.789119e-28
-7.970703e+00 -9.079906e-15  5.221156e-15 1.097052e-28
-7.970377e+00  5.822270e-15 -7.279125e-15 8.688449e-29
-7.970051e+00 -7.143500e-15  1.343759e-14 2.315984e-28
-7.969726e+00  1.239386e-15 -1.852996e-14 3.448956e-28
-7.969400e+00 -5.032474e-15  1.368024e-14 2.124748e-28
-7.969075e+00  3.239963e-15 -2.101033e-14 4.519314e-28
-7.968749e+00  4.015331e-15  1.665458e-14 2.934979e-28
-7.968424e+00  2.914373e-15 -1.017116e-14 1.119460e-28
-7.968098e+00 -1.004842e-14  3.022405e-15 1.101056e-28
-7.967773e+00  1.795005e-15  5.708044e-15 3.580380e-29
-7.967447e+00  1.186212e-16  1.994914e-15 3.993754e-30
-7.967122e+00  4.477159e-15 -5.448615e-15 4.973236e-29
-7.966796e+00  5.823283e-15  7.503230e-15 9.020908e-29
-7.966471e+00 -3.738403e-15 -4.505434e-15 3.427460e-29
-7.966145e+00 -2.343397e-15  1.161504e-14 1.404006e-28
-7.965820e+00  2.512888e-15 -3.189864e-15 1.648984e-29
-7.965494e+00 -1.302460e-15 -1.230118e-15 3.209593e-30
