# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  6.127500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  6.127500e+04 -9.650000e-01 7.071421e-02
2.000000e-04 1.000000e+00  6.127500e+04 -9.300000e-01 7.072482e-02
3.000000e-04 1.000000e+00  6.127500e+04 -8.950000e-01 7.074249e-02
4.000000e-04 1.000000e+00  6.127500e+04 -8.600000e-01 7.076722e-02
5.000000e-04 1.000000e+00  6.127500e+04 -8.250000e-01 7.079901e-02
6.000000e-04 1.000000e+00  6.127500e+04 -7.900000e-01 7.083784e-02
7.000000e-04 1.000000e+00  6.127500e+04 -7.550000e-01 7.088371e-02
8.000000e-04 1.000000e+00  6.127500e+04 -7.200000e-01 7.093659e-02
9.000000e-04 1.000000e+00  6.127500e+04 -6.850000e-01 7.099648e-02
1.000000e-03 1.000000e+00  6.127500e+04 -6.500000e-01 7.106335e-02
1.100000e-03 1.000000e+00  6.127500e+04 -6.150000e-01 7.113719e-02
1.200000e-03 1.000000e+00  6.127500e+04 -5.800000e-01 7.121798e-02
1.300000e-03 1.000000e+00  6.127500e+04 -5.450000e-01 7.130568e-02
1.400000e-03 1.000000e+00  6.127500e+04 -5.100000e-01 7.140028e-02
1.500000e-03 1.000000e+00  6.127500e+04 -4.750000e-01 7.150175e-02
1.600000e-03 1.000000e+00  6.127500e+04 -4.400000e-01 7.161006e-02
1.700000e-03 1.000000e+00  6.127500e+04 -4.050000e-01 7.172517e-02
1.800000e-03 1.000000e+00  6.127500e+04 -3.700000e-01 7.184706e-02
1.900000e-03 1.000000e+00  6.127500e+04 -3.350000e-01 7.197566e-02
2.000000e-03 1.000000e+00  6.127502e+04 -3.000001e-01 7.211072e-02
2.100000e-03 1.000000e+00  6.127513e+04 -2.650006e-01 7.225092e-02
2.200000e-03 1.000000e+00  6.127578e+04 -2.300034e-01 7.239028e-02
2.300000e-03 1.000000e+00  6.127872e+04 -1.950165e-01 7.250882e-02
2.400000e-03 1.000000e+00  6.128918e+04 -1.600648e-01 7.255922e-02
2.500000e-03 1.000000e+00  6.131863e+04 -1.252057e-01 7.247119e-02
2.600000e-03 1.000000e+00  6.138435e+04 -9.053361e-02 7.221100e-02
2.700000e-03 1.000000e+00  6.150086e+04 -5.614651e-02 7.189098e-02
2.800000e-03 1.000000e+00  6.166547e+04 -2.207495e-02 7.182163e-02
2.900000e-03 1.000000e+00  6.185138e+04  1.176836e-02 7.238652e-02
3.000000e-03 1.000000e+00  6.201976e+04  4.555437e-02 7.381193e-02
3.100000e-03 1.000000e+00  6.214246e+04  7.943748e-02 7.607291e-02
3.200000e-03 1.000000e+00  6.221465e+04  1.134810e-01 7.901711e-02
3.300000e-03 1.000000e+00  6.224907e+04  1.476628e-01 8.252071e-02
3.400000e-03 1.000000e+00  6.226242e+04  1.819279e-01 8.651820e-02
3.500000e-03 1.000000e+00  6.226664e+04  2.162306e-01 9.093974e-02
3.600000e-03 1.000000e+00  6.226774e+04  2.505458e-01 9.565438e-02
3.700000e-03 1.000000e+00  6.226797e+04  2.848631e-01 1.004676e-01
3.800000e-03 1.000000e+00  6.226802e+04  3.191795e-01 1.051765e-01
3.900000e-03 1.000000e+00  6.226803e+04  3.534948e-01 1.096537e-01
4.000000e-03 1.000000e+00  6.226803e+04  3.878104e-01 1.139058e-01
4.100000e-03 1.000000e+00  6.226803e+04  4.221275e-01 1.180591e-01
4.200000e-03 1.000000e+00  6.226803e+04  4.564464e-01 1.222848e-01
4.300000e-03 1.000000e+00  6.226803e+04  4.907669e-01 1.267220e-01
4.400000e-03 1.000000e+00  6.226803e+04  5.250883e-01 1.314446e-01
4.500000e-03 1.000000e+00  6.226803e+04  5.594102e-01 1.364701e-01
4.600000e-03 1.000000e+00  6.226802e+04  5.937322e-01 1.417849e-01
4.700000e-03 1.000000e+00  6.226802e+04  6.280542e-01 1.473633e-01
4.800000e-03 1.000000e+00  6.226801e+04  6.623763e-01 1.531781e-01
4.900000e-03 1.000000e+00  6.226800e+04  6.966984e-01 1.592037e-01
5.000000e-03 1.000000e+00  6.226799e+04  7.310205e-01 1.654170e-01
5.100000e-03 1.000000e+00  6.226798e+04  7.653426e-01 1.717977e-01
5.200000e-03 1.000000e+00  6.226797e+04  7.996646e-01 1.783274e-01
5.300000e-03 1.000000e+00  6.226797e+04  8.339867e-01 1.849887e-01
5.400000e-03 1.000000e+00  6.226797e+04  8.683085e-01 1.917611e-01
5.500000e-03 1.000000e+00  6.226797e+04  9.026299e-01 1.986144e-01
5.600000e-03 1.000000e+00  6.226797e+04  9.369503e-01 2.054974e-01
5.700000e-03 1.000000e+00  6.226797e+04  9.712691e-01 2.123335e-01
5.800000e-03 1.000000e+00  6.226797e+04  1.005586e+00 2.190343e-01
5.900000e-03 1.000000e+00  6.226797e+04  1.039901e+00 2.255342e-01
6.000000e-03 1.000000e+00  6.226797e+04  1.074217e+00 2.318249e-01
6.100000e-03 1.000000e+00  6.226797e+04  1.108534e+00 2.379609e-01
6.200000e-03 1.000000e+00  6.226797e+04  1.142852e+00 2.440304e-01
6.300000e-03 1.000000e+00  6.226797e+04  1.177172e+00 2.501156e-01
6.400000e-03 1.000000e+00  6.226797e+04  1.211494e+00 2.562703e-01
6.500000e-03 1.000000e+00  6.226797e+04  1.245816e+00 2.625188e-01
6.600000e-03 1.000000e+00  6.226796e+04  1.280138e+00 2.688669e-01
6.700000e-03 1.000000e+00  6.226796e+04  1.314460e+00 2.753119e-01
6.800000e-03 1.000000e+00  6.226795e+04  1.348782e+00 2.818481e-01
6.900000e-03 1.000000e+00  6.226794e+04  1.383104e+00 2.884697e-01
7.000000e-03 1.000000e+00  6.226793e+04  1.417426e+00 2.951709e-01
7.100000e-03 1.000000e+00  6.226792e+04  1.451748e+00 3.019465e-01
7.200000e-03 1.000000e+00  6.226791e+04  1.486070e+00 3.087913e-01
7.300000e-03 1.000000e+00  6.226791e+04  1.520392e+00 3.157001e-01
7.400000e-03 1.000000e+00  6.226791e+04  1.554714e+00 3.226660e-01
7.500000e-03 1.000000e+00  6.226790e+04  1.589036e+00 3.296760e-01
7.600000e-03 1.000000e+00  6.226790e+04  1.623356e+00 3.367053e-01
7.700000e-03 1.000000e+00  6.226790e+04  1.657675e+00 3.437116e-01
7.800000e-03 1.000000e+00  6.226790e+04  1.691992e+00 3.506403e-01
7.900000e-03 1.000000e+00  6.226790e+04  1.726308e+00 3.574428e-01
8.000000e-03 1.000000e+00  6.226790e+04  1.760623e+00 3.641014e-01
8.100000e-03 1.000000e+00  6.226790e+04  1.794940e+00 3.706393e-01
8.200000e-03 1.000000e+00  6.226790e+04  1.829258e+00 3.771084e-01
8.300000e-03 1.000000e+00  6.226790e+04  1.863578e+00 3.835638e-01
8.400000e-03 1.000000e+00  6.226790e+04  1.897899e+00 3.900462e-01
8.500000e-03 1.000000e+00  6.226790e+04  1.932221e+00 3.965769e-01
8.600000e-03 1.000000e+00  6.226790e+04  1.966543e+00 4.031639e-01
8.700000e-03 1.000000e+00  6.226790e+04  2.000865e+00 4.098079e-01
8.800000e-03 1.000000e+00  6.226789e+04  2.035187e+00 4.165074e-01
8.900000e-03 1.000000e+00  6.226788e+04  2.069509e+00 4.232599e-01
9.000000e-03 1.000000e+00  6.226786e+04  2.103831e+00 4.300630e-01
9.100000e-03 1.000000e+00  6.226785e+04  2.138153e+00 4.369143e-01
9.200000e-03 1.000000e+00  6.226785e+04  2.172476e+00 4.438115e-01
9.300000e-03 1.000000e+00  6.226784e+04  2.206798e+00 4.507522e-01
9.400000e-03 1.000000e+00  6.226784e+04  2.241119e+00 4.577327e-01
9.500000e-03 1.000000e+00  6.226784e+04  2.275441e+00 4.647463e-01
9.600000e-03 1.000000e+00  6.226784e+04  2.309762e+00 4.717781e-01
9.700000e-03 1.000000e+00  6.226784e+04  2.344081e+00 4.788014e-01
9.800000e-03 1.000000e+00  6.226784e+04  2.378399e+00 4.857779e-01
9.900000e-03 1.000000e+00  6.226784e+04  2.412715e+00 4.926693e-01
1.000000e-02 1.000000e+00  6.226784e+04  2.447030e+00 4.994551e-01
1.010000e-02 1.000000e+00  6.226784e+04  2.481346e+00 5.061441e-01
1.020000e-02 1.000000e+00  6.226784e+04  2.515664e+00 5.127698e-01
1.030000e-02 1.000000e+00  6.226784e+04  2.549984e+00 5.193731e-01
1.040000e-02 1.000000e+00  6.226784e+04  2.584305e+00 5.259870e-01
1.050000e-02 1.000000e+00  6.226784e+04  2.618627e+00 5.326307e-01
1.060000e-02 1.000000e+00  6.226784e+04  2.652949e+00 5.393125e-01
1.070000e-02 1.000000e+00  6.226783e+04  2.687271e+00 5.460345e-01
1.080000e-02 1.000000e+00  6.226783e+04  2.721593e+00 5.527963e-01
1.090000e-02 1.000000e+00  6.226782e+04  2.755915e+00 5.595966e-01
1.100000e-02 1.000000e+00  6.226780e+04  2.790237e+00 5.664342e-01
1.110000e-02 1.000000e+00  6.226779e+04  2.824559e+00 5.733078e-01
1.120000e-02 1.000000e+00  6.226779e+04  2.858881e+00 5.802159e-01
1.130000e-02 1.000000e+00  6.226778e+04  2.893203e+00 5.871572e-01
1.140000e-02 1.000000e+00  6.226778e+04  2.927525e+00 5.941297e-01
1.150000e-02 1.000000e+00  6.226778e+04  2.961847e+00 6.011292e-01
1.160000e-02 1.000000e+00  6.226778e+04  2.996168e+00 6.081463e-01
1.170000e-02 1.000000e+00  6.226778e+04  3.030487e+00 6.151627e-01
1.180000e-02 1.000000e+00  6.226778e+04  3.064805e+00 6.221503e-01
1.190000e-02 1.000000e+00  6.226778e+04  3.099121e+00 6.290778e-01
1.200000e-02 1.000000e+00  6.226778e+04  3.133436e+00 6.359240e-01
