t    R    T
0.000000e+00 1.000000e+00 2.846974e-49
1.000000e-04 1.000000e+00 2.929886e-27
2.000000e-04 1.000000e+00 1.181457e-26
3.000000e-04 1.000000e+00 2.534146e-26
4.000000e-04 1.000000e+00 4.422828e-26
5.000000e-04 1.000000e+00 6.821715e-26
6.000000e-04 1.000000e+00 9.754590e-26
7.000000e-04 1.000000e+00 1.329033e-25
8.000000e-04 1.000000e+00 2.324256e-25
9.000000e-04 1.000000e+00 6.258972e-24
1.000000e-03 1.000000e+00 6.273949e-22
1.100000e-03 1.000000e+00 5.356289e-20
1.200000e-03 1.000000e+00 3.679175e-18
1.300000e-03 1.000000e+00 2.025074e-16
1.400000e-03 1.000000e+00 8.921466e-15
1.500000e-03 1.000000e+00 3.144389e-13
1.600000e-03 1.000000e+00 8.866045e-12
1.700000e-03 1.000000e+00 2.000688e-10
1.800000e-03 9.999998e-01 3.615912e-09
1.900000e-03 9.999982e-01 5.240286e-08
2.000000e-03 9.999850e-01 6.099370e-07
2.100000e-03 9.998963e-01 5.713486e-06
2.200000e-03 9.994196e-01 4.318351e-05
2.300000e-03 9.973572e-01 2.641817e-04
2.400000e-03 9.901552e-01 1.313174e-03
2.500000e-03 9.698154e-01 5.328554e-03
2.600000e-03 9.232506e-01 1.775231e-02
2.700000e-03 8.366293e-01 4.890337e-02
2.800000e-03 7.053912e-01 1.123843e-01
2.900000e-03 5.431170e-01 2.178660e-01
3.000000e-03 3.791477e-01 3.613080e-01
3.100000e-03 2.437923e-01 5.216214e-01
3.200000e-03 1.528393e-01 6.695879e-01
3.300000e-03 1.036275e-01 7.830102e-01
3.400000e-03 8.279348e-02 8.556896e-01
3.500000e-03 7.645706e-02 8.949180e-01
3.600000e-03 7.555827e-02 9.129110e-01
3.700000e-03 7.593926e-02 9.199986e-01
3.800000e-03 7.630538e-02 9.224296e-01
3.900000e-03 7.647538e-02 9.231725e-01
4.000000e-03 7.652675e-02 9.233847e-01
4.100000e-03 7.653307e-02 9.234466e-01
4.200000e-03 7.652917e-02 9.234665e-01
4.300000e-03 7.652613e-02 9.234730e-01
4.400000e-03 7.652552e-02 9.234741e-01
4.500000e-03 7.652689e-02 9.234725e-01
4.600000e-03 7.653060e-02 9.234681e-01
4.700000e-03 7.653809e-02 9.234594e-01
4.800000e-03 7.655056e-02 9.234452e-01
4.900000e-03 7.656742e-02 9.234267e-01
5.000000e-03 7.658568e-02 9.234075e-01
5.100000e-03 7.660142e-02 9.233919e-01
5.200000e-03 7.661210e-02 9.233824e-01
5.300000e-03 7.661763e-02 9.233785e-01
5.400000e-03 7.661943e-02 9.233783e-01
5.500000e-03 7.661866e-02 9.233802e-01
5.600000e-03 7.661514e-02 9.233843e-01
5.700000e-03 7.660754e-02 9.233923e-01
5.800000e-03 7.659469e-02 9.234052e-01
5.900000e-03 7.657728e-02 9.234227e-01
6.000000e-03 7.655848e-02 9.234415e-01
6.100000e-03 7.654249e-02 9.234575e-01
6.200000e-03 7.653199e-02 9.234680e-01
6.300000e-03 7.652697e-02 9.234730e-01
6.400000e-03 7.652573e-02 9.234741e-01
6.500000e-03 7.652679e-02 9.234728e-01
6.600000e-03 7.653009e-02 9.234688e-01
6.700000e-03 7.653691e-02 9.234608e-01
6.800000e-03 7.654860e-02 9.234475e-01
6.900000e-03 7.656490e-02 9.234295e-01
7.000000e-03 7.658316e-02 9.234101e-01
7.100000e-03 7.659943e-02 9.233938e-01
7.200000e-03 7.661084e-02 9.233834e-01
7.300000e-03 7.661698e-02 9.233789e-01
7.400000e-03 7.661917e-02 9.233783e-01
7.500000e-03 7.661870e-02 9.233800e-01
7.600000e-03 7.661563e-02 9.233838e-01
7.700000e-03 7.660875e-02 9.233910e-01
7.800000e-03 7.659673e-02 9.234032e-01
7.900000e-03 7.657988e-02 9.234201e-01
8.000000e-03 7.656106e-02 9.234389e-01
8.100000e-03 7.654447e-02 9.234555e-01
8.200000e-03 7.653316e-02 9.234668e-01
8.300000e-03 7.652750e-02 9.234725e-01
8.400000e-03 7.652590e-02 9.234740e-01
8.500000e-03 7.652672e-02 9.234729e-01
8.600000e-03 7.652966e-02 9.234694e-01
8.700000e-03 7.653585e-02 9.234621e-01
8.800000e-03 7.654675e-02 9.234496e-01
8.900000e-03 7.656245e-02 9.234322e-01
9.000000e-03 7.658061e-02 9.234128e-01
9.100000e-03 7.659734e-02 9.233958e-01
9.200000e-03 7.660949e-02 9.233845e-01
9.300000e-03 7.661626e-02 9.233793e-01
9.400000e-03 7.661885e-02 9.233784e-01
9.500000e-03 7.661868e-02 9.233798e-01
9.600000e-03 7.661604e-02 9.233833e-01
9.700000e-03 7.660983e-02 9.233899e-01
9.800000e-03 7.659863e-02 9.234013e-01
9.900000e-03 7.658242e-02 9.234175e-01
1.000000e-02 7.656368e-02 9.234363e-01
1.010000e-02 7.654656e-02 9.234534e-01
1.020000e-02 7.653444e-02 9.234656e-01
1.030000e-02 7.652810e-02 9.234719e-01
1.040000e-02 7.652610e-02 9.234738e-01
1.050000e-02 7.652668e-02 9.234730e-01
1.060000e-02 7.652930e-02 9.234699e-01
1.070000e-02 7.653491e-02 9.234633e-01
1.080000e-02 7.654503e-02 9.234516e-01
1.090000e-02 7.656006e-02 9.234348e-01
1.100000e-02 7.657804e-02 9.234155e-01
1.110000e-02 7.659517e-02 9.233979e-01
1.120000e-02 7.660803e-02 9.233857e-01
1.130000e-02 7.661548e-02 9.233798e-01
1.140000e-02 7.661850e-02 9.233785e-01
1.150000e-02 7.661862e-02 9.233797e-01
1.160000e-02 7.661636e-02 9.233829e-01
1.170000e-02 7.661078e-02 9.233889e-01
1.180000e-02 7.660041e-02 9.233995e-01
1.190000e-02 7.658489e-02 9.234151e-01
1.200000e-02 7.656632e-02 9.234337e-01
