# x psi_r psi_i psi2 
-8.000000e+00  2.077218e-03 -8.673691e-04 5.067162e-06
-7.999674e+00 -5.882464e-03  3.110189e-03 4.427666e-05
-7.999349e+00  7.885469e-03 -4.400379e-03 8.154396e-05
-7.999023e+00 -7.472585e-03  4.342766e-03 7.469914e-05
-7.998698e+00  4.770326e-03 -2.954995e-03 3.148801e-05
-7.998372e+00 -6.066010e-04  6.621325e-04 8.063842e-07
-7.998047e+00 -3.742937e-03  1.833535e-03 1.737143e-05
-7.997721e+00  6.945717e-03 -3.767603e-03 6.243782e-05
-7.997396e+00 -8.020511e-03  4.547681e-03 8.501000e-05
-7.997070e+00  6.638050e-03 -3.934838e-03 5.954666e-05
-7.996745e+00 -3.221898e-03  2.116783e-03 1.486140e-05
-7.996419e+00 -1.181322e-03  3.496251e-04 1.517759e-06
-7.996094e+00  5.222586e-03 -2.708945e-03 3.461379e-05
-7.995768e+00 -7.663775e-03  4.238533e-03 7.669861e-05
-7.995443e+00  7.756992e-03 -4.469889e-03 8.015083e-05
-7.995117e+00 -5.473696e-03  3.332152e-03 4.106458e-05
-7.994792e+00  1.513439e-03 -1.173801e-03 3.668307e-06
-7.994466e+00  2.910461e-03 -1.344074e-03 1.027732e-05
-7.994141e+00 -6.442648e-03  3.450268e-03 5.341206e-05
-7.993815e+00  8.000972e-03 -4.499669e-03 8.426258e-05
-7.993489e+00 -7.108024e-03  4.170854e-03 6.792003e-05
-7.993164e+00  4.037395e-03 -2.564538e-03 2.287741e-05
-7.992838e+00  2.701492e-04  1.727244e-04 1.028143e-07
-7.992513e+00 -4.494895e-03  2.271992e-03 2.536603e-05
-7.992187e+00  7.342507e-03 -4.020812e-03 7.007933e-05
-7.991862e+00 -7.940570e-03  4.538086e-03 8.364688e-05
-7.991536e+00  6.105874e-03 -3.665378e-03 5.071670e-05
-7.991211e+00 -2.400533e-03  1.669993e-03 8.551435e-06
-7.990885e+00 -2.040232e-03  8.368974e-04 4.862945e-06
-7.990560e+00  5.855898e-03 -3.087450e-03 4.382389e-05
-7.990234e+00 -7.877461e-03  4.392338e-03 8.134702e-05
-7.989909e+00  7.485588e-03 -4.351885e-03 7.497293e-05
-7.989583e+00 -4.800356e-03  2.978481e-03 3.191477e-05
-7.989258e+00  6.444577e-04 -6.927928e-04 8.952877e-07
-7.988932e+00  3.708852e-03 -1.805091e-03 1.701394e-05
-7.988607e+00 -6.925848e-03  3.750087e-03 6.203052e-05
-7.988281e+00  8.020944e-03 -4.546458e-03 8.500582e-05
-7.987955e+00 -6.658653e-03  3.950282e-03 5.994238e-05
-7.987630e+00  3.256358e-03 -2.144164e-03 1.520131e-05
-7.987304e+00  1.143563e-03 -3.186928e-04 1.409301e-06
-7.986979e+00 -5.193097e-03  2.683935e-03 3.417176e-05
-7.986653e+00  7.651590e-03 -4.227105e-03 7.641524e-05
-7.986328e+00 -7.765844e-03  4.475544e-03 8.033882e-05
-7.986002e+00  5.500872e-03 -3.353156e-03 4.150326e-05
-7.985677e+00 -1.550614e-03  1.203724e-03 3.853353e-06
-7.985351e+00 -2.874678e-03  1.314399e-03 9.991415e-06
-7.985026e+00  6.419220e-03 -3.429928e-03 5.297079e-05
-7.984700e+00 -7.997077e-03  4.494894e-03 8.415731e-05
-7.984375e+00  7.124855e-03 -4.183107e-03 6.826193e-05
-7.984049e+00 -4.069794e-03  2.590065e-03 2.327167e-05
-7.983724e+00 -2.321072e-04 -2.037081e-04 9.537072e-08
-7.983398e+00  4.462866e-03 -2.245041e-03 2.495738e-05
-7.983073e+00 -7.326303e-03  4.006149e-03 6.972395e-05
-7.982747e+00  7.945157e-03 -4.540201e-03 8.373895e-05
-7.982422e+00 -6.129845e-03  3.683623e-03 5.114408e-05
-7.982096e+00  2.436544e-03 -1.698780e-03 8.822602e-06
-7.981770e+00  2.003215e-03 -8.063841e-04 4.663124e-06
-7.981445e+00 -5.829215e-03  3.064557e-03 4.337125e-05
-7.981119e+00  7.869287e-03 -4.384076e-03 8.114581e-05
-7.980794e+00 -7.498429e-03  4.360784e-03 7.524287e-05
-7.980468e+00  4.830276e-03 -3.001817e-03 3.234247e-05
-7.980143e+00 -6.822897e-04  7.234177e-04 9.888524e-07
-7.979817e+00 -3.674699e-03  1.776557e-03 1.665957e-05
-7.979492e+00  6.905837e-03 -3.732382e-03 6.162126e-05
-7.979166e+00 -8.021206e-03  4.545005e-03 8.499682e-05
-7.978841e+00  6.679108e-03 -3.965526e-03 6.033588e-05
-7.978515e+00 -3.290738e-03  2.171437e-03 1.554410e-05
-7.978190e+00 -1.105791e-03  2.877449e-04 1.305571e-06
-7.977864e+00  5.163506e-03 -2.658790e-03 3.373096e-05
-7.977539e+00 -7.639246e-03  4.215465e-03 7.612821e-05
-7.977213e+00  7.774528e-03 -4.480972e-03 8.052240e-05
-7.976888e+00 -5.527924e-03  3.373992e-03 4.194177e-05
-7.976562e+00  1.587745e-03 -1.233584e-03 4.042664e-06
-7.976236e+00  2.838843e-03 -1.284658e-03 9.709379e-06
