# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.622500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  1.622500e+04 -9.820000e-01 7.071421e-02
2.000000e-04 1.000000e+00  1.622500e+04 -9.640000e-01 7.072482e-02
3.000000e-04 1.000000e+00  1.622500e+04 -9.460000e-01 7.074249e-02
4.000000e-04 1.000000e+00  1.622500e+04 -9.280000e-01 7.076722e-02
5.000000e-04 1.000000e+00  1.622500e+04 -9.100000e-01 7.079901e-02
6.000000e-04 1.000000e+00  1.622500e+04 -8.920000e-01 7.083784e-02
7.000000e-04 1.000000e+00  1.622500e+04 -8.740000e-01 7.088371e-02
8.000000e-04 1.000000e+00  1.622500e+04 -8.560000e-01 7.093659e-02
9.000000e-04 1.000000e+00  1.622500e+04 -8.380000e-01 7.099648e-02
1.000000e-03 1.000000e+00  1.622500e+04 -8.200000e-01 7.106335e-02
1.100000e-03 1.000000e+00  1.622500e+04 -8.020000e-01 7.113719e-02
1.200000e-03 1.000000e+00  1.622500e+04 -7.840000e-01 7.121798e-02
1.300000e-03 1.000000e+00  1.622500e+04 -7.660000e-01 7.130568e-02
1.400000e-03 1.000000e+00  1.622500e+04 -7.480000e-01 7.140028e-02
1.500000e-03 1.000000e+00  1.622500e+04 -7.300000e-01 7.150175e-02
1.600000e-03 1.000000e+00  1.622500e+04 -7.120000e-01 7.161006e-02
1.700000e-03 1.000000e+00  1.622500e+04 -6.940000e-01 7.172517e-02
1.800000e-03 1.000000e+00  1.622500e+04 -6.760000e-01 7.184706e-02
1.900000e-03 1.000000e+00  1.622500e+04 -6.580000e-01 7.197569e-02
2.000000e-03 1.000000e+00  1.622500e+04 -6.400000e-01 7.211103e-02
2.100000e-03 1.000000e+00  1.622500e+04 -6.220000e-01 7.225303e-02
2.200000e-03 1.000000e+00  1.622500e+04 -6.040000e-01 7.240166e-02
2.300000e-03 1.000000e+00  1.622500e+04 -5.860000e-01 7.255687e-02
2.400000e-03 1.000000e+00  1.622500e+04 -5.680000e-01 7.271864e-02
2.500000e-03 1.000000e+00  1.622500e+04 -5.500000e-01 7.288690e-02
2.600000e-03 1.000000e+00  1.622500e+04 -5.320000e-01 7.306162e-02
2.700000e-03 1.000000e+00  1.622500e+04 -5.140000e-01 7.324275e-02
2.800000e-03 1.000000e+00  1.622500e+04 -4.960000e-01 7.343024e-02
2.900000e-03 1.000000e+00  1.622500e+04 -4.780000e-01 7.362404e-02
3.000000e-03 1.000000e+00  1.622500e+04 -4.600000e-01 7.382412e-02
3.100000e-03 1.000000e+00  1.622500e+04 -4.420000e-01 7.403040e-02
3.200000e-03 1.000000e+00  1.622500e+04 -4.240000e-01 7.424284e-02
3.300000e-03 1.000000e+00  1.622500e+04 -4.060000e-01 7.446140e-02
3.400000e-03 1.000000e+00  1.622500e+04 -3.880000e-01 7.468600e-02
3.500000e-03 1.000000e+00  1.622500e+04 -3.700000e-01 7.491657e-02
3.600000e-03 1.000000e+00  1.622500e+04 -3.520000e-01 7.515299e-02
3.700000e-03 1.000000e+00  1.622501e+04 -3.340001e-01 7.539501e-02
3.800000e-03 1.000000e+00  1.622502e+04 -3.160005e-01 7.564201e-02
3.900000e-03 1.000000e+00  1.622507e+04 -2.980014e-01 7.589252e-02
4.000000e-03 1.000000e+00  1.622519e+04 -2.800040e-01 7.614306e-02
4.100000e-03 1.000000e+00  1.622548e+04 -2.620108e-01 7.638610e-02
4.200000e-03 1.000000e+00  1.622615e+04 -2.440277e-01 7.660642e-02
4.300000e-03 1.000000e+00  1.622763e+04 -2.260666e-01 7.677569e-02
4.400000e-03 1.000000e+00  1.623065e+04 -2.081514e-01 7.684557e-02
4.500000e-03 1.000000e+00  1.623643e+04 -1.903256e-01 7.674089e-02
4.600000e-03 1.000000e+00  1.624688e+04 -1.726639e-01 7.635612e-02
4.700000e-03 1.000000e+00  1.626464e+04 -1.552852e-01 7.555973e-02
4.800000e-03 1.000000e+00  1.629304e+04 -1.383662e-01 7.421147e-02
4.900000e-03 1.000000e+00  1.633591e+04 -1.221513e-01 7.219637e-02
5.000000e-03 1.000000e+00  1.639696e+04 -1.069546e-01 6.947660e-02
5.100000e-03 1.000000e+00  1.647911e+04 -9.314867e-02 6.615838e-02
5.200000e-03 1.000000e+00  1.658366e+04 -8.113968e-02 6.256450e-02
5.300000e-03 1.000000e+00  1.670966e+04 -7.132912e-02 5.928771e-02
5.400000e-03 1.000000e+00  1.685360e+04 -6.406804e-02 5.716388e-02
5.500000e-03 1.000000e+00  1.700972e+04 -5.961265e-02 5.707171e-02
5.600000e-03 1.000000e+00  1.717074e+04 -5.809062e-02 5.955960e-02
5.700000e-03 1.000000e+00  1.732895e+04 -5.948542e-02 6.456971e-02
5.800000e-03 1.000000e+00  1.747740e+04 -6.364192e-02 7.154100e-02
