t    R    T
0.000000e+00 1.000000e+00 1.359748e-46
1.000000e-04 1.000000e+00 2.322137e-27
2.000000e-04 1.000000e+00 9.339906e-27
3.000000e-04 1.000000e+00 1.958009e-26
4.000000e-04 1.000000e+00 3.370905e-26
5.000000e-04 1.000000e+00 5.199565e-26
6.000000e-04 1.000000e+00 7.374229e-26
7.000000e-04 1.000000e+00 9.986813e-26
8.000000e-04 1.000000e+00 1.306319e-25
9.000000e-04 1.000000e+00 1.647930e-25
1.000000e-03 1.000000e+00 2.026618e-25
1.100000e-03 1.000000e+00 2.449050e-25
1.200000e-03 1.000000e+00 2.916124e-25
1.300000e-03 1.000000e+00 3.434405e-25
1.400000e-03 1.000000e+00 4.090866e-25
1.500000e-03 1.000000e+00 6.498048e-25
1.600000e-03 1.000000e+00 3.821931e-24
1.700000e-03 1.000000e+00 5.355474e-23
1.800000e-03 1.000000e+00 7.854655e-22
1.900000e-03 1.000000e+00 1.073774e-20
2.000000e-03 1.000000e+00 1.356101e-19
2.100000e-03 1.000000e+00 1.580705e-18
2.200000e-03 1.000000e+00 1.699887e-17
2.300000e-03 1.000000e+00 1.686077e-16
2.400000e-03 1.000000e+00 1.542196e-15
2.500000e-03 1.000000e+00 1.300662e-14
2.600000e-03 1.000000e+00 1.011466e-13
2.700000e-03 1.000000e+00 7.253384e-13
2.800000e-03 1.000000e+00 4.797499e-12
2.900000e-03 1.000000e+00 2.927493e-11
3.000000e-03 1.000000e+00 1.648714e-10
3.100000e-03 1.000000e+00 8.573597e-10
3.200000e-03 9.999999e-01 4.118960e-09
3.300000e-03 9.999996e-01 1.829340e-08
3.400000e-03 9.999986e-01 7.516151e-08
3.500000e-03 9.999950e-01 2.859169e-07
3.600000e-03 9.999840e-01 1.007888e-06
3.700000e-03 9.999525e-01 3.295593e-06
3.800000e-03 9.998690e-01 1.000603e-05
3.900000e-03 9.996642e-01 2.824181e-05
4.000000e-03 9.991998e-01 7.419239e-05
4.100000e-03 9.982245e-01 1.816508e-04
4.200000e-03 9.963275e-01 4.150922e-04
4.300000e-03 9.929099e-01 8.866383e-04
4.400000e-03 9.872063e-01 1.773210e-03
4.500000e-03 9.783913e-01 3.326293e-03
4.600000e-03 9.657826e-01 5.863904e-03
4.700000e-03 9.491112e-01 9.735376e-03
4.800000e-03 9.287770e-01 1.525651e-02
4.900000e-03 9.059789e-01 2.262492e-02
5.000000e-03 8.826239e-01 3.183815e-02
5.100000e-03 8.609951e-01 4.264395e-02
5.200000e-03 8.432580e-01 5.454620e-02
5.300000e-03 8.309631e-01 6.687339e-02
5.400000e-03 8.247145e-01 7.889345e-02
5.500000e-03 8.241103e-01 8.994231e-02
5.600000e-03 8.279531e-01 9.952900e-02
5.700000e-03 8.346303e-01 1.073913e-01
5.800000e-03 8.425213e-01 1.134947e-01
5.900000e-03 8.503081e-01 1.179856e-01
6.000000e-03 8.571284e-01 1.211226e-01
6.100000e-03 8.625772e-01 1.232057e-01
6.200000e-03 8.666076e-01 1.245229e-01
6.300000e-03 8.693941e-01 1.253172e-01
6.400000e-03 8.712067e-01 1.257748e-01
6.500000e-03 8.723215e-01 1.260270e-01
6.600000e-03 8.729723e-01 1.261602e-01
6.700000e-03 8.733341e-01 1.262278e-01
6.800000e-03 8.735263e-01 1.262606e-01
6.900000e-03 8.736241e-01 1.262760e-01
7.000000e-03 8.736719e-01 1.262828e-01
7.100000e-03 8.736945e-01 1.262855e-01
7.200000e-03 8.737050e-01 1.262865e-01
7.300000e-03 8.737097e-01 1.262866e-01
7.400000e-03 8.737120e-01 1.262865e-01
7.500000e-03 8.737131e-01 1.262863e-01
7.600000e-03 8.737136e-01 1.262861e-01
7.700000e-03 8.737138e-01 1.262860e-01
7.800000e-03 8.737139e-01 1.262861e-01
7.900000e-03 8.737137e-01 1.262862e-01
8.000000e-03 8.737135e-01 1.262865e-01
8.100000e-03 8.737132e-01 1.262868e-01
8.200000e-03 8.737128e-01 1.262872e-01
8.300000e-03 8.737124e-01 1.262876e-01
8.400000e-03 8.737121e-01 1.262879e-01
8.500000e-03 8.737117e-01 1.262882e-01
8.600000e-03 8.737115e-01 1.262884e-01
8.700000e-03 8.737114e-01 1.262885e-01
8.800000e-03 8.737114e-01 1.262885e-01
8.900000e-03 8.737116e-01 1.262884e-01
9.000000e-03 8.737118e-01 1.262881e-01
9.100000e-03 8.737121e-01 1.262878e-01
9.200000e-03 8.737125e-01 1.262874e-01
9.300000e-03 8.737128e-01 1.262870e-01
9.400000e-03 8.737132e-01 1.262866e-01
9.500000e-03 8.737135e-01 1.262863e-01
9.600000e-03 8.737138e-01 1.262861e-01
9.700000e-03 8.737139e-01 1.262860e-01
9.800000e-03 8.737139e-01 1.262860e-01
9.900000e-03 8.737138e-01 1.262862e-01
1.000000e-02 8.737136e-01 1.262864e-01
1.010000e-02 8.737132e-01 1.262867e-01
1.020000e-02 8.737129e-01 1.262871e-01
1.030000e-02 8.737125e-01 1.262875e-01
1.040000e-02 8.737121e-01 1.262879e-01
1.050000e-02 8.737118e-01 1.262882e-01
1.060000e-02 8.737116e-01 1.262884e-01
1.070000e-02 8.737114e-01 1.262885e-01
1.080000e-02 8.737114e-01 1.262885e-01
1.090000e-02 8.737115e-01 1.262884e-01
1.100000e-02 8.737117e-01 1.262882e-01
1.110000e-02 8.737120e-01 1.262878e-01
1.120000e-02 8.737124e-01 1.262875e-01
1.130000e-02 8.737128e-01 1.262871e-01
1.140000e-02 8.737132e-01 1.262867e-01
1.150000e-02 8.737135e-01 1.262864e-01
1.160000e-02 8.737137e-01 1.262862e-01
1.170000e-02 8.737139e-01 1.262860e-01
1.180000e-02 8.737139e-01 1.262860e-01
1.190000e-02 8.737138e-01 1.262861e-01
1.200000e-02 8.737136e-01 1.262864e-01
