# x psi_r psi_i psi2 
-8.000000e+00  1.917291e-04  1.575605e-04 6.158539e-08
-7.999674e+00 -3.567303e-04 -5.434427e-04 4.225865e-07
-7.999349e+00  4.127586e-04  7.631824e-04 7.528170e-07
-7.999023e+00 -3.427133e-04 -7.496142e-04 6.793738e-07
-7.998698e+00  1.680013e-04  5.068960e-04 2.851680e-07
-7.998372e+00  5.800423e-05 -1.092346e-04 1.529669e-08
-7.998047e+00 -2.662697e-04 -3.218015e-04 1.744558e-07
-7.997721e+00  3.931870e-04  6.544470e-04 5.828970e-07
-7.997396e+00 -4.000008e-04 -7.870192e-04 7.793999e-07
-7.997070e+00  2.846427e-04  6.790006e-04 5.420634e-07
-7.996745e+00 -8.235921e-05 -3.634221e-04 1.388587e-07
-7.996419e+00 -1.450576e-04 -6.323772e-05 2.504073e-08
-7.996094e+00  3.281458e-04  4.705478e-04 3.290949e-07
-7.995768e+00 -4.109900e-04 -7.339978e-04 7.076655e-07
-7.995443e+00  3.682978e-04  7.730595e-04 7.332642e-07
-7.995117e+00 -2.131219e-04 -5.758019e-04 3.769687e-07
-7.994792e+00 -7.130734e-06  2.025351e-04 4.107132e-08
-7.994466e+00  2.251822e-04  2.326287e-04 1.048231e-07
-7.994141e+00 -3.744339e-04 -5.966610e-04 4.962051e-07
-7.993815e+00  4.093075e-04  7.782834e-04 7.732576e-07
-7.993489e+00 -3.191637e-04 -7.219833e-04 6.231254e-07
-7.993164e+00  1.315483e-04  4.449816e-04 2.153136e-07
-7.992838e+00  9.622584e-05 -3.196481e-05 1.028116e-08
-7.992513e+00 -2.945859e-04 -3.908054e-04 2.395098e-07
-7.992187e+00  4.029506e-04  6.940915e-04 6.441321e-07
-7.991862e+00 -3.882318e-04 -7.851865e-04 7.672418e-07
-7.991536e+00  2.549380e-04  6.362529e-04 4.698111e-07
-7.991211e+00 -4.379325e-05 -2.928286e-04 8.766642e-08
-7.990885e+00 -1.807049e-04 -1.400960e-04 5.228116e-08
-7.990560e+00  3.499873e-04  5.301757e-04 4.035774e-07
-7.990234e+00 -4.123562e-04 -7.581683e-04 7.448569e-07
-7.989909e+00  3.487739e-04  7.543855e-04 6.907407e-07
-7.989583e+00 -1.786732e-04 -5.199936e-04 3.023175e-07
-7.989258e+00 -4.598122e-05  1.266543e-04 1.815557e-08
-7.988932e+00  2.565682e-04  3.053852e-04 1.590873e-07
-7.988607e+00 -3.887702e-04 -6.440523e-04 5.659456e-07
-7.988281e+00  4.022174e-04  7.858234e-04 7.792973e-07
-7.987955e+00 -2.928151e-04 -6.873689e-04 5.582167e-07
-7.987630e+00  9.399067e-05  3.787959e-04 1.523205e-07
-7.987304e+00  1.335202e-04  4.555853e-05 1.990323e-08
-7.986979e+00 -3.202266e-04 -4.559677e-04 3.104517e-07
-7.986653e+00  4.091076e-04  7.269737e-04 6.958598e-07
-7.986328e+00 -3.730268e-04 -7.757383e-04 7.409189e-07
-7.986002e+00  2.230173e-04  5.873642e-04 3.947334e-07
-7.985677e+00 -4.908020e-06 -2.194460e-04 4.818063e-08
-7.985351e+00 -2.146776e-04 -2.155391e-04 9.254356e-08
-7.985026e+00  3.686719e-04  5.846169e-04 4.776959e-07
-7.984700e+00 -4.100478e-04 -7.749664e-04 7.687121e-07
-7.984375e+00  3.261798e-04  7.284070e-04 6.369700e-07
-7.984049e+00 -1.426964e-04 -4.591818e-04 2.312101e-07
-7.983724e+00 -8.435115e-05  4.960019e-05 9.575295e-09
-7.983398e+00  2.856120e-04  3.751261e-04 2.222937e-07
-7.983073e+00 -3.996182e-04 -6.851611e-04 6.291405e-07
-7.982747e+00  3.915585e-04  7.857348e-04 7.706973e-07
-7.982422e+00 -2.639071e-04 -6.461118e-04 4.871074e-07
-7.982096e+00  5.566467e-05  3.089838e-04 9.856955e-08
-7.981770e+00  1.695576e-04  1.225833e-04 4.377645e-08
-7.981445e+00 -3.429690e-04 -5.166592e-04 3.845644e-07
-7.981119e+00  4.116105e-04  7.527797e-04 7.361004e-07
