# x psi_r psi_i psi2 
-7.969726e+00 -7.669903e-04  1.219208e-03 2.074742e-06
-7.969400e+00  3.218544e-04 -4.916308e-04 3.452911e-07
-7.969075e+00  2.218840e-04 -3.864747e-04 1.985952e-07
-7.968749e+00 -6.976371e-04  1.146246e-03 1.800577e-06
-7.968424e+00  9.596475e-04 -1.555053e-03 3.339112e-06
-7.968098e+00 -9.276447e-04  1.487725e-03 3.073852e-06
-7.967773e+00  6.114369e-04 -9.648798e-04 1.304848e-06
-7.967447e+00 -1.079047e-04  1.466039e-04 3.313613e-08
-7.967122e+00 -4.286810e-04  7.165581e-04 6.972229e-07
-7.966796e+00  8.339243e-04 -1.360319e-03 2.545899e-06
-7.966471e+00 -9.836711e-04  1.587571e-03 3.487989e-06
-7.966145e+00  8.320457e-04 -1.328732e-03 2.457828e-06
-7.965820e+00 -4.255055e-04  6.630561e-04 6.206983e-07
-7.965494e+00 -1.113936e-04  2.056357e-04 5.469458e-08
-7.965169e+00  6.141588e-04 -1.011363e-03 1.400047e-06
-7.964843e+00 -9.287565e-04  1.507425e-03 3.134920e-06
-7.964518e+00  9.588047e-04 -1.541936e-03 3.296873e-06
-7.964192e+00 -6.951004e-04  1.104330e-03 1.702709e-06
-7.963866e+00  2.184390e-04 -3.285954e-04 1.556905e-07
-7.963541e+00  3.251410e-04 -5.477482e-04 4.057448e-07
-7.963215e+00 -7.691005e-04  1.256378e-03 2.170001e-06
-7.962890e+00  9.774233e-04 -1.580323e-03 3.452777e-06
-7.962564e+00 -8.862874e-04  1.420397e-03 2.803032e-06
-7.962239e+00  5.236178e-04 -8.255671e-04 9.557367e-07
-7.961913e+00 -5.297807e-07 -2.203719e-05 4.859183e-10
-7.961588e+00 -5.227148e-04  8.628924e-04 1.017814e-06
-7.961262e+00  8.858077e-04 -1.439542e-03 2.856936e-06
-7.960937e+00 -9.775089e-04  1.575424e-03 3.437486e-06
-7.960611e+00  7.697265e-04 -1.228936e-03 2.102763e-06
-7.960286e+00 -3.261228e-04  5.061672e-04 3.625613e-07
-7.959960e+00 -2.173913e-04  3.715809e-04 1.853313e-07
-7.959635e+00  6.942965e-04 -1.135555e-03 1.771533e-06
-7.959309e+00 -9.584826e-04  1.551838e-03 3.326891e-06
-7.958984e+00  9.290124e-04 -1.492972e-03 3.092029e-06
-7.958658e+00 -6.149179e-04  9.769804e-04 1.332615e-06
-7.958332e+00  1.124325e-04 -1.618536e-04 3.883768e-08
-7.958007e+00  4.244936e-04 -7.028287e-04 6.741630e-07
-7.957681e+00 -8.313604e-04  1.352314e-03 2.519914e-06
-7.957356e+00  9.835161e-04 -1.587741e-03 3.488224e-06
-7.957030e+00 -8.343471e-04  1.337025e-03 2.483771e-06
-7.956705e+00  4.295581e-04 -6.769332e-04 6.427588e-07
-7.956379e+00  1.068315e-04 -1.904238e-04 4.767418e-08
-7.956054e+00 -6.104850e-04  9.994743e-04 1.371641e-06
-7.955728e+00  9.270966e-04 -1.502500e-03 3.117014e-06
-7.955403e+00 -9.596672e-04  1.545482e-03 3.309476e-06
-7.955077e+00  6.982210e-04 -1.115261e-03 1.731321e-06
-7.954752e+00 -2.228615e-04  3.435657e-04 1.677046e-07
-7.954426e+00 -3.207717e-04  5.333232e-04 3.873281e-07
-7.954101e+00  7.661230e-04 -1.246915e-03 2.141742e-06
-7.953775e+00 -9.767499e-04  1.578720e-03 3.446396e-06
