t    R    T
0.000000e+00 1.000000e+00 1.359748e-46
1.000000e-04 1.000000e+00 2.723397e-27
2.000000e-04 1.000000e+00 1.063570e-26
3.000000e-04 1.000000e+00 2.138445e-26
4.000000e-04 1.000000e+00 3.605383e-26
5.000000e-04 1.000000e+00 5.501826e-26
6.000000e-04 1.000000e+00 7.802233e-26
7.000000e-04 1.000000e+00 1.055549e-25
8.000000e-04 1.000000e+00 1.387364e-25
9.000000e-04 1.000000e+00 1.762760e-25
1.000000e-03 1.000000e+00 2.266840e-25
1.100000e-03 1.000000e+00 6.762543e-25
1.200000e-03 1.000000e+00 1.817694e-23
1.300000e-03 1.000000e+00 7.072230e-22
1.400000e-03 1.000000e+00 2.453715e-20
1.500000e-03 1.000000e+00 7.406647e-19
1.600000e-03 1.000000e+00 1.940678e-17
1.700000e-03 1.000000e+00 4.410967e-16
1.800000e-03 1.000000e+00 8.694550e-15
1.900000e-03 1.000000e+00 1.486204e-13
2.000000e-03 1.000000e+00 2.203432e-12
2.100000e-03 1.000000e+00 2.834448e-11
2.200000e-03 1.000000e+00 3.165395e-10
2.300000e-03 1.000000e+00 3.071189e-09
2.400000e-03 9.999998e-01 2.591319e-08
2.500000e-03 9.999985e-01 1.903605e-07
2.600000e-03 9.999918e-01 1.219191e-06
2.700000e-03 9.999598e-01 6.818671e-06
2.800000e-03 9.998281e-01 3.336223e-05
2.900000e-03 9.993543e-01 1.431003e-04
3.000000e-03 9.978664e-01 5.393572e-04
3.100000e-03 9.937785e-01 1.791075e-03
3.200000e-03 9.839373e-01 5.255946e-03
3.300000e-03 9.631404e-01 1.367590e-02
3.400000e-03 9.244894e-01 3.167352e-02
3.500000e-03 8.611945e-01 6.558058e-02
3.600000e-03 7.696837e-01 1.220053e-01
3.700000e-03 6.526454e-01 2.051305e-01
3.800000e-03 5.199734e-01 3.137990e-01
3.900000e-03 3.864268e-01 4.401709e-01
4.000000e-03 2.668552e-01 5.712356e-01
4.100000e-03 1.714901e-01 6.927892e-01
4.200000e-03 1.036706e-01 7.938770e-01
4.300000e-03 6.065092e-02 8.694784e-01
4.400000e-03 3.632975e-02 9.204775e-01
4.500000e-03 2.410778e-02 9.516054e-01
4.600000e-03 1.868187e-02 9.688519e-01
4.700000e-03 1.658153e-02 9.775555e-01
4.800000e-03 1.589325e-02 9.815704e-01
4.900000e-03 1.571696e-02 9.832697e-01
5.000000e-03 1.569234e-02 9.839322e-01
5.100000e-03 1.569932e-02 9.841711e-01
5.200000e-03 1.570702e-02 9.842511e-01
5.300000e-03 1.571112e-02 9.842762e-01
5.400000e-03 1.571279e-02 9.842836e-01
5.500000e-03 1.571333e-02 9.842857e-01
5.600000e-03 1.571341e-02 9.842863e-01
5.700000e-03 1.571330e-02 9.842866e-01
5.800000e-03 1.571313e-02 9.842868e-01
5.900000e-03 1.571295e-02 9.842870e-01
6.000000e-03 1.571278e-02 9.842872e-01
