# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.447500e+04 -1.000000e+00 7.071068e-02
6.300000e-03 1.000000e+00  1.583877e+04 -8.210445e-02 8.070317e-02
6.400000e-03 1.000000e+00  1.592093e+04 -9.213259e-02 8.807445e-02
6.500000e-03 1.000000e+00  1.598761e+04 -1.035978e-01 9.526661e-02
6.600000e-03 1.000000e+00  1.604197e+04 -1.161935e-01 1.021202e-01
6.700000e-03 1.000000e+00  1.608794e+04 -1.296469e-01 1.085785e-01
6.800000e-03 1.000000e+00  1.612933e+04 -1.437284e-01 1.146560e-01
6.900000e-03 1.000000e+00  1.616894e+04 -1.582547e-01 1.204126e-01
7.000000e-03 1.000000e+00  1.620801e+04 -1.730855e-01 1.259333e-01
7.100000e-03 1.000000e+00  1.624616e+04 -1.881186e-01 1.313134e-01
7.200000e-03 1.000000e+00  1.628181e+04 -2.032818e-01 1.366473e-01
7.300000e-03 1.000000e+00  1.631288e+04 -2.185265e-01 1.420204e-01
7.400000e-03 1.000000e+00  1.633766e+04 -2.338206e-01 1.475033e-01
7.500000e-03 1.000000e+00  1.635527e+04 -2.491441e-01 1.531479e-01
7.600000e-03 1.000000e+00  1.636593e+04 -2.644843e-01 1.589858e-01
7.700000e-03 1.000000e+00  1.637080e+04 -2.798340e-01 1.650288e-01
7.800000e-03 1.000000e+00  1.637152e+04 -2.951886e-01 1.712713e-01
7.900000e-03 1.000000e+00  1.636980e+04 -3.105458e-01 1.776947e-01
8.000000e-03 1.000000e+00  1.636709e+04 -3.259042e-01 1.842716e-01
8.100000e-03 1.000000e+00  1.636436e+04 -3.412630e-01 1.909710e-01
8.200000e-03 1.000000e+00  1.636212e+04 -3.566218e-01 1.977610e-01
8.300000e-03 1.000000e+00  1.636053e+04 -3.719805e-01 2.046115e-01
8.400000e-03 1.000000e+00  1.635952e+04 -3.873389e-01 2.114951e-01
8.500000e-03 1.000000e+00  1.635892e+04 -4.026970e-01 2.183871e-01
8.600000e-03 1.000000e+00  1.635860e+04 -4.180549e-01 2.252664e-01
8.700000e-03 1.000000e+00  1.635843e+04 -4.334127e-01 2.321161e-01
8.800000e-03 1.000000e+00  1.635835e+04 -4.487703e-01 2.389251e-01
8.900000e-03 1.000000e+00  1.635832e+04 -4.641280e-01 2.456889e-01
9.000000e-03 1.000000e+00  1.635832e+04 -4.794858e-01 2.524108e-01
9.100000e-03 1.000000e+00  1.635834e+04 -4.948440e-01 2.591016e-01
9.200000e-03 1.000000e+00  1.635836e+04 -5.102025e-01 2.657786e-01
9.300000e-03 1.000000e+00  1.635837e+04 -5.255614e-01 2.724631e-01
9.400000e-03 1.000000e+00  1.635838e+04 -5.409208e-01 2.791775e-01
9.500000e-03 1.000000e+00  1.635837e+04 -5.562805e-01 2.859423e-01
9.600000e-03 1.000000e+00  1.635836e+04 -5.716405e-01 2.927731e-01
9.700000e-03 1.000000e+00  1.635835e+04 -5.870007e-01 2.996793e-01
9.800000e-03 1.000000e+00  1.635833e+04 -6.023608e-01 3.066629e-01
9.900000e-03 1.000000e+00  1.635831e+04 -6.177208e-01 3.137197e-01
1.000000e-02 1.000000e+00  1.635830e+04 -6.330806e-01 3.208400e-01
1.010000e-02 1.000000e+00  1.635828e+04 -6.484402e-01 3.280111e-01
1.020000e-02 1.000000e+00  1.635827e+04 -6.637994e-01 3.352185e-01
1.030000e-02 1.000000e+00  1.635826e+04 -6.791582e-01 3.424476e-01
1.040000e-02 1.000000e+00  1.635825e+04 -6.945168e-01 3.496841e-01
1.050000e-02 1.000000e+00  1.635824e+04 -7.098750e-01 3.569143e-01
1.060000e-02 1.000000e+00  1.635823e+04 -7.252330e-01 3.641260e-01
1.070000e-02 1.000000e+00  1.635823e+04 -7.405907e-01 3.713087e-01
1.080000e-02 1.000000e+00  1.635822e+04 -7.559484e-01 3.784547e-01
1.090000e-02 1.000000e+00  1.635822e+04 -7.713060e-01 3.855603e-01
1.100000e-02 1.000000e+00  1.635821e+04 -7.866639e-01 3.926265e-01
1.110000e-02 1.000000e+00  1.635821e+04 -8.020219e-01 3.996592e-01
1.120000e-02 1.000000e+00  1.635820e+04 -8.173804e-01 4.066690e-01
1.130000e-02 1.000000e+00  1.635819e+04 -8.327392e-01 4.136697e-01
1.140000e-02 1.000000e+00  1.635818e+04 -8.480985e-01 4.206769e-01
1.150000e-02 1.000000e+00  1.635817e+04 -8.634582e-01 4.277055e-01
1.160000e-02 1.000000e+00  1.635816e+04 -8.788182e-01 4.347679e-01
1.170000e-02 1.000000e+00  1.635814e+04 -8.941783e-01 4.418725e-01
1.180000e-02 1.000000e+00  1.635813e+04 -9.095385e-01 4.490233e-01
1.190000e-02 1.000000e+00  1.635811e+04 -9.248985e-01 4.562194e-01
1.200000e-02 1.000000e+00  1.635810e+04 -9.402583e-01 4.634562e-01
