# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.447500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  1.447500e+04 -9.830000e-01 7.071421e-02
2.000000e-04 1.000000e+00  1.447500e+04 -9.660000e-01 7.072482e-02
3.000000e-04 1.000000e+00  1.447500e+04 -9.490000e-01 7.074249e-02
4.000000e-04 1.000000e+00  1.447500e+04 -9.320000e-01 7.076722e-02
5.000000e-04 1.000000e+00  1.447500e+04 -9.150000e-01 7.079901e-02
6.000000e-04 1.000000e+00  1.447500e+04 -8.980000e-01 7.083784e-02
7.000000e-04 1.000000e+00  1.447500e+04 -8.810000e-01 7.088371e-02
8.000000e-04 1.000000e+00  1.447500e+04 -8.640000e-01 7.093659e-02
9.000000e-04 1.000000e+00  1.447500e+04 -8.470000e-01 7.099648e-02
1.000000e-03 1.000000e+00  1.447500e+04 -8.300000e-01 7.106335e-02
1.100000e-03 1.000000e+00  1.447500e+04 -8.130000e-01 7.113719e-02
1.200000e-03 1.000000e+00  1.447500e+04 -7.960000e-01 7.121798e-02
1.300000e-03 1.000000e+00  1.447500e+04 -7.790000e-01 7.130568e-02
1.400000e-03 1.000000e+00  1.447500e+04 -7.620000e-01 7.140028e-02
1.500000e-03 1.000000e+00  1.447500e+04 -7.450000e-01 7.150175e-02
1.600000e-03 1.000000e+00  1.447500e+04 -7.280000e-01 7.161006e-02
1.700000e-03 1.000000e+00  1.447500e+04 -7.110000e-01 7.172517e-02
1.800000e-03 1.000000e+00  1.447500e+04 -6.940000e-01 7.184706e-02
1.900000e-03 1.000000e+00  1.447500e+04 -6.770000e-01 7.197569e-02
2.000000e-03 1.000000e+00  1.447500e+04 -6.600000e-01 7.211103e-02
2.100000e-03 1.000000e+00  1.447500e+04 -6.430000e-01 7.225303e-02
2.200000e-03 1.000000e+00  1.447500e+04 -6.260000e-01 7.240166e-02
2.300000e-03 1.000000e+00  1.447500e+04 -6.090000e-01 7.255687e-02
2.400000e-03 1.000000e+00  1.447500e+04 -5.920000e-01 7.271864e-02
2.500000e-03 1.000000e+00  1.447500e+04 -5.750000e-01 7.288690e-02
2.600000e-03 1.000000e+00  1.447500e+04 -5.580000e-01 7.306162e-02
2.700000e-03 1.000000e+00  1.447500e+04 -5.410000e-01 7.324275e-02
2.800000e-03 1.000000e+00  1.447500e+04 -5.240000e-01 7.343024e-02
2.900000e-03 1.000000e+00  1.447500e+04 -5.070000e-01 7.362404e-02
3.000000e-03 1.000000e+00  1.447500e+04 -4.900000e-01 7.382412e-02
3.100000e-03 1.000000e+00  1.447500e+04 -4.730000e-01 7.403040e-02
3.200000e-03 1.000000e+00  1.447500e+04 -4.560000e-01 7.424284e-02
3.300000e-03 1.000000e+00  1.447500e+04 -4.390000e-01 7.446140e-02
3.400000e-03 1.000000e+00  1.447500e+04 -4.220000e-01 7.468601e-02
3.500000e-03 1.000000e+00  1.447500e+04 -4.050000e-01 7.491662e-02
3.600000e-03 1.000000e+00  1.447500e+04 -3.880000e-01 7.515316e-02
3.700000e-03 1.000000e+00  1.447500e+04 -3.710000e-01 7.539556e-02
3.800000e-03 1.000000e+00  1.447500e+04 -3.540000e-01 7.564370e-02
3.900000e-03 1.000000e+00  1.447501e+04 -3.370001e-01 7.589732e-02
4.000000e-03 1.000000e+00  1.447502e+04 -3.200004e-01 7.615588e-02
4.100000e-03 1.000000e+00  1.447506e+04 -3.030013e-01 7.641810e-02
4.200000e-03 1.000000e+00  1.447516e+04 -2.860035e-01 7.668115e-02
4.300000e-03 1.000000e+00  1.447540e+04 -2.690091e-01 7.693909e-02
4.400000e-03 1.000000e+00  1.447592e+04 -2.520224e-01 7.718024e-02
4.500000e-03 1.000000e+00  1.447703e+04 -2.350522e-01 7.738326e-02
4.600000e-03 1.000000e+00  1.447925e+04 -2.181154e-01 7.751198e-02
4.700000e-03 1.000000e+00  1.448343e+04 -2.012428e-01 7.750995e-02
4.800000e-03 1.000000e+00  1.449089e+04 -1.844865e-01 7.729636e-02
4.900000e-03 1.000000e+00  1.450348e+04 -1.679296e-01 7.676634e-02
5.000000e-03 1.000000e+00  1.452362e+04 -1.516972e-01 7.579886e-02
5.100000e-03 1.000000e+00  1.455417e+04 -1.359647e-01 7.427527e-02
5.200000e-03 1.000000e+00  1.459815e+04 -1.209639e-01 7.211007e-02
5.300000e-03 1.000000e+00  1.465834e+04 -1.069806e-01 6.929322e-02
5.400000e-03 1.000000e+00  1.473664e+04 -9.434295e-02 6.594119e-02
5.500000e-03 1.000000e+00  1.483361e+04 -8.339984e-02 6.234874e-02
5.600000e-03 1.000000e+00  1.494802e+04 -7.449041e-02 5.902305e-02
5.700000e-03 1.000000e+00  1.507671e+04 -6.790957e-02 5.665838e-02
5.800000e-03 1.000000e+00  1.521481e+04 -6.387519e-02 5.598809e-02
5.900000e-03 1.000000e+00  1.535627e+04 -6.250316e-02 5.750788e-02
6.000000e-03 1.000000e+00  1.549465e+04 -6.379520e-02 6.124043e-02
6.100000e-03 1.000000e+00  1.562397e+04 -6.764135e-02 6.676216e-02
6.200000e-03 1.000000e+00  1.573960e+04 -7.383610e-02 7.344789e-02
