# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  5.782500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  5.782500e+04 -9.660000e-01 7.071421e-02
2.000000e-04 1.000000e+00  5.782500e+04 -9.320000e-01 7.072482e-02
3.000000e-04 1.000000e+00  5.782500e+04 -8.980000e-01 7.074249e-02
4.000000e-04 1.000000e+00  5.782500e+04 -8.640000e-01 7.076722e-02
5.000000e-04 1.000000e+00  5.782500e+04 -8.300000e-01 7.079901e-02
6.000000e-04 1.000000e+00  5.782500e+04 -7.960000e-01 7.083784e-02
7.000000e-04 1.000000e+00  5.782500e+04 -7.620000e-01 7.088371e-02
8.000000e-04 1.000000e+00  5.782500e+04 -7.280000e-01 7.093659e-02
9.000000e-04 1.000000e+00  5.782500e+04 -6.940000e-01 7.099648e-02
1.000000e-03 1.000000e+00  5.782500e+04 -6.600000e-01 7.106335e-02
1.100000e-03 1.000000e+00  5.782500e+04 -6.260000e-01 7.113719e-02
1.200000e-03 1.000000e+00  5.782500e+04 -5.920000e-01 7.121798e-02
1.300000e-03 1.000000e+00  5.782500e+04 -5.580000e-01 7.130568e-02
1.400000e-03 1.000000e+00  5.782500e+04 -5.240000e-01 7.140028e-02
1.500000e-03 1.000000e+00  5.782500e+04 -4.900000e-01 7.150175e-02
1.600000e-03 1.000000e+00  5.782500e+04 -4.560000e-01 7.161006e-02
1.700000e-03 1.000000e+00  5.782500e+04 -4.220000e-01 7.172517e-02
1.800000e-03 1.000000e+00  5.782500e+04 -3.880000e-01 7.184708e-02
1.900000e-03 1.000000e+00  5.782503e+04 -3.540000e-01 7.197591e-02
2.000000e-03 1.000000e+00  5.782521e+04 -3.199996e-01 7.211278e-02
2.100000e-03 1.000000e+00  5.782639e+04 -2.859974e-01 7.226410e-02
2.200000e-03 1.000000e+00  5.783234e+04 -2.519853e-01 7.245717e-02
2.300000e-03 1.000000e+00  5.785669e+04 -2.179348e-01 7.277914e-02
2.400000e-03 1.000000e+00  5.793713e+04 -1.837668e-01 7.343136e-02
2.500000e-03 1.000000e+00  5.815340e+04 -1.493285e-01 7.472805e-02
2.600000e-03 1.000000e+00  5.862898e+04 -1.144445e-01 7.694495e-02
2.700000e-03 1.000000e+00  5.948918e+04 -7.911586e-02 8.013617e-02
2.800000e-03 1.000000e+00  6.077509e+04 -4.379263e-02 8.432356e-02
2.900000e-03 1.000000e+00  6.237029e+04 -9.431828e-03 9.012324e-02
3.000000e-03 1.000000e+00  6.401754e+04  2.287964e-02 9.897711e-02
3.100000e-03 1.000000e+00  6.543698e+04  5.252104e-02 1.122463e-01
3.200000e-03 1.000000e+00  6.645990e+04  7.964071e-02 1.300824e-01
3.300000e-03 1.000000e+00  6.707798e+04  1.049400e-01 1.514819e-01
3.400000e-03 1.000000e+00  6.739216e+04  1.292196e-01 1.751188e-01
3.500000e-03 1.000000e+00  6.752717e+04  1.530769e-01 1.998757e-01
3.600000e-03 1.000000e+00  6.757654e+04  1.768579e-01 2.248912e-01
3.700000e-03 1.000000e+00  6.759207e+04  2.007263e-01 2.494630e-01
3.800000e-03 1.000000e+00  6.759639e+04  2.247164e-01 2.730485e-01
3.900000e-03 1.000000e+00  6.759754e+04  2.487619e-01 2.953756e-01
