# x psi_r psi_i psi2 
-8.000000e+00  3.917938e-04 -3.138496e-04 2.520040e-07
-7.999674e+00 -7.656854e-04  8.822784e-04 1.364689e-06
-7.999349e+00  9.063205e-04 -1.181679e-03 2.217782e-06
-7.999023e+00 -7.708786e-04  1.120775e-03 1.850390e-06
-7.998698e+00  4.006357e-04 -7.181490e-04 6.762469e-07
-7.998372e+00  9.161443e-05  9.657554e-05 1.772004e-08
-7.998047e+00 -5.559227e-04  5.544197e-04 6.164313e-07
-7.997721e+00  8.508621e-04 -1.036348e-03 1.797983e-06
-7.997396e+00 -8.866060e-04  1.202275e-03 2.231535e-06
-7.997070e+00  6.522857e-04 -1.001623e-03 1.428725e-06
-7.996745e+00 -2.192951e-04  4.955840e-04 2.936939e-07
-7.996419e+00 -2.804616e-04  1.615387e-04 1.047535e-07
-7.996094e+00  6.947530e-04 -7.693830e-04 1.074632e-06
-7.995768e+00 -8.973915e-04  1.142619e-03 2.110891e-06
-7.995443e+00  8.266684e-04 -1.167457e-03 2.046337e-06
-7.995117e+00 -5.041459e-04  8.363370e-04 9.536226e-07
-7.994792e+00  2.808300e-05 -2.502305e-04 6.340397e-08
-7.994466e+00  4.564996e-04 -4.121487e-04 3.782584e-07
-7.994141e+00 -8.019967e-04  9.488385e-04 1.543493e-06
-7.993815e+00  9.031795e-04 -1.196207e-03 2.246645e-06
-7.993489e+00 -7.292450e-04  1.078843e-03 1.695702e-06
-7.993164e+00  3.331938e-04 -6.325451e-04 5.111315e-07
-7.992838e+00  1.643202e-04 -6.598969e-06 2.704469e-08
-7.992513e+00 -6.117464e-04  6.437066e-04 7.885919e-07
-7.992187e+00  8.728016e-04 -1.084524e-03 1.937975e-06
-7.991862e+00 -8.679813e-04  1.194654e-03 2.180589e-06
-7.991536e+00  5.987729e-04 -9.405295e-04 1.243125e-06
-7.991211e+00 -1.471965e-04  3.996479e-04 1.813853e-07
-7.990885e+00 -3.491839e-04  2.630656e-04 1.911329e-07
-7.990560e+00  7.391669e-04 -8.455453e-04 1.261315e-06
-7.990234e+00 -9.039707e-04  1.170196e-03 2.186522e-06
-7.989909e+00  7.934119e-04 -1.138042e-03 1.924643e-06
-7.989583e+00 -4.411864e-04  7.589011e-04 7.705763e-07
-7.989258e+00 -4.540011e-05 -1.483853e-04 2.407938e-08
-7.988932e+00  5.181232e-04 -5.073499e-04 5.258556e-07
-7.988607e+00 -8.329916e-04  1.008369e-03 1.710684e-06
-7.988281e+00  8.941072e-04 -1.201918e-03 2.244036e-06
-7.987955e+00 -6.828720e-04  1.028995e-03 1.525146e-06
-7.987630e+00  2.636479e-04 -5.423386e-04 3.636413e-07
-7.987304e+00  2.358543e-04 -1.096588e-04 6.765229e-08
-7.986979e+00 -6.634796e-04  7.281966e-04 9.704754e-07
-7.986653e+00  8.889779e-04 -1.124684e-03 2.055196e-06
-7.986328e+00 -8.436763e-04  1.178241e-03 2.100041e-06
-7.986002e+00  5.413927e-04 -8.725498e-04 1.054449e-06
-7.985677e+00 -7.422134e-05  3.008304e-04 9.600772e-08
-7.985351e+00 -4.155252e-04  3.625907e-04 3.041332e-07
-7.985026e+00  7.786679e-04 -9.154329e-04 1.444341e-06
-7.984700e+00 -9.046017e-04  1.189139e-03 2.232356e-06
-7.984375e+00  7.549836e-04 -1.100267e-03 1.780587e-06
-7.984049e+00 -3.754068e-04  6.759264e-04 5.978068e-07
-7.983724e+00 -1.184930e-04 -4.551234e-05 1.611197e-08
-7.983398e+00  5.762653e-04 -5.987548e-04 6.905890e-07
-7.983073e+00 -8.584744e-04  1.060437e-03 1.861506e-06
-7.982747e+00  8.791712e-04 -1.198776e-03 2.210005e-06
-7.982422e+00 -6.320697e-04  9.716021e-04 1.343523e-06
-7.982096e+00  1.924560e-04 -4.481958e-04 2.379188e-07
-7.981770e+00  3.057497e-04 -2.118458e-04 1.383615e-07
-7.981445e+00 -7.107891e-04  8.072709e-04 1.156908e-06
-7.981119e+00  8.992930e-04 -1.156537e-03 2.146306e-06
-7.980794e+00 -8.138579e-04  1.153162e-03 1.992147e-06
-7.980468e+00  4.805263e-04 -7.981882e-04 8.680100e-07
-7.980143e+00 -8.486473e-07  1.998602e-04 3.994481e-08
-7.979817e+00 -4.790545e-04  4.593829e-04 4.405259e-07
-7.979492e+00  8.130039e-04 -9.785357e-04 1.618507e-06
-7.979166e+00 -8.992881e-04  1.199314e-03 2.247072e-06
-7.978841e+00  7.116419e-04 -1.054413e-03 1.618220e-06
-7.978515e+00 -3.072414e-04  5.880269e-04 4.401729e-07
-7.978190e+00 -1.907177e-04  5.763096e-05 3.969457e-08
-7.977864e+00  6.305498e-04 -6.856931e-04 8.677681e-07
-7.977539e+00 -8.782854e-04  1.104664e-03 1.991668e-06
-7.977213e+00  8.584771e-04 -1.186808e-03 2.145495e-06
-7.976888e+00 -5.771767e-04  9.070905e-04 1.155946e-06
-7.976562e+00  1.200865e-04 -3.508118e-04 1.374897e-07
-7.976236e+00  3.735511e-04 -3.124087e-04 2.371396e-07
-7.975911e+00 -7.533709e-04  8.803513e-04 1.342586e-06
-7.975585e+00  9.036871e-04 -1.179854e-03 2.208705e-06
-7.975260e+00 -7.787286e-04  1.119608e-03 1.859940e-06
-7.974934e+00  4.165767e-04 -7.179957e-04 6.890539e-07
-7.974609e+00  7.244065e-05  9.748147e-05 1.475028e-08
-7.974283e+00 -5.393594e-04  5.527320e-04 5.964212e-07
-7.973958e+00  8.419569e-04 -1.034393e-03 1.778861e-06
-7.973632e+00 -8.880727e-04  1.200651e-03 2.230235e-06
-7.973307e+00  6.636771e-04 -1.000823e-03 1.442114e-06
-7.972981e+00 -2.371396e-04  4.958522e-04 3.021046e-07
-7.972656e+00 -2.616024e-04  1.602856e-04 9.412727e-08
-7.972330e+00  6.806264e-04 -7.675282e-04 1.052352e-06
-7.972005e+00 -8.923025e-04  1.140729e-03 2.097467e-06
-7.971679e+00  8.321678e-04 -1.166108e-03 2.052311e-06
-7.971354e+00 -5.185575e-04  8.359395e-04 9.676968e-07
-7.971028e+00  4.701480e-05 -2.509052e-04 6.516380e-08
-7.970703e+00  4.388172e-04 -4.106087e-04 3.611601e-07
-7.970377e+00 -7.909525e-04  9.469037e-04 1.522233e-06
-7.970051e+00  9.021390e-04 -1.194468e-03 2.240609e-06
-7.969726e+00 -7.385252e-04  1.077830e-03 1.707137e-06
-7.969400e+00  3.499664e-04 -6.325657e-04 5.226159e-07
-7.969075e+00  1.451669e-04 -5.551646e-06 2.110424e-08
-7.968749e+00 -5.960493e-04  6.419530e-04 7.673785e-07
-7.968424e+00  8.653444e-04 -1.082600e-03 1.920843e-06
-7.968098e+00 -8.710365e-04  1.193145e-03 2.182301e-06
-7.967773e+00  6.114092e-04 -9.398970e-04 1.257228e-06
-7.967447e+00 -1.655629e-04  4.000831e-04 1.874776e-07
-7.967122e+00 -3.306847e-04  2.616965e-04 1.778375e-07
-7.966796e+00  7.261726e-04 -8.436608e-04 1.239090e-06
-7.966471e+00 -9.004413e-04  1.168372e-03 2.175887e-06
-7.966145e+00  8.004227e-04 -1.136834e-03 1.933068e-06
-7.965820e+00 -4.566008e-04  7.586766e-04 7.840745e-07
-7.965494e+00 -2.627991e-05 -1.492124e-04 2.295497e-08
-7.965169e+00  5.011241e-04 -5.057247e-04 5.068828e-07
-7.964843e+00 -8.232941e-04  1.006442e-03 1.690740e-06
-7.964518e+00  8.946665e-04 -1.200278e-03 2.241094e-06
-7.964192e+00 -6.935175e-04  1.028141e-03 1.538040e-06
-7.963866e+00  2.811351e-04 -5.425301e-04 3.733758e-07
-7.963541e+00  2.168546e-04 -1.084807e-04 5.879399e-08
-7.963215e+00 -6.487577e-04  7.263922e-04 9.485322e-07
-7.962890e+00  8.830202e-04 -1.122804e-03 2.040414e-06
-7.962564e+00 -8.482983e-04  1.176859e-03 2.104607e-06
-7.962239e+00  5.551857e-04 -8.720868e-04 1.068767e-06
-7.961913e+00 -9.298165e-05  3.014264e-04 9.950347e-08
-7.961588e+00 -3.975149e-04  3.611185e-04 2.884246e-07
-7.961262e+00  7.668961e-04 -9.135344e-04 1.422675e-06
-7.960937e+00 -9.026559e-04  1.187394e-03 2.224691e-06
-7.960611e+00  7.634566e-04 -1.099206e-03 1.791121e-06
-7.960286e+00 -3.917162e-04  6.758740e-04 6.102473e-07
-7.959960e+00 -9.931759e-05 -4.648270e-05 1.202463e-08
-7.959635e+00  5.600676e-04 -5.970586e-04 6.701548e-07
-7.959309e+00 -8.501907e-04  1.058534e-03 1.843318e-06
-7.958984e+00  8.813259e-04 -1.197245e-03 2.210130e-06
-7.958658e+00 -6.440059e-04  9.709108e-04 1.357411e-06
-7.958332e+00  2.105359e-04 -4.485539e-04 2.455260e-07
-7.958007e+00  2.870360e-04 -2.105485e-04 1.267203e-07
-7.957681e+00 -6.971446e-04  8.054311e-04 1.134730e-06
-7.957356e+00  8.948759e-04 -1.154716e-03 2.134172e-06
-7.957030e+00 -8.200141e-04  1.151916e-03 1.999333e-06
-7.956705e+00  4.953795e-04 -7.978956e-04 8.820383e-07
-7.956379e+00 -1.987219e-05  2.006096e-04 4.063913e-08
-7.956054e+00 -4.616581e-04  4.578210e-04 4.227283e-07
-7.955728e+00  8.025362e-04 -9.766385e-04 1.597887e-06
-7.955403e+00 -8.989391e-04  1.197660e-03 2.242481e-06
-7.955077e+00  7.215177e-04 -1.053507e-03 1.630464e-06
-7.954752e+00 -3.243321e-04  5.881441e-04 4.511049e-07
-7.954426e+00 -1.716205e-04  5.652740e-05 3.264895e-08
-7.954101e+00  6.152661e-04 -6.839408e-04 8.463275e-07
-7.953775e+00 -8.714729e-04  1.102798e-03 1.975629e-06
-7.953450e+00  8.622117e-04 -1.185397e-03 2.148575e-06
-7.953124e+00 -5.903201e-04  9.065652e-04 1.170338e-06
-7.952799e+00  1.386331e-04 -3.513310e-04 1.426526e-07
-7.952473e+00  3.552535e-04 -3.110046e-04 2.229289e-07
-7.952147e+00 -7.408985e-04  8.784913e-04 1.320678e-06
-7.951822e+00  9.008407e-04 -1.178106e-03 2.199447e-06
-7.951496e+00 -7.863756e-04  1.118505e-03 1.869439e-06
-7.951171e+00  4.323864e-04 -7.178730e-04 7.022996e-07
-7.950845e+00  5.328638e-05  9.837584e-05 1.251725e-08
-7.950520e+00 -5.226979e-04  5.510943e-04 5.769181e-07
-7.950194e+00  8.328658e-04 -1.032513e-03 1.759748e-06
-7.949869e+00 -8.893224e-04  1.199101e-03 2.228737e-06
-7.949543e+00  6.748865e-04 -1.000076e-03 1.455625e-06
-7.949218e+00 -2.548925e-04  4.961354e-04 3.111205e-07
-7.948892e+00 -2.427163e-04  1.590599e-04 8.421126e-08
-7.948567e+00  6.663628e-04 -7.657347e-04 1.030389e-06
-7.948241e+00 -8.870081e-04  1.138915e-03 2.083912e-06
-7.947916e+00  8.374558e-04 -1.164827e-03 2.058155e-06
-7.947590e+00 -5.328163e-04  8.355817e-04 9.820900e-07
-7.947265e+00  6.589884e-05 -2.515785e-04 6.763440e-08
-7.946939e+00  4.210630e-04 -4.091107e-04 3.446656e-07
-7.946613e+00 -7.797386e-04  9.450388e-04 1.501091e-06
-7.946288e+00  9.008828e-04 -1.192805e-03 2.234374e-06
-7.945962e+00 -7.476094e-04  1.076876e-03 1.718582e-06
-7.945637e+00  3.666224e-04 -6.326112e-04 5.346089e-07
-7.945311e+00  1.260152e-04 -4.521925e-06 1.590029e-08
-7.944986e+00 -5.802385e-04  6.402541e-04 7.466021e-07
-7.944660e+00  8.576927e-04 -1.080750e-03 1.903658e-06
-7.944335e+00 -8.738757e-04  1.191710e-03 2.183831e-06
-7.944009e+00  6.238738e-04 -9.393126e-04 1.271527e-06
-7.943684e+00 -1.838541e-04  4.005272e-04 1.942244e-07
-7.943358e+00 -3.121413e-04  2.603605e-04 1.652198e-07
-7.943033e+00  7.130281e-04 -8.418412e-04 1.217106e-06
-7.942707e+00 -8.967013e-04  1.166624e-03 2.165085e-06
-7.942382e+00  8.072269e-04 -1.135691e-03 1.941410e-06
-7.942056e+00 -4.718754e-04  7.584865e-04 7.979681e-07
-7.941731e+00 -7.189999e-06 -1.500319e-04 2.256127e-08
-7.941405e+00  4.840366e-04 -5.041464e-04 4.884551e-07
-7.941080e+00 -8.134165e-04  1.004588e-03 1.670843e-06
-7.940754e+00  8.950088e-04 -1.198712e-03 2.237952e-06
-7.940428e+00 -7.039752e-04  1.027342e-03 1.551013e-06
-7.940103e+00  2.985210e-04 -5.427405e-04 3.836821e-07
-7.939777e+00  1.978390e-04 -1.073262e-04 5.065916e-08
-7.939452e+00 -6.339074e-04  7.246467e-04 9.269514e-07
-7.939126e+00  8.768608e-04 -1.121001e-03 2.025528e-06
-7.938801e+00 -8.527067e-04  1.175547e-03 2.109020e-06
-7.938475e+00  5.688183e-04 -8.716669e-04 1.083357e-06
-7.938150e+00 -1.116837e-04  3.020251e-04 1.036924e-07
-7.937824e+00 -3.794429e-04  3.596847e-04 2.733501e-07
-7.937499e+00  7.549617e-04 -9.117038e-04 1.401171e-06
-7.937173e+00 -9.004959e-04  1.185725e-03 2.216836e-06
-7.936848e+00  7.717291e-04 -1.098208e-03 1.801627e-06
-7.936522e+00 -4.079000e-04  6.758502e-04 6.231559e-07
-7.936197e+00 -8.015475e-05 -4.743943e-05 8.675284e-09
-7.935871e+00  5.437657e-04 -5.954142e-04 6.501992e-07
-7.935546e+00 -8.417176e-04  1.056704e-03 1.825111e-06
-7.935220e+00  8.832637e-04 -1.195788e-03 2.210063e-06
-7.934895e+00 -6.557639e-04  9.702706e-04 1.371451e-06
-7.934569e+00  2.285306e-04 -4.489249e-04 2.537598e-07
-7.934243e+00  2.682886e-04 -2.092806e-04 1.157771e-07
-7.933918e+00 -6.833578e-04  8.036538e-04 1.112837e-06
-7.933592e+00  8.902511e-04 -1.152972e-03 2.121892e-06
-7.933267e+00 -8.259606e-04  1.150737e-03 2.006406e-06
-7.932941e+00  5.100848e-04 -7.976408e-04 8.964174e-07
-7.932616e+00 -3.885475e-05  2.013556e-04 4.205378e-08
-7.932290e+00 -4.441834e-04  4.563028e-04 4.055111e-07
-7.931965e+00  7.918947e-04 -9.748119e-04 1.577355e-06
-7.931639e+00 -8.983737e-04  1.196083e-03 2.237689e-06
-7.931314e+00  7.312005e-04 -1.052659e-03 1.642746e-06
-7.930988e+00 -3.413121e-04  5.882842e-04 4.625722e-07
-7.930663e+00 -1.525182e-04  5.544349e-05 2.633577e-08
-7.930337e+00  5.998629e-04 -6.822446e-04 8.252932e-07
-7.930012e+00 -8.644629e-04  1.101008e-03 1.959514e-06
-7.929686e+00  8.657310e-04 -1.184059e-03 2.151485e-06
-7.929361e+00 -6.032960e-04  9.060862e-04 1.184958e-06
-7.929035e+00  1.571111e-04 -3.518568e-04 1.484871e-07
-7.928709e+00  3.369048e-04 -3.096353e-04 2.093789e-07
-7.928384e+00 -7.282709e-04  8.766972e-04 1.298976e-06
-7.928058e+00  8.977823e-04 -1.176434e-03 2.190011e-06
-7.927733e+00 -7.938183e-04  1.117466e-03 1.878877e-06
-7.927407e+00  4.480618e-04 -7.177826e-04 7.159712e-07
-7.927082e+00  3.415553e-05  9.926060e-05 1.101927e-08
-7.926756e+00 -5.059418e-04  5.495053e-04 5.579332e-07
-7.926431e+00  8.235908e-04 -1.030705e-03 1.740654e-06
-7.926105e+00 -8.903549e-04  1.197626e-03 2.227039e-06
-7.925780e+00  6.859117e-04 -9.993836e-04 1.469242e-06
-7.925454e+00 -2.725502e-04  4.964353e-04 3.207317e-07
-7.925129e+00 -2.238074e-04  1.578597e-04 7.500944e-08
-7.924803e+00  6.519652e-04 -7.640013e-04 1.008757e-06
-7.924478e+00 -8.815094e-04  1.137178e-03 2.070233e-06
-7.924152e+00  8.425316e-04 -1.163616e-03 2.063861e-06
-7.923827e+00 -5.469195e-04  8.352651e-04 9.967888e-07
-7.923501e+00  8.473131e-05 -2.522524e-04 7.081065e-08
-7.923176e+00  4.032406e-04 -4.076530e-04 3.287839e-07
-7.922850e+00 -7.683576e-04  9.432426e-04 1.480080e-06
-7.922524e+00  8.994115e-04 -1.191219e-03 2.227944e-06
-7.922199e+00 -7.564959e-04  1.075983e-03 1.730026e-06
