# x psi_r psi_i psi2 
-8.000000e+00  2.078479e-04 -6.358906e-04 4.475576e-07
-7.999674e+00 -5.346151e-04  1.331757e-03 2.059389e-06
-7.999349e+00  6.979210e-04 -1.619988e-03 3.111454e-06
-7.999023e+00 -6.478215e-04  1.412357e-03 2.414424e-06
-7.998698e+00  3.996259e-04 -7.724135e-04 7.563234e-07
-7.998372e+00 -2.921896e-05 -1.039634e-04 1.166213e-08
-7.998047e+00 -3.501407e-04  9.485239e-04 1.022296e-06
-7.997721e+00  6.224512e-04 -1.502755e-03 2.645719e-06
-7.997396e+00 -7.044391e-04  1.597010e-03 3.046674e-06
-7.997070e+00  5.710245e-04 -1.202434e-03 1.771916e-06
-7.996745e+00 -2.629928e-04  4.398000e-04 2.625893e-07
-7.996419e+00 -1.254733e-04  4.574579e-04 2.250113e-07
-7.996094e+00  4.755909e-04 -1.214698e-03 1.701678e-06
-7.995768e+00 -6.802975e-04  1.600135e-03 3.023235e-06
-7.995443e+00  6.769897e-04 -1.495786e-03 2.695691e-06
-7.995117e+00 -4.666686e-04  9.335895e-04 1.089369e-06
-7.994792e+00  1.136367e-04 -8.562513e-05 2.024495e-08
-7.994466e+00  2.741615e-04 -7.885542e-04 6.969823e-07
-7.994141e+00 -5.781450e-04  1.421370e-03 2.354544e-06
-7.993815e+00  7.053558e-04 -1.619120e-03 3.119078e-06
-7.993489e+00 -6.168860e-04  1.321273e-03 2.126312e-06
-7.993164e+00  3.397770e-04 -6.189937e-04 4.986016e-07
-7.992838e+00  4.124505e-05 -2.727596e-04 7.609894e-08
-7.992513e+00 -4.096747e-04  1.081030e-03 1.336458e-06
-7.992187e+00  6.528510e-04 -1.558411e-03 2.854860e-06
-7.991862e+00 -6.964078e-04  1.558779e-03 2.914777e-06
-7.991536e+00  5.270155e-04 -1.082019e-03 1.448510e-06
-7.991211e+00 -1.964607e-04  2.740578e-04 1.137045e-07
-7.990885e+00 -1.941863e-04  6.177954e-04 4.193794e-07
-7.990560e+00  5.254747e-04 -1.320553e-03 2.019983e-06
-7.990234e+00 -6.960981e-04  1.619105e-03 3.106053e-06
-7.989909e+00  6.538739e-04 -1.422065e-03 2.449819e-06
-7.989583e+00 -4.117022e-04  7.897412e-04 7.931899e-07
-7.989258e+00  4.362481e-05  8.431960e-05 9.012918e-09
-7.988932e+00  3.378122e-04 -9.325769e-04 9.838167e-07
-7.988607e+00 -6.159717e-04  1.495386e-03 2.615601e-06
-7.988281e+00  7.057909e-04 -1.600474e-03 3.059658e-06
-7.987955e+00 -5.797941e-04  1.215671e-03 1.814018e-06
-7.987630e+00  2.764975e-04 -4.587591e-04 2.869108e-07
-7.987304e+00  1.113647e-04 -4.385804e-04 2.047549e-07
-7.986979e+00 -4.651945e-04  1.201680e-03 1.660441e-06
-7.986653e+00  6.767939e-04 -1.596961e-03 3.008335e-06
-7.986328e+00 -6.814508e-04  1.503428e-03 2.724672e-06
-7.986002e+00  4.777298e-04 -9.497084e-04 1.130172e-06
-7.985677e+00 -1.279142e-04  1.052869e-04 2.744738e-08
-7.985351e+00 -2.610353e-04  7.713678e-04 6.631477e-07
-7.985026e+00  5.701857e-04 -1.411919e-03 2.318628e-06
-7.984700e+00 -7.049985e-04  1.620298e-03 3.122390e-06
-7.984375e+00  6.242400e-04 -1.332720e-03 2.165817e-06
-7.984049e+00 -3.525928e-04  6.372045e-04 5.303512e-07
-7.983724e+00 -2.688801e-05  2.533581e-04 6.491332e-08
-7.983398e+00  3.981685e-04 -1.066376e-03 1.295696e-06
-7.983073e+00 -6.477157e-04  1.552991e-03 2.831316e-06
-7.982747e+00  6.992144e-04 -1.564251e-03 2.935783e-06
-7.982422e+00 -5.369057e-04  1.096708e-03 1.491036e-06
-7.982096e+00  2.104089e-04 -2.934685e-04 1.303957e-07
-7.981770e+00  1.804471e-04 -5.996046e-04 3.920868e-07
-7.981445e+00 -5.161475e-04  1.309150e-03 1.980282e-06
-7.981119e+00  6.940364e-04 -1.617980e-03 3.099547e-06
-7.980794e+00 -6.597085e-04  1.431563e-03 2.484587e-06
-7.980468e+00  4.236484e-04 -8.069546e-04 8.306537e-07
-7.980143e+00 -5.802808e-05 -6.465954e-05 7.548114e-09
-7.979817e+00 -3.253581e-04  9.164878e-04 9.458078e-07
-7.979492e+00  6.092767e-04 -1.487793e-03 2.584745e-06
-7.979166e+00 -7.069033e-04  1.603701e-03 3.071568e-06
-7.978841e+00  5.883737e-04 -1.228730e-03 1.855961e-06
-7.978515e+00 -2.899198e-04  4.776534e-04 3.122062e-07
-7.978190e+00 -9.720582e-05  4.196341e-04 1.855417e-07
-7.977864e+00  4.546305e-04 -1.188481e-03 1.619176e-06
-7.977539e+00 -6.730566e-04  1.593549e-03 2.992404e-06
-7.977213e+00  6.856836e-04 -1.510848e-03 2.752824e-06
-7.976888e+00 -4.886380e-04  9.656888e-04 1.171322e-06
-7.976562e+00  1.421609e-04 -1.249367e-04 3.581888e-08
-7.976236e+00  2.478085e-04 -7.540631e-04 6.300203e-07
-7.975911e+00 -5.620251e-04  1.402256e-03 2.282195e-06
-7.975585e+00  7.044007e-04 -1.621235e-03 3.124584e-06
-7.975260e+00 -6.313880e-04  1.343969e-03 2.204904e-06
-7.974934e+00  3.653000e-04 -6.553237e-04 5.628933e-07
-7.974609e+00  1.250883e-05 -2.339153e-04 5.487285e-08
-7.974283e+00 -3.865162e-04  1.051561e-03 1.255175e-06
-7.973958e+00  6.423550e-04 -1.547338e-03 2.806874e-06
-7.973632e+00 -7.017855e-04  1.569491e-03 2.955805e-06
