# x psi_r psi_i psi2 
-8.000000e+00 -5.345295e-04  1.077831e-03 1.447442e-06
-7.999674e+00  1.319809e-03 -2.252101e-03 6.813857e-06
-7.999349e+00 -1.701298e-03  2.737163e-03 1.038647e-05
-7.999023e+00  1.562276e-03 -2.384569e-03 8.126874e-06
-7.998698e+00 -9.452722e-04  1.302221e-03 2.589320e-06
-7.998372e+00  3.905721e-05  1.786512e-04 3.344171e-08
-7.998047e+00  8.791141e-04 -1.604857e-03 3.348407e-06
-7.997721e+00 -1.528326e-03  2.539932e-03 8.787036e-06
-7.997396e+00  1.709950e-03 -2.697713e-03 1.020158e-05
-7.997070e+00 -1.368414e-03  2.029909e-03 5.993090e-06
-7.996745e+00  6.082082e-04 -7.408880e-04 9.188322e-07
-7.996419e+00  3.380856e-04 -7.748736e-04 7.147309e-07
-7.996094e+00 -1.180949e-03  2.053506e-03 5.611526e-06
-7.995768e+00  1.662506e-03 -2.703706e-03 1.007395e-05
-7.995443e+00 -1.635421e-03  2.526491e-03 9.057757e-06
-7.995117e+00  1.107977e-03 -1.576090e-03 3.711672e-06
-7.994792e+00 -2.415424e-04  1.433521e-04 7.889255e-08
-7.994466e+00 -6.987987e-04  1.333261e-03 2.265906e-06
-7.994141e+00  1.425349e-03 -2.401861e-03 7.800556e-06
-7.993815e+00 -1.715817e-03  2.735421e-03 1.042656e-05
-7.993489e+00  1.481331e-03 -2.231858e-03 7.175532e-06
-7.993164e+00 -7.936291e-04  1.045274e-03 1.722446e-06
-7.992838e+00 -1.368899e-04  4.612002e-04 2.314445e-07
-7.992513e+00  1.025534e-03 -1.826539e-03 4.387966e-06
-7.992187e+00 -1.600422e-03  2.632906e-03 9.493543e-06
-7.991862e+00  1.685663e-03 -2.633524e-03 9.776909e-06
-7.991536e+00 -1.255174e-03  1.828202e-03 4.917785e-06
-7.991211e+00  4.406604e-04 -4.633898e-04 4.089117e-07
-7.990885e+00  5.086800e-04 -1.043240e-03 1.347104e-06
-7.990560e+00 -1.302396e-03  2.230611e-03 6.671862e-06
-7.990234e+00  1.697649e-03 -2.735351e-03 1.036415e-05
-7.989909e+00 -1.573507e-03  2.402990e-03 8.250283e-06
-7.989583e+00  9.679480e-04 -1.335237e-03 2.719782e-06
-7.989258e+00 -6.623964e-05 -1.411432e-04 2.430908e-08
-7.988932e+00 -8.557415e-04  1.574335e-03 3.210825e-06
-7.988607e+00  1.515915e-03 -2.525737e-03 8.677347e-06
-7.988281e+00 -1.712297e-03  2.704189e-03 1.024460e-05
-7.987955e+00  1.384801e-03 -2.055075e-03 6.141007e-06
-7.987630e+00 -6.336220e-04  7.770413e-04 1.005270e-06
-7.987304e+00 -3.114203e-04  7.387962e-04 6.428024e-07
-7.986979e+00  1.161190e-03 -2.028545e-03 5.463357e-06
-7.986653e+00 -1.655699e-03  2.697501e-03 1.001785e-05
-7.986328e+00  1.643649e-03 -2.540940e-03 9.157956e-06
-7.986002e+00 -1.128722e-03  1.606771e-03 3.855728e-06
-7.985677e+00  2.684579e-04 -1.808772e-04 1.047862e-07
-7.985351e+00  6.739479e-04 -1.300376e-03 2.145185e-06
-7.985026e+00 -1.410166e-03  2.383680e-03 7.670498e-06
-7.984700e+00  1.714947e-03 -2.737508e-03 1.043499e-05
-7.984375e+00 -1.495041e-03  2.253574e-03 7.313742e-06
-7.984049e+00  8.177237e-04 -1.079974e-03 1.835016e-06
-7.983724e+00  1.097821e-04 -4.241357e-04 1.919432e-07
-7.983398e+00 -1.003707e-03  1.798453e-03 4.241859e-06
-7.983073e+00  1.590553e-03 -2.622392e-03 9.406800e-06
-7.982747e+00 -1.690772e-03  2.643801e-03 9.848396e-06
-7.982422e+00  1.273699e-03 -1.856125e-03 5.067507e-06
