# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.282500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  1.282500e+04 -9.840000e-01 7.071421e-02
2.000000e-04 1.000000e+00  1.282500e+04 -9.680000e-01 7.072482e-02
3.000000e-04 1.000000e+00  1.282500e+04 -9.520000e-01 7.074249e-02
4.000000e-04 1.000000e+00  1.282500e+04 -9.360000e-01 7.076722e-02
5.000000e-04 1.000000e+00  1.282500e+04 -9.200000e-01 7.079901e-02
6.000000e-04 1.000000e+00  1.282500e+04 -9.040000e-01 7.083784e-02
7.000000e-04 1.000000e+00  1.282500e+04 -8.880000e-01 7.088371e-02
8.000000e-04 1.000000e+00  1.282500e+04 -8.720000e-01 7.093659e-02
9.000000e-04 1.000000e+00  1.282500e+04 -8.560000e-01 7.099648e-02
1.000000e-03 1.000000e+00  1.282500e+04 -8.400000e-01 7.106335e-02
1.100000e-03 1.000000e+00  1.282500e+04 -8.240000e-01 7.113719e-02
1.200000e-03 1.000000e+00  1.282500e+04 -8.080000e-01 7.121798e-02
1.300000e-03 1.000000e+00  1.282500e+04 -7.920000e-01 7.130568e-02
1.400000e-03 1.000000e+00  1.282500e+04 -7.760000e-01 7.140028e-02
1.500000e-03 1.000000e+00  1.282500e+04 -7.600000e-01 7.150175e-02
1.600000e-03 1.000000e+00  1.282500e+04 -7.440000e-01 7.161006e-02
1.700000e-03 1.000000e+00  1.282500e+04 -7.280000e-01 7.172517e-02
1.800000e-03 1.000000e+00  1.282500e+04 -7.120000e-01 7.184706e-02
1.900000e-03 1.000000e+00  1.282500e+04 -6.960000e-01 7.197569e-02
2.000000e-03 1.000000e+00  1.282500e+04 -6.800000e-01 7.211103e-02
2.100000e-03 1.000000e+00  1.282500e+04 -6.640000e-01 7.225303e-02
2.200000e-03 1.000000e+00  1.282500e+04 -6.480000e-01 7.240166e-02
2.300000e-03 1.000000e+00  1.282500e+04 -6.320000e-01 7.255687e-02
2.400000e-03 1.000000e+00  1.282500e+04 -6.160000e-01 7.271864e-02
2.500000e-03 1.000000e+00  1.282500e+04 -6.000000e-01 7.288690e-02
2.600000e-03 1.000000e+00  1.282500e+04 -5.840000e-01 7.306162e-02
2.700000e-03 1.000000e+00  1.282500e+04 -5.680000e-01 7.324275e-02
2.800000e-03 1.000000e+00  1.282500e+04 -5.520000e-01 7.343024e-02
2.900000e-03 1.000000e+00  1.282500e+04 -5.360000e-01 7.362404e-02
3.000000e-03 1.000000e+00  1.282500e+04 -5.200000e-01 7.382412e-02
3.100000e-03 1.000000e+00  1.282500e+04 -5.040000e-01 7.403040e-02
3.200000e-03 1.000000e+00  1.282500e+04 -4.880000e-01 7.424284e-02
3.300000e-03 1.000000e+00  1.282500e+04 -4.720000e-01 7.446140e-02
3.400000e-03 1.000000e+00  1.282500e+04 -4.560000e-01 7.468601e-02
3.500000e-03 1.000000e+00  1.282500e+04 -4.400000e-01 7.491662e-02
3.600000e-03 1.000000e+00  1.282500e+04 -4.240000e-01 7.515318e-02
3.700000e-03 1.000000e+00  1.282500e+04 -4.080000e-01 7.539562e-02
3.800000e-03 1.000000e+00  1.282500e+04 -3.920000e-01 7.564389e-02
3.900000e-03 1.000000e+00  1.282500e+04 -3.760000e-01 7.589790e-02
4.000000e-03 1.000000e+00  1.282500e+04 -3.600000e-01 7.615755e-02
4.100000e-03 1.000000e+00  1.282501e+04 -3.440001e-01 7.642265e-02
4.200000e-03 1.000000e+00  1.282502e+04 -3.280003e-01 7.669277e-02
4.300000e-03 1.000000e+00  1.282504e+04 -3.120009e-01 7.696702e-02
4.400000e-03 1.000000e+00  1.282511e+04 -2.960025e-01 7.724350e-02
4.500000e-03 1.000000e+00  1.282526e+04 -2.800062e-01 7.751830e-02
4.600000e-03 1.000000e+00  1.282559e+04 -2.640147e-01 7.778391e-02
4.700000e-03 1.000000e+00  1.282628e+04 -2.480333e-01 7.802662e-02
4.800000e-03 1.000000e+00  1.282763e+04 -2.320723e-01 7.822315e-02
4.900000e-03 1.000000e+00  1.283015e+04 -2.161498e-01 7.833655e-02
5.000000e-03 1.000000e+00  1.283464e+04 -2.002971e-01 7.831235e-02
5.100000e-03 1.000000e+00  1.284224e+04 -1.845643e-01 7.807639e-02
5.200000e-03 1.000000e+00  1.285449e+04 -1.690282e-01 7.753626e-02
5.300000e-03 1.000000e+00  1.287334e+04 -1.537995e-01 7.658865e-02
5.400000e-03 1.000000e+00  1.290102e+04 -1.390290e-01 7.513401e-02
5.500000e-03 1.000000e+00  1.293983e+04 -1.249116e-01 7.309942e-02
5.600000e-03 1.000000e+00  1.299189e+04 -1.116837e-01 7.046898e-02
5.700000e-03 1.000000e+00  1.305873e+04 -9.961504e-02 6.731955e-02
5.800000e-03 1.000000e+00  1.314096e+04 -8.899390e-02 6.385745e-02
5.900000e-03 1.000000e+00  1.323801e+04 -8.010542e-02 6.044640e-02
6.000000e-03 1.000000e+00  1.334804e+04 -7.320731e-02 5.760537e-02
6.100000e-03 1.000000e+00  1.346801e+04 -6.850552e-02 5.593905e-02
6.200000e-03 1.000000e+00  1.359399e+04 -6.613403e-02 5.597230e-02
6.300000e-03 1.000000e+00  1.372154e+04 -6.614208e-02 5.794158e-02
6.400000e-03 1.000000e+00  1.384617e+04 -6.849097e-02 6.169649e-02
6.500000e-03 1.000000e+00  1.396367e+04 -7.306039e-02 6.679824e-02
6.600000e-03 1.000000e+00  1.407035e+04 -7.966297e-02 7.271378e-02
6.700000e-03 1.000000e+00  1.416316e+04 -8.806417e-02 7.896432e-02
6.800000e-03 1.000000e+00  1.423971e+04 -9.800412e-02 8.518866e-02
6.900000e-03 1.000000e+00  1.429836e+04 -1.092184e-01 9.114991e-02
7.000000e-03 1.000000e+00  1.433826e+04 -1.214552e-01 9.671776e-02
7.100000e-03 1.000000e+00  1.435961e+04 -1.344879e-01 1.018442e-01
7.200000e-03 1.000000e+00  1.436381e+04 -1.481219e-01 1.065397e-01
7.300000e-03 1.000000e+00  1.435354e+04 -1.621973e-01 1.108536e-01
7.400000e-03 1.000000e+00  1.433257e+04 -1.765879e-01 1.148572e-01
7.500000e-03 1.000000e+00  1.430535e+04 -1.911977e-01 1.186326e-01
7.600000e-03 1.000000e+00  1.427640e+04 -2.059559e-01 1.222641e-01
7.700000e-03 1.000000e+00  1.424962e+04 -2.208123e-01 1.258329e-01
7.800000e-03 1.000000e+00  1.422776e+04 -2.357320e-01 1.294143e-01
7.900000e-03 1.000000e+00  1.421224e+04 -2.506917e-01 1.330753e-01
8.000000e-03 1.000000e+00  1.420312e+04 -2.656761e-01 1.368737e-01
8.100000e-03 1.000000e+00  1.419950e+04 -2.806755e-01 1.408559e-01
8.200000e-03 1.000000e+00  1.419991e+04 -2.956838e-01 1.450546e-01
8.300000e-03 1.000000e+00  1.420277e+04 -3.106971e-01 1.494865e-01
8.400000e-03 1.000000e+00  1.420669e+04 -3.257133e-01 1.541506e-01
8.500000e-03 1.000000e+00  1.421065e+04 -3.407310e-01 1.590279e-01
8.600000e-03 1.000000e+00  1.421405e+04 -3.557493e-01 1.640834e-01
8.700000e-03 1.000000e+00  1.421661e+04 -3.707677e-01 1.692702e-01
8.800000e-03 1.000000e+00  1.421832e+04 -3.857859e-01 1.745348e-01
8.900000e-03 1.000000e+00  1.421931e+04 -4.008039e-01 1.798238e-01
9.000000e-03 1.000000e+00  1.421976e+04 -4.158216e-01 1.850899e-01
