t    R    T
0.000000e+00 1.000000e+00 2.846974e-49
1.000000e-04 1.000000e+00 1.961960e-27
2.000000e-04 1.000000e+00 8.174556e-27
3.000000e-04 1.000000e+00 1.662890e-26
4.000000e-04 1.000000e+00 2.824572e-26
5.000000e-04 1.000000e+00 4.340713e-26
6.000000e-04 1.000000e+00 6.156507e-26
7.000000e-04 1.000000e+00 8.327525e-26
8.000000e-04 1.000000e+00 1.093062e-25
9.000000e-04 1.000000e+00 1.375652e-25
1.000000e-03 1.000000e+00 1.690294e-25
1.100000e-03 1.000000e+00 2.476789e-25
1.200000e-03 1.000000e+00 1.767266e-24
1.300000e-03 1.000000e+00 4.478106e-23
1.400000e-03 1.000000e+00 1.155252e-21
1.500000e-03 1.000000e+00 2.682227e-20
1.600000e-03 1.000000e+00 5.574440e-19
1.700000e-03 1.000000e+00 1.036115e-17
1.800000e-03 1.000000e+00 1.721325e-16
1.900000e-03 1.000000e+00 2.554914e-15
2.000000e-03 1.000000e+00 3.387073e-14
2.100000e-03 1.000000e+00 4.010060e-13
2.200000e-03 1.000000e+00 4.239999e-12
2.300000e-03 1.000000e+00 4.004488e-11
2.400000e-03 1.000000e+00 3.379404e-10
2.500000e-03 9.999999e-01 2.549515e-09
2.600000e-03 9.999997e-01 1.720600e-08
2.700000e-03 9.999984e-01 1.039574e-07
2.800000e-03 9.999925e-01 5.628614e-07
2.900000e-03 9.999692e-01 2.734039e-06
3.000000e-03 9.998863e-01 1.192954e-05
3.100000e-03 9.996213e-01 4.682634e-05
3.200000e-03 9.988601e-01 1.656201e-04
3.300000e-03 9.968932e-01 5.287882e-04
3.400000e-03 9.923157e-01 1.527117e-03
3.500000e-03 9.827088e-01 3.998110e-03
3.600000e-03 9.645046e-01 9.512676e-03
3.700000e-03 9.333217e-01 2.062561e-02
3.800000e-03 8.849838e-01 4.087813e-02
3.900000e-03 8.171104e-01 7.430780e-02
4.000000e-03 7.307199e-01 1.243646e-01
4.100000e-03 6.310067e-01 1.924645e-01
4.200000e-03 5.266517e-01 2.767677e-01
4.300000e-03 4.277099e-01 3.718711e-01
4.400000e-03 3.428905e-01 4.697766e-01
4.500000e-03 2.773937e-01 5.618710e-01
4.600000e-03 2.321492e-01 6.411148e-01
4.700000e-03 2.045436e-01 7.035470e-01
4.800000e-03 1.900428e-01 7.486153e-01
4.900000e-03 1.838724e-01 7.784372e-01
5.000000e-03 1.821538e-01 7.965275e-01
5.100000e-03 1.823191e-01 8.065852e-01
5.200000e-03 1.829836e-01 8.117075e-01
5.300000e-03 1.835730e-01 8.140953e-01
5.400000e-03 1.839483e-01 8.151137e-01
5.500000e-03 1.841444e-01 8.155108e-01
5.600000e-03 1.842320e-01 8.156523e-01
5.700000e-03 1.842667e-01 8.156974e-01
5.800000e-03 1.842804e-01 8.157082e-01
5.900000e-03 1.842885e-01 8.157062e-01
6.000000e-03 1.842969e-01 8.156986e-01
6.100000e-03 1.843072e-01 8.156876e-01
6.200000e-03 1.843193e-01 8.156749e-01
6.300000e-03 1.843321e-01 8.156619e-01
6.400000e-03 1.843442e-01 8.156500e-01
6.500000e-03 1.843544e-01 8.156405e-01
6.600000e-03 1.843618e-01 8.156341e-01
6.700000e-03 1.843656e-01 8.156313e-01
6.800000e-03 1.843656e-01 8.156323e-01
6.900000e-03 1.843619e-01 8.156368e-01
7.000000e-03 1.843546e-01 8.156447e-01
7.100000e-03 1.843443e-01 8.156553e-01
7.200000e-03 1.843321e-01 8.156676e-01
7.300000e-03 1.843193e-01 8.156805e-01
7.400000e-03 1.843072e-01 8.156926e-01
7.500000e-03 1.842970e-01 8.157026e-01
7.600000e-03 1.842898e-01 8.157095e-01
7.700000e-03 1.842861e-01 8.157128e-01
7.800000e-03 1.842859e-01 8.157123e-01
7.900000e-03 1.842893e-01 8.157079e-01
8.000000e-03 1.842962e-01 8.157000e-01
8.100000e-03 1.843059e-01 8.156893e-01
8.200000e-03 1.843176e-01 8.156768e-01
8.300000e-03 1.843303e-01 8.156638e-01
8.400000e-03 1.843425e-01 8.156517e-01
8.500000e-03 1.843530e-01 8.156418e-01
8.600000e-03 1.843607e-01 8.156350e-01
8.700000e-03 1.843650e-01 8.156317e-01
8.800000e-03 1.843656e-01 8.156322e-01
8.900000e-03 1.843624e-01 8.156362e-01
9.000000e-03 1.843556e-01 8.156436e-01
9.100000e-03 1.843458e-01 8.156538e-01
9.200000e-03 1.843339e-01 8.156659e-01
9.300000e-03 1.843211e-01 8.156787e-01
9.400000e-03 1.843089e-01 8.156909e-01
9.500000e-03 1.842985e-01 8.157012e-01
9.600000e-03 1.842909e-01 8.157085e-01
9.700000e-03 1.842866e-01 8.157123e-01
9.800000e-03 1.842860e-01 8.157123e-01
9.900000e-03 1.842889e-01 8.157085e-01
1.000000e-02 1.842952e-01 8.157012e-01
1.010000e-02 1.843045e-01 8.156909e-01
1.020000e-02 1.843160e-01 8.156786e-01
1.030000e-02 1.843285e-01 8.156656e-01
1.040000e-02 1.843408e-01 8.156534e-01
1.050000e-02 1.843515e-01 8.156432e-01
1.060000e-02 1.843596e-01 8.156359e-01
1.070000e-02 1.843644e-01 8.156322e-01
1.080000e-02 1.843655e-01 8.156321e-01
1.090000e-02 1.843628e-01 8.156357e-01
1.100000e-02 1.843565e-01 8.156426e-01
1.110000e-02 1.843471e-01 8.156524e-01
1.120000e-02 1.843355e-01 8.156642e-01
1.130000e-02 1.843229e-01 8.156769e-01
1.140000e-02 1.843106e-01 8.156892e-01
1.150000e-02 1.842999e-01 8.156997e-01
1.160000e-02 1.842920e-01 8.157075e-01
1.170000e-02 1.842873e-01 8.157118e-01
1.180000e-02 1.842861e-01 8.157123e-01
1.190000e-02 1.842886e-01 8.157090e-01
1.200000e-02 1.842944e-01 8.157022e-01
