# x psi_r psi_i psi2 
-8.000000e+00  2.593062e-15  3.531257e-15 1.919375e-29
-7.999674e+00  3.854926e-16 -6.097090e-15 3.732311e-29
-7.999349e+00  1.358057e-15 -6.426933e-15 4.314979e-29
-7.999023e+00 -4.188357e-15  9.730565e-16 1.848918e-29
-7.998698e+00  8.178738e-15  5.313258e-15 9.512246e-29
-7.998372e+00  4.031916e-16 -1.167464e-15 1.525536e-30
-7.998047e+00 -5.725908e-15  2.523215e-15 3.915263e-29
-7.997721e+00  6.881172e-15 -3.683344e-15 6.091755e-29
-7.997396e+00 -1.331548e-14  5.046909e-15 2.027734e-28
-7.997070e+00  1.242261e-14 -1.451830e-14 3.651025e-28
-7.996745e+00 -1.479606e-14  1.613233e-14 4.791754e-28
-7.996419e+00  1.116496e-14 -9.798399e-15 2.206650e-28
-7.996094e+00 -8.961894e-15  1.077839e-14 1.964893e-28
-7.995768e+00 -1.888045e-15 -3.576747e-15 1.635783e-29
-7.995443e+00  8.469375e-15  8.217952e-15 1.392650e-28
-7.995117e+00  2.095735e-15 -1.225992e-14 1.546978e-28
-7.994792e+00 -4.072329e-16  6.274224e-15 3.953173e-29
-7.994466e+00  3.459613e-15 -5.352015e-15 4.061299e-29
-7.994141e+00 -6.169978e-15  5.366088e-15 6.686353e-29
-7.993815e+00  5.207583e-15 -8.280837e-15 9.569118e-29
-7.993489e+00 -6.345380e-15  2.487579e-15 4.645190e-29
-7.993164e+00  1.981047e-15 -1.147723e-14 1.356512e-28
-7.992838e+00 -8.128471e-16  1.156059e-14 1.343079e-28
-7.992513e+00 -1.294143e-15 -8.117364e-16 2.333722e-30
-7.992187e+00  8.751981e-16  4.930496e-15 2.507576e-29
-7.991862e+00 -3.572948e-15  2.159680e-15 1.743017e-29
-7.991536e+00  1.113164e-14 -8.341188e-15 1.934889e-28
-7.991211e+00 -9.495545e-15  9.849580e-15 1.871796e-28
-7.990885e+00  1.273419e-14 -1.078645e-14 2.785070e-28
-7.990560e+00 -1.225985e-14  4.034628e-15 1.665820e-28
-7.990234e+00  1.025968e-14  1.020867e-15 1.063033e-28
-7.989909e+00 -2.659020e-15  2.376056e-15 1.271603e-29
-7.989583e+00 -6.279902e-15  2.625455e-15 4.633018e-29
-7.989258e+00  7.185853e-15 -6.715589e-15 9.673561e-29
-7.988932e+00 -9.097641e-15 -3.893730e-15 9.792820e-29
-7.988607e+00  3.558863e-15  2.956621e-15 2.140712e-29
-7.988281e+00 -1.782200e-15  8.856495e-16 3.960610e-30
-7.987955e+00 -5.837697e-15  1.112495e-16 3.409108e-29
-7.987630e+00  4.366529e-15  8.811772e-15 9.671390e-29
-7.987304e+00  2.340039e-16 -8.428065e-15 7.108703e-29
-7.986979e+00 -2.409344e-15 -1.050174e-15 6.907805e-30
-7.986653e+00 -6.755150e-16  8.423539e-15 7.141234e-29
-7.986328e+00  3.239276e-15 -1.208124e-14 1.564494e-28
-7.986002e+00  6.806802e-15  7.653739e-15 1.049123e-28
-7.985677e+00  3.124958e-16 -2.878586e-15 8.383912e-30
-7.985351e+00 -1.420494e-17  1.699211e-15 2.887521e-30
-7.985026e+00  2.709504e-15 -2.599172e-15 1.409711e-29
-7.984700e+00 -7.464881e-15  2.958445e-15 6.447685e-29
-7.984375e+00  9.807197e-15 -5.929766e-15 1.313432e-28
-7.984049e+00 -1.614939e-14 -5.456101e-16 2.611006e-28
-7.983724e+00  1.473034e-14 -2.354771e-16 2.170383e-28
-7.983398e+00 -1.619310e-14  6.404038e-15 3.032281e-28
-7.983073e+00  1.364944e-14  2.609765e-15 1.931180e-28
-7.982747e+00 -8.986990e-15  2.701019e-15 8.806148e-29
-7.982422e+00  2.448566e-15 -9.091416e-15 8.864932e-29
-7.982096e+00  8.693917e-15  6.855422e-15 1.225810e-28
-7.981770e+00 -1.614595e-14 -6.258169e-15 2.998564e-28
-7.981445e+00  3.963402e-15 -7.971993e-15 7.926122e-29
-7.981119e+00 -3.757222e-16  9.908806e-15 9.832561e-29
-7.980794e+00  3.692143e-15  2.946632e-15 2.231456e-29
-7.980468e+00 -5.185605e-15 -5.374693e-15 5.577782e-29
-7.980143e+00  1.105916e-14  3.576731e-15 1.350980e-28
-7.979817e+00 -3.757786e-15 -2.598270e-15 2.087196e-29
-7.979492e+00  1.094290e-14  7.914590e-15 1.823877e-28
-7.979166e+00 -1.417220e-14 -5.202398e-15 2.279163e-28
-7.978841e+00  1.220063e-14 -5.549850e-16 1.491634e-28
-7.978515e+00 -1.041413e-14  7.053169e-15 1.582013e-28
-7.978190e+00  1.271184e-15 -5.522119e-15 3.210971e-29
-7.977864e+00 -5.819904e-15 -1.277699e-15 3.550380e-29
-7.977539e+00  8.508769e-15  5.558423e-15 1.032952e-28
-7.977213e+00 -3.686837e-15 -3.709618e-15 2.735403e-29
-7.976888e+00  3.699607e-15 -1.122231e-15 1.494649e-29
-7.976562e+00 -7.598709e-15 -3.259213e-15 6.836285e-29
-7.976236e+00  1.416976e-15 -3.108006e-15 1.166752e-29
-7.975911e+00 -5.038088e-15 -5.184725e-15 5.226370e-29
-7.975585e+00  8.798834e-15  2.601889e-15 8.418931e-29
-7.975260e+00 -6.577107e-15 -2.989327e-15 5.219441e-29
-7.974934e+00  8.856904e-15  2.626147e-15 8.534139e-29
-7.974609e+00 -9.181848e-15 -1.137203e-15 8.559957e-29
-7.974283e+00  4.251322e-15  7.885932e-15 8.026167e-29
-7.973958e+00  1.127178e-14  5.984757e-15 1.628704e-28
-7.973632e+00 -1.057064e-14 -6.176887e-15 1.498924e-28
-7.973307e+00  6.132606e-15  8.754560e-15 1.142512e-28
-7.972981e+00 -4.361929e-15 -4.092301e-15 3.577335e-29
-7.972656e+00  5.402621e-15 -2.309295e-15 3.452115e-29
-7.972330e+00 -1.220888e-14  1.100594e-14 2.701874e-28
-7.972005e+00  6.365474e-15  3.946160e-15 5.609144e-29
-7.971679e+00  3.570201e-15 -1.236992e-14 1.657612e-28
-7.971354e+00  3.034709e-15 -4.882811e-17 9.211843e-30
-7.971028e+00 -1.111275e-14 -1.911897e-15 1.271486e-28
-7.970703e+00  6.079536e-15 -1.141434e-15 3.826364e-29
-7.970377e+00 -7.542543e-15  1.272648e-15 5.850958e-29
-7.970051e+00  1.034376e-14 -9.580984e-15 1.987887e-28
-7.969726e+00 -9.078932e-15  3.222509e-15 9.281157e-29
-7.969400e+00  6.649642e-15 -1.846107e-15 4.762585e-29
-7.969075e+00 -5.222862e-15  1.482088e-15 2.947488e-29
-7.968749e+00  1.095207e-15  3.834566e-15 1.590337e-29
-7.968424e+00 -3.718378e-15 -9.660482e-15 1.071512e-28
-7.968098e+00  7.250247e-15  5.874015e-15 8.707014e-29
-7.967773e+00  6.173580e-16 -3.780677e-15 1.467465e-29
-7.967447e+00 -1.956850e-15  1.142172e-14 1.342849e-28
-7.967122e+00 -1.741652e-15 -4.516532e-15 2.343242e-29
-7.966796e+00  4.594324e-15  1.090018e-14 1.399217e-28
-7.966471e+00 -5.073880e-15 -1.303084e-14 1.955470e-28
-7.966145e+00  6.493513e-15  9.039326e-15 1.238751e-28
-7.965820e+00 -1.269494e-14 -7.116104e-15 2.118004e-28
-7.965494e+00  9.565065e-15  1.894053e-15 9.507790e-29
-7.965169e+00 -5.647777e-15  8.286374e-16 3.258403e-29
-7.964843e+00  5.669226e-15 -8.582355e-18 3.214019e-29
-7.964518e+00  3.044034e-15  3.776500e-15 2.352810e-29
-7.964192e+00 -9.778388e-15 -4.048907e-16 9.578081e-29
-7.963866e+00  9.560233e-15  2.783825e-15 9.914775e-29
-7.963541e+00 -8.905168e-15 -7.513207e-15 1.357503e-28
-7.963215e+00  1.334470e-14  6.005177e-15 2.141431e-28
-7.962890e+00 -1.101849e-14 -2.141227e-15 1.259920e-28
-7.962564e+00  1.323962e-14 -4.799514e-15 1.983229e-28
-7.962239e+00 -1.267232e-14  1.739832e-15 1.636146e-28
-7.961913e+00  9.989923e-15 -7.543350e-15 1.567007e-28
-7.961588e+00 -1.199163e-14  1.081148e-14 2.606874e-28
-7.961262e+00  6.634912e-17 -9.256179e-15 8.568124e-29
-7.960937e+00  3.665618e-15  5.030205e-15 3.873972e-29
-7.960611e+00  2.853932e-16 -3.287823e-15 1.089123e-29
-7.960286e+00 -8.120439e-15  4.731664e-15 8.833018e-29
-7.959960e+00  8.509840e-15 -7.158264e-15 1.236581e-28
-7.959635e+00 -3.108316e-15 -1.693106e-15 1.252824e-29
-7.959309e+00 -8.464859e-16  1.046989e-14 1.103352e-28
-7.958984e+00  8.281665e-16 -4.045027e-15 1.704811e-29
-7.958658e+00  3.608931e-15  5.636734e-15 4.479716e-29
-7.958332e+00 -1.093666e-15 -7.251156e-15 5.377537e-29
-7.958007e+00  1.575950e-15  4.794426e-15 2.547014e-29
-7.957681e+00  1.467961e-15 -9.484442e-16 3.054457e-30
-7.957356e+00 -1.120004e-14  2.465921e-15 1.315216e-28
-7.957030e+00  1.091296e-14 -9.849663e-15 2.161086e-28
-7.956705e+00 -9.316724e-16  7.422423e-15 5.596038e-29
-7.956379e+00 -2.515491e-15 -3.737602e-16 6.467392e-30
-7.956054e+00  1.735238e-15  7.282442e-16 3.541390e-30
-7.955728e+00  2.443085e-15 -3.262919e-15 1.661530e-29
-7.955403e+00 -4.156584e-15  1.127231e-14 1.443421e-28
-7.955077e+00  4.310544e-15 -6.587589e-15 6.197712e-29
-7.954752e+00 -8.479175e-15  5.538844e-15 1.025752e-28
