# x psi_r psi_i psi2 
-4.336188e+00  3.098657e-03 -1.486268e-03 1.181066e-05
-4.335863e+00 -1.663831e-03  4.764768e-03 2.547135e-05
-4.335537e+00 -2.797080e-04 -6.587782e-03 4.347711e-05
-4.335212e+00  2.137971e-03  6.398060e-03 4.550609e-05
-4.334886e+00 -3.342968e-03 -4.253297e-03 2.926597e-05
-4.334561e+00  3.526317e-03  8.085836e-04 1.308872e-05
-4.334235e+00 -2.631863e-03  2.883680e-03 1.524231e-05
-4.333910e+00  9.328761e-04 -5.695305e-03 3.330676e-05
-4.333584e+00  1.051436e-03  6.767041e-03 4.689836e-05
-4.333259e+00 -2.714597e-03 -5.771163e-03 4.067535e-05
-4.332933e+00  3.548223e-03  3.011688e-03 2.166016e-05
-4.332608e+00 -3.297424e-03  6.684299e-04 1.131980e-05
-4.332282e+00  2.038734e-03 -4.144809e-03 2.133588e-05
-4.331957e+00 -1.567621e-04  6.355165e-03 4.041270e-05
-4.331631e+00 -1.773335e-03 -6.623919e-03 4.702102e-05
-4.331306e+00  3.161625e-03  4.868681e-03 3.369993e-05
-4.330980e+00 -3.583716e-03 -1.625508e-03 1.548529e-05
-4.330655e+00  2.910486e-03 -2.114810e-03 1.294335e-05
-4.330329e+00 -1.347587e-03  5.209435e-03 2.895420e-05
-4.330003e+00 -6.273784e-04 -6.712674e-03 4.545359e-05
-4.329678e+00  2.410805e-03  6.164971e-03 4.381884e-05
-4.329352e+00 -3.457565e-03 -3.733401e-03 2.589304e-05
-4.329027e+00  3.447633e-03  1.607033e-04 1.191200e-05
-4.328701e+00 -2.383925e-03  3.461593e-03 1.766573e-05
-4.328376e+00  5.914499e-04 -6.026652e-03 3.667035e-05
-4.328050e+00  1.382003e-03  6.750540e-03 4.747972e-05
-4.327725e+00 -2.933265e-03 -5.411808e-03 3.789171e-05
-4.327399e+00  3.588144e-03  2.419239e-03 1.872749e-05
-4.327074e+00 -3.146375e-03  1.312975e-03 1.162358e-05
-4.326748e+00  1.742863e-03 -4.644506e-03 2.460901e-05
-4.326423e+00  1.935135e-04  6.557306e-03 4.303571e-05
-4.326097e+00 -2.070958e-03 -6.466695e-03 4.610701e-05
-4.325772e+00  3.315621e-03  4.400085e-03 3.035409e-05
-4.325446e+00 -3.546999e-03 -9.886834e-04 1.355870e-05
-4.325121e+00  2.694258e-03 -2.725295e-03 1.468626e-05
-4.324795e+00 -1.017919e-03  5.607035e-03 3.247500e-05
-4.324469e+00 -9.697356e-04 -6.775867e-03 4.685276e-05
-4.324144e+00  2.661210e-03  5.874401e-03 4.159063e-05
-4.323818e+00 -3.539471e-03 -3.177808e-03 2.262632e-05
-4.323493e+00  3.335986e-03 -4.901796e-04 1.136908e-05
-4.323167e+00 -2.112830e-03  4.008893e-03 2.053527e-05
-4.322842e+00  2.437487e-04 -6.303120e-03 3.978873e-05
-4.322516e+00  1.700042e-03  6.671659e-03 4.740118e-05
-4.322191e+00 -3.124430e-03 -5.001634e-03 3.477840e-05
-4.321865e+00  3.593990e-03  1.803060e-03 1.616779e-05
-4.321540e+00 -2.965095e-03  1.946904e-03 1.258222e-05
-4.321214e+00  1.429845e-03 -5.102483e-03 2.807979e-05
-4.320889e+00  5.426092e-04  6.699364e-03 4.517591e-05
-4.320563e+00 -2.349434e-03 -6.249384e-03 4.457464e-05
-4.320238e+00  3.438352e-03  3.889757e-03 2.695247e-05
-4.319912e+00 -3.476455e-03 -3.412368e-04 1.220218e-05
-4.319587e+00  2.451979e-03 -3.312043e-03 1.698183e-05
-4.319261e+00 -6.779398e-04  5.953786e-03 3.590717e-05
-4.318936e+00 -1.303510e-03 -6.776634e-03 4.762191e-05
-4.318610e+00  2.886760e-03  5.528903e-03 3.890215e-05
-4.318284e+00 -3.587845e-03 -2.591568e-03 1.958886e-05
-4.317959e+00  3.192379e-03 -1.138060e-03 1.148646e-05
-4.317633e+00 -1.821114e-03  4.520453e-03 2.375095e-05
-4.317308e+00 -1.069282e-04 -6.522027e-03 4.254827e-05
-4.316982e+00  2.002502e-03  6.530983e-03 4.666375e-05
-4.316657e+00 -3.286219e-03 -4.544310e-03 3.144999e-05
-4.316331e+00  3.565642e-03  1.168788e-03 1.407987e-05
-4.316006e+00 -2.755253e-03  2.564339e-03 1.416726e-05
-4.315680e+00  1.102629e-03 -5.514412e-03 3.162453e-05
-4.315355e+00  8.871988e-04  6.779888e-03 4.675401e-05
-4.315029e+00 -2.606074e-03 -5.973852e-03 4.247853e-05
-4.314704e+00  3.528590e-03  3.342314e-03 2.362201e-05
-4.314378e+00 -3.372691e-03  3.108763e-04 1.147169e-05
-4.314053e+00  2.185908e-03 -3.869578e-03 1.975183e-05
-4.313727e+00 -3.308686e-04  6.246368e-03 3.912659e-05
-4.313402e+00 -1.625507e-03 -6.714823e-03 4.773113e-05
-4.313076e+00  3.085261e-03  5.131539e-03 3.585152e-05
-4.312751e+00 -3.602164e-03 -1.980025e-03 1.689608e-05
-4.312425e+00  3.018119e-03 -1.776947e-03 1.226658e-05
-4.312099e+00 -1.511517e-03  4.991466e-03 2.719942e-05
-4.311774e+00 -4.572474e-04 -6.681218e-03 4.484775e-05
-4.311448e+00  2.286472e-03  6.329667e-03 4.529263e-05
-4.311123e+00 -3.417037e-03 -4.043952e-03 2.802969e-05
-4.310797e+00  3.503305e-03  5.222382e-04 1.254588e-05
-4.310472e+00 -2.518795e-03  3.159538e-03 1.632701e-05
-4.310146e+00  7.643033e-04 -5.876381e-03 3.511601e-05
-4.309821e+00  1.223993e-03  6.797991e-03 4.771085e-05
-4.309495e+00 -2.838394e-03 -5.642511e-03 3.989441e-05
-4.309170e+00  3.585416e-03  2.762726e-03 2.048786e-05
-4.308844e+00 -3.236634e-03  9.616435e-04 1.140056e-05
-4.308519e+00  1.898534e-03 -4.392683e-03 2.290009e-05
-4.308193e+00  2.000354e-05  6.481951e-03 4.201609e-05
-4.307868e+00 -1.932639e-03 -6.590860e-03 4.717453e-05
-4.307542e+00  3.254772e-03  4.685858e-03 3.255081e-05
-4.307217e+00 -3.582227e-03 -1.348767e-03 1.465152e-05
-4.306891e+00  2.814808e-03 -2.400918e-03 1.368755e-05
-4.306565e+00 -1.186954e-03  5.417486e-03 3.075801e-05
-4.306240e+00 -8.038725e-04 -6.779083e-03 4.660218e-05
-4.305914e+00  2.549215e-03  6.069429e-03 4.333646e-05
-4.305589e+00 -3.515580e-03 -3.505081e-03 2.464489e-05
-4.305263e+00  3.407511e-03 -1.306448e-04 1.162820e-05
-4.304938e+00 -2.257922e-03  3.726950e-03 1.898837e-05
-4.304612e+00  4.180693e-04 -6.184931e-03 3.842815e-05
-4.304287e+00  1.549769e-03  6.753361e-03 4.800967e-05
-4.303961e+00 -3.044137e-03 -5.258290e-03 3.691638e-05
-4.303636e+00  3.608226e-03  2.156272e-03 1.766880e-05
-4.303310e+00 -3.069519e-03  1.605051e-03 1.199814e-05
-4.302985e+00  1.592552e-03 -4.876446e-03 2.631595e-05
-4.302659e+00  3.713429e-04  6.658228e-03 4.446990e-05
-4.302334e+00 -2.221953e-03 -6.405745e-03 4.597064e-05
-4.302008e+00  3.393625e-03  4.195865e-03 2.912198e-05
-4.301683e+00 -3.528162e-03 -7.035790e-04 1.294295e-05
-4.301357e+00  2.584328e-03 -3.004175e-03 1.570382e-05
-4.301032e+00 -8.504873e-04  5.794474e-03 3.429926e-05
-4.300706e+00 -1.143496e-03 -6.814577e-03 4.774605e-05
-4.300380e+00  2.788189e-03  5.752536e-03 4.086566e-05
-4.300055e+00 -3.580850e-03 -2.932584e-03 2.142254e-05
-4.299729e+00  3.279109e-03 -7.838459e-04 1.136697e-05
-4.299404e+00 -1.975072e-03  4.261272e-03 2.205935e-05
-4.299078e+00  6.720883e-05 -6.437088e-03 4.144062e-05
-4.298753e+00  1.861407e-03  6.646265e-03 4.763767e-05
-4.298427e+00 -3.221294e-03 -4.824615e-03 3.365365e-05
-4.298102e+00  3.596739e-03  1.528490e-03 1.527282e-05
-4.297776e+00 -2.872880e-03  2.235139e-03 1.324928e-05
-4.297451e+00  1.270843e-03 -5.316309e-03 2.987818e-05
-4.297125e+00  7.198049e-04  6.773433e-03 4.639751e-05
-4.296800e+00 -2.490662e-03 -6.161045e-03 4.416187e-05
-4.296474e+00  3.500442e-03  3.665983e-03 2.569252e-05
-4.296149e+00 -3.440419e-03 -5.038881e-05 1.183902e-05
-4.295823e+00  2.328823e-03 -3.581100e-03 1.824769e-05
-4.295498e+00 -5.052980e-04  6.118834e-03 3.769546e-05
-4.295172e+00 -1.472872e-03 -6.787227e-03 4.823580e-05
-4.294846e+00  3.001075e-03  5.381783e-03 3.797004e-05
-4.294521e+00 -3.612165e-03 -2.331671e-03 1.848442e-05
-4.294195e+00  3.119261e-03 -1.431333e-03 1.177850e-05
-4.293870e+00 -1.672898e-03  4.757491e-03 2.543231e-05
-4.293544e+00 -2.849460e-04 -6.630392e-03 4.404329e-05
-4.293219e+00  2.155911e-03  6.477545e-03 4.660655e-05
-4.292893e+00 -3.368125e-03 -4.345378e-03 3.022658e-05
-4.292568e+00  3.551003e-03  8.851299e-04 1.339308e-05
-4.292242e+00 -2.648534e-03  2.846057e-03 1.511477e-05
-4.291917e+00  9.364390e-04 -5.708105e-03 3.345938e-05
-4.291591e+00  1.062067e-03  6.826360e-03 4.772717e-05
-4.291266e+00 -2.736170e-03 -5.858883e-03 4.181314e-05
-4.290940e+00  3.574145e-03  3.101014e-03 2.239080e-05
-4.290615e+00 -3.319771e-03  6.047896e-04 1.138665e-05
-4.290289e+00  2.050679e-03 -4.126301e-03 2.123164e-05
-4.289964e+00 -1.546568e-04  6.387449e-03 4.082343e-05
-4.289638e+00 -1.788845e-03 -6.697139e-03 4.805163e-05
-4.289313e+00  3.185797e-03  4.960471e-03 3.475558e-05
-4.288987e+00 -3.609162e-03 -1.707828e-03 1.594272e-05
-4.288661e+00  2.929430e-03 -2.067112e-03 1.285451e-05
-4.288336e+00 -1.354241e-03  5.210936e-03 2.898782e-05
-4.288010e+00 -6.350447e-04 -6.762921e-03 4.614038e-05
-4.287685e+00  2.430447e-03  6.248619e-03 4.495232e-05
-4.287359e+00 -3.483178e-03 -3.824899e-03 2.676238e-05
-4.287034e+00  3.471388e-03  2.320974e-04 1.210440e-05
-4.286708e+00 -2.398565e-03  3.432118e-03 1.753255e-05
-4.286383e+00  5.925018e-04 -6.048106e-03 3.693065e-05
-4.286057e+00  1.394858e-03  6.816376e-03 4.840860e-05
-4.285732e+00 -2.956096e-03 -5.501916e-03 3.900959e-05
-4.285406e+00  3.613972e-03  2.506094e-03 1.934130e-05
-4.285081e+00 -3.167307e-03  1.255910e-03 1.160914e-05
-4.284755e+00  1.752504e-03 -4.634670e-03 2.455143e-05
-4.284430e+00  1.981078e-04  6.597709e-03 4.356901e-05
-4.284104e+00 -2.088381e-03 -6.545000e-03 4.719836e-05
-4.283779e+00  3.340546e-03  4.492373e-03 3.134066e-05
-4.283453e+00 -3.571807e-03 -1.066761e-03 1.389579e-05
-4.283128e+00  2.711369e-03 -2.685284e-03 1.456227e-05
-4.282802e+00 -1.022105e-03  5.617319e-03 3.259898e-05
-4.282476e+00 -9.797501e-04 -6.833311e-03 4.765405e-05
-4.282151e+00  2.682363e-03  5.961462e-03 4.273410e-05
-4.281825e+00 -3.565296e-03 -3.267889e-03 2.339044e-05
-4.281500e+00  3.358591e-03 -4.245987e-04 1.146042e-05
-4.281174e+00 -2.125307e-03  3.987851e-03 2.041989e-05
-4.280849e+00  2.422880e-04 -6.333052e-03 4.016625e-05
-4.280523e+00  1.714992e-03  6.743427e-03 4.841501e-05
-4.280198e+00 -3.148298e-03 -5.093316e-03 3.585364e-05
-4.279872e+00  3.619481e-03  1.886648e-03 1.666008e-05
-4.279547e+00 -2.984419e-03  1.896948e-03 1.250517e-05
-4.279221e+00  1.437098e-03 -5.101426e-03 2.808980e-05
-4.278896e+00  5.496411e-04  6.747536e-03 4.583134e-05
-4.278570e+00 -2.368599e-03 -6.332073e-03 4.570540e-05
-4.278245e+00  3.463791e-03  3.981705e-03 2.785182e-05
-4.277919e+00 -3.500394e-03 -4.143527e-04 1.242444e-05
-4.277594e+00  2.467103e-03 -3.280099e-03 1.684564e-05
-4.277268e+00 -6.796277e-04  5.972780e-03 3.613599e-05
-4.276942e+00 -1.315770e-03 -6.840768e-03 4.852736e-05
-4.276617e+00  2.909220e-03  5.618589e-03 4.003211e-05
-4.276291e+00 -3.613639e-03 -2.679409e-03 2.023762e-05
-4.275966e+00  3.213623e-03 -1.078902e-03 1.149140e-05
-4.275640e+00 -1.831319e-03  4.508055e-03 2.367629e-05
-4.275315e+00 -1.108796e-04 -6.560183e-03 4.304829e-05
-4.274989e+00  2.019399e-03  6.608042e-03 4.774420e-05
-4.274664e+00 -3.310896e-03 -4.636734e-03 3.246134e-05
-4.274338e+00  3.590557e-03  1.248342e-03 1.445045e-05
-4.274013e+00 -2.772792e-03  2.521962e-03 1.404867e-05
-4.273687e+00  1.107434e-03 -5.522164e-03 3.172070e-05
-4.273362e+00  8.965940e-04  6.835407e-03 4.752667e-05
-4.273036e+00 -2.626795e-03 -6.060182e-03 4.362586e-05
-4.272711e+00  3.554303e-03  3.433083e-03 2.441913e-05
-4.272385e+00 -3.395538e-03  2.433983e-04 1.158892e-05
-4.272060e+00  2.198907e-03 -3.846010e-03 1.962699e-05
-4.271734e+00 -3.300498e-04  6.273916e-03 3.947096e-05
-4.271409e+00 -1.639891e-03 -6.785078e-03 4.872652e-05
-4.271083e+00  3.108812e-03  5.223041e-03 3.694486e-05
-4.270757e+00 -3.627683e-03 -2.064821e-03 1.742357e-05
-4.270432e+00  3.037808e-03 -1.724763e-03 1.220308e-05
-4.270106e+00 -1.519361e-03  4.987842e-03 2.718703e-05
-4.269781e+00 -4.636440e-04 -6.727268e-03 4.547110e-05
-4.269455e+00  2.305151e-03  6.411327e-03 4.641884e-05
-4.269130e+00 -3.442288e-03 -4.136279e-03 2.895815e-05
-4.268804e+00  3.527412e-03  5.970256e-04 1.279907e-05
-4.268479e+00 -2.534389e-03  3.125141e-03 1.618964e-05
-4.268153e+00  7.666225e-04 -5.892890e-03 3.531386e-05
-4.267828e+00  1.235655e-03  6.860368e-03 4.859149e-05
-4.267502e+00 -2.860471e-03 -5.731704e-03 4.103472e-05
-4.267177e+00  3.611159e-03  2.851489e-03 2.117146e-05
-4.266851e+00 -3.258177e-03  9.004296e-04 1.142649e-05
-4.266526e+00  1.909293e-03 -4.377723e-03 2.280986e-05
-4.266200e+00  2.331305e-05  6.517822e-03 4.248255e-05
-4.265875e+00 -1.949003e-03 -6.666609e-03 4.824228e-05
-4.265549e+00  3.279188e-03  4.778347e-03 3.358567e-05
-4.265223e+00 -3.607233e-03 -1.429741e-03 1.505629e-05
-4.264898e+00  2.832761e-03 -2.356199e-03 1.357620e-05
-4.264572e+00 -1.192370e-03  5.422689e-03 3.082730e-05
-4.264247e+00 -8.126460e-04 -6.832626e-03 4.734516e-05
-4.263921e+00  2.569494e-03  6.154958e-03 4.448580e-05
-4.263596e+00 -3.541166e-03 -3.596470e-03 2.547445e-05
-4.263270e+00  3.430584e-03 -6.131503e-05 1.177267e-05
-4.262945e+00 -2.271431e-03  3.700865e-03 1.885580e-05
-4.262619e+00  4.178893e-04 -6.210065e-03 3.873954e-05
-4.262294e+00  1.563581e-03  6.822042e-03 4.898505e-05
-4.261968e+00 -3.067357e-03 -5.349540e-03 3.802626e-05
-4.261643e+00  3.633757e-03  2.242216e-03 1.823172e-05
-4.261317e+00 -3.089559e-03  1.550672e-03 1.194996e-05
-4.260992e+00  1.600978e-03 -4.870249e-03 2.628246e-05
-4.260666e+00  3.771037e-04  6.702113e-03 4.506052e-05
-4.260341e+00 -2.240137e-03 -6.486310e-03 4.709043e-05
-4.260015e+00  3.418674e-03  4.288502e-03 3.007858e-05
-4.259690e+00 -3.552419e-03 -7.799860e-04 1.322806e-05
-4.259364e+00  2.600381e-03 -2.967344e-03 1.556711e-05
-4.259038e+00 -8.534328e-04  5.808475e-03 3.446673e-05
-4.258713e+00 -1.154556e-03 -6.875140e-03 4.860055e-05
-4.258387e+00  2.809872e-03  5.841163e-03 4.201457e-05
-4.258062e+00 -3.606528e-03 -3.022202e-03 2.214075e-05
-4.257736e+00  3.300934e-03 -7.206162e-04 1.141545e-05
-4.257411e+00 -1.986376e-03  4.243753e-03 2.195512e-05
-4.257085e+00  6.453959e-05 -6.470637e-03 4.187330e-05
-4.256760e+00  1.877231e-03  6.720639e-03 4.869098e-05
-4.256434e+00 -3.245435e-03 -4.917097e-03 3.471069e-05
-4.256109e+00  3.621819e-03  1.610827e-03 1.571233e-05
-4.255783e+00 -2.891233e-03  2.188103e-03 1.314703e-05
-4.255458e+00  1.276863e-03 -5.318949e-03 2.992160e-05
-4.255132e+00  7.279547e-04  6.824949e-03 4.710985e-05
-4.254807e+00 -2.510489e-03 -6.245704e-03 4.531138e-05
-4.254481e+00  3.525884e-03  3.757925e-03 2.655386e-05
-4.254156e+00 -3.463702e-03 -1.215234e-04 1.201200e-05
-4.253830e+00  2.342831e-03 -3.552507e-03 1.810917e-05
-4.253505e+00 -5.057533e-04  6.141525e-03 3.797411e-05
-4.253179e+00 -1.486106e-03 -6.854274e-03 4.918959e-05
-4.252853e+00  3.023952e-03  5.472710e-03 3.909484e-05
-4.252528e+00 -3.637692e-03 -2.418700e-03 1.908291e-05
-4.252202e+00  3.139637e-03 -1.374792e-03 1.174737e-05
-4.251877e+00 -1.681897e-03  4.748715e-03 2.537908e-05
-4.251551e+00 -2.900711e-04 -6.672069e-03 4.460064e-05
-4.251226e+00  2.173592e-03  6.556948e-03 4.771807e-05
-4.250900e+00 -3.392957e-03 -4.438253e-03 3.121024e-05
-4.250575e+00  3.575395e-03  9.631033e-04 1.371102e-05
-4.250249e+00 -2.665033e-03  2.806809e-03 1.498058e-05
-4.249924e+00  9.400053e-04 -5.719579e-03 3.359719e-05
-4.249598e+00  1.072521e-03  6.885056e-03 4.855429e-05
-4.249273e+00 -2.757447e-03 -5.946875e-03 4.296883e-05
-4.248947e+00  3.599741e-03  3.191422e-03 2.314331e-05
-4.248622e+00 -3.341864e-03  5.395859e-04 1.145921e-05
-4.248296e+00  2.062518e-03 -4.106225e-03 2.111507e-05
-4.247971e+00 -1.526259e-04  6.418642e-03 4.122225e-05
-4.247645e+00 -1.804122e-03 -6.770075e-03 4.908877e-05
-4.247319e+00  3.209650e-03  5.052874e-03 3.583338e-05
-4.246994e+00 -3.634299e-03 -1.791468e-03 1.641749e-05
-4.246668e+00  2.948170e-03 -2.017788e-03 1.276317e-05
-4.246343e+00 -1.360859e-03  5.211002e-03 2.900648e-05
-4.246017e+00 -6.425692e-04 -6.812364e-03 4.682120e-05
-4.245692e+00  2.449811e-03  6.332339e-03 4.610010e-05
-4.245366e+00 -3.508462e-03 -3.917322e-03 2.765472e-05
-4.245041e+00  3.494865e-03  3.049883e-04 1.230710e-05
-4.244715e+00 -2.413061e-03  3.401031e-03 1.738988e-05
-4.244390e+00  5.935885e-04 -6.068327e-03 3.717694e-05
-4.244064e+00  1.407510e-03  6.881732e-03 4.933932e-05
-4.243739e+00 -2.978617e-03 -5.592447e-03 4.014763e-05
-4.243413e+00  3.639479e-03  2.594143e-03 1.997539e-05
-4.243088e+00 -3.188005e-03  1.197243e-03 1.159676e-05
-4.242762e+00  1.762068e-03 -4.623312e-03 2.447990e-05
-4.242437e+00  2.025976e-04  6.637137e-03 4.409263e-05
-4.242111e+00 -2.105550e-03 -6.623174e-03 4.829978e-05
-4.241786e+00  3.365145e-03  4.585415e-03 3.235023e-05
-4.241460e+00 -3.596318e-03 -1.146246e-03 1.424739e-05
-4.241134e+00  2.728302e-03 -2.643641e-03 1.443247e-05
-4.240809e+00 -1.026287e-03  5.626247e-03 3.270792e-05
-4.240483e+00 -9.895952e-04 -6.890087e-03 4.845260e-05
-4.240158e+00  2.703223e-03  6.048746e-03 4.389475e-05
-4.239832e+00 -3.590795e-03 -3.359020e-03 2.417682e-05
-4.239507e+00  3.380935e-03 -3.574642e-04 1.155850e-05
-4.239181e+00 -2.137670e-03  3.965226e-03 2.029265e-05
-4.238856e+00  2.408930e-04 -6.361855e-03 4.053122e-05
-4.238530e+00  1.729716e-03  6.814864e-03 4.943429e-05
-4.238205e+00 -3.171848e-03 -5.185567e-03 3.695073e-05
-4.237879e+00  3.644660e-03  1.971533e-03 1.717048e-05
-4.237554e+00 -3.003531e-03  1.845366e-03 1.242658e-05
-4.237228e+00  1.444305e-03 -5.098909e-03 2.808489e-05
-4.236903e+00  5.565392e-04  6.794859e-03 4.647984e-05
-4.236577e+00 -2.387492e-03 -6.414785e-03 4.684958e-05
-4.236252e+00  3.488903e-03  4.074540e-03 2.877432e-05
-4.235926e+00 -3.524050e-03 -4.889497e-04 1.265800e-05
-4.235600e+00  2.482074e-03 -3.246533e-03 1.670067e-05
-4.235275e+00 -6.813414e-04  5.990505e-03 3.635038e-05
-4.234949e+00 -1.327836e-03 -6.904376e-03 4.943356e-05
-4.234624e+00  2.931374e-03  5.708652e-03 4.118167e-05
-4.234298e+00 -3.639110e-03 -2.768415e-03 2.090724e-05
-4.233973e+00  3.234628e-03 -1.018147e-03 1.149944e-05
-4.233647e+00 -1.841439e-03  4.494116e-03 2.358797e-05
-4.233322e+00 -1.147348e-04 -6.597324e-03 4.353784e-05
-4.232996e+00  2.036049e-03  6.684922e-03 4.883368e-05
-4.232671e+00 -3.335250e-03 -4.729871e-03 3.349557e-05
-4.232345e+00  3.615170e-03  1.329282e-03 1.483645e-05
-4.232020e+00 -2.790145e-03  2.477948e-03 1.392514e-05
-4.231694e+00  1.112224e-03 -5.528528e-03 3.180167e-05
-4.231369e+00  9.058274e-04  6.890211e-03 4.829554e-05
-4.231043e+00 -2.647228e-03 -6.146689e-03 4.478960e-05
-4.230718e+00  3.579689e-03  3.524868e-03 2.523887e-05
-4.230392e+00 -3.418118e-03  1.743781e-04 1.171394e-05
-4.230067e+00  2.211783e-03 -3.820843e-03 1.949083e-05
-4.229741e+00 -3.292880e-04  6.300297e-03 3.980218e-05
-4.229415e+00 -1.654055e-03 -6.854954e-03 4.972629e-05
-4.229090e+00  3.132047e-03  5.315068e-03 3.805967e-05
-4.228764e+00 -3.652887e-03 -2.150888e-03 1.796990e-05
-4.228439e+00  3.057279e-03 -1.670954e-03 1.213904e-05
-4.228113e+00 -1.527150e-03  4.982734e-03 2.715982e-05
-4.227788e+00 -4.699149e-04 -6.772427e-03 4.608658e-05
-4.227462e+00  2.323563e-03  6.492963e-03 4.755752e-05
-4.227137e+00 -3.467212e-03 -4.229456e-03 2.990985e-05
-4.226811e+00  3.551230e-03  6.732771e-04 1.306454e-05
-4.226486e+00 -2.549824e-03  3.089113e-03 1.604422e-05
-4.226160e+00  7.689586e-04 -5.908097e-03 3.549690e-05
-4.225835e+00  1.247129e-03  6.922171e-03 4.947178e-05
-4.225509e+00 -2.882246e-03 -5.821227e-03 4.219402e-05
-4.225184e+00  3.636579e-03  2.941384e-03 2.187645e-05
-4.224858e+00 -3.279473e-03  8.376259e-04 1.145656e-05
-4.224533e+00  1.919959e-03 -4.361202e-03 2.270633e-05
-4.224207e+00  2.653500e-05  6.552637e-03 4.293776e-05
-4.223882e+00 -1.965125e-03 -6.742130e-03 4.931803e-05
-4.223556e+00  3.303282e-03  4.871506e-03 3.464324e-05
-4.223230e+00 -3.631933e-03 -1.512079e-03 1.547732e-05
-4.222905e+00  2.850520e-03 -2.309839e-03 1.346082e-05
-4.222579e+00 -1.197763e-03  5.426476e-03 3.088128e-05
-4.222254e+00 -8.212655e-04 -6.885409e-03 4.808333e-05
-4.221928e+00  2.589489e-03  6.240617e-03 4.565075e-05
-4.221603e+00 -3.566423e-03 -3.688839e-03 2.632691e-05
-4.221277e+00  3.453385e-03  9.544257e-06 1.192596e-05
-4.220952e+00 -2.284809e-03  3.673166e-03 1.871250e-05
-4.220626e+00  4.177575e-04 -6.233995e-03 3.903722e-05
-4.220301e+00  1.577180e-03  6.890297e-03 4.996368e-05
-4.219975e+00 -3.090264e-03 -5.441271e-03 3.915717e-05
-4.219650e+00  3.658971e-03  2.329401e-03 1.881418e-05
-4.219324e+00 -3.109375e-03  1.494669e-03 1.190225e-05
-4.218999e+00  1.609340e-03 -4.862543e-03 2.623430e-05
-4.218673e+00  3.827472e-04  6.745064e-03 4.564238e-05
-4.218348e+00 -2.258060e-03 -6.566802e-03 4.822172e-05
-4.218022e+00  3.443396e-03  4.381948e-03 3.105844e-05
-4.217696e+00 -3.576385e-03 -8.578388e-04 1.352641e-05
-4.217371e+00  2.616267e-03 -2.928872e-03 1.542314e-05
-4.217045e+00 -8.563863e-04  5.821143e-03 3.461910e-05
-4.216720e+00 -1.165435e-03 -6.935084e-03 4.945362e-05
-4.216394e+00  2.831256e-03  5.930075e-03 4.318180e-05
-4.216069e+00 -3.631881e-03 -3.112922e-03 2.288084e-05
-4.215743e+00  3.322507e-03 -6.558052e-04 1.146913e-05
-4.215418e+00 -1.997578e-03  4.224654e-03 2.183802e-05
-4.215092e+00  6.194931e-05 -6.503091e-03 4.229403e-05
-4.214767e+00  1.892819e-03  6.794737e-03 4.975122e-05
-4.214441e+00 -3.269255e-03 -5.010207e-03 3.579020e-05
-4.214116e+00  3.646590e-03  1.694504e-03 1.616896e-05
-4.213790e+00 -2.909386e-03  2.139425e-03 1.304167e-05
-4.213465e+00  1.282851e-03 -5.320147e-03 2.994967e-05
-4.213139e+00  7.359584e-04  6.875662e-03 4.781637e-05
-4.212814e+00 -2.530036e-03 -6.330445e-03 4.647562e-05
-4.212488e+00  3.550999e-03  3.850808e-03 2.743832e-05
-4.212163e+00 -3.486709e-03 -1.941734e-04 1.219484e-05
-4.211837e+00  2.356700e-03 -3.522289e-03 1.796056e-05
-4.211511e+00 -5.062479e-04  6.162977e-03 3.823857e-05
-4.211186e+00 -1.499135e-03 -6.920848e-03 5.014554e-05
-4.210860e+00  3.046519e-03  5.564072e-03 4.024017e-05
-4.210535e+00 -3.662900e-03 -2.506941e-03 1.970159e-05
-4.210209e+00  3.159782e-03 -1.316631e-03 1.171774e-05
-4.209884e+00 -1.690825e-03  4.738408e-03 2.531140e-05
-4.209558e+00 -2.950872e-04 -6.712770e-03 4.514835e-05
-4.209233e+00  2.191016e-03  6.636229e-03 4.884009e-05
-4.208907e+00 -3.417461e-03 -4.531897e-03 3.221713e-05
-4.208582e+00  3.599491e-03  1.042503e-03 1.404315e-05
-4.208256e+00 -2.681357e-03  2.765914e-03 1.483996e-05
-4.207931e+00  9.435707e-04 -5.729687e-03 3.371964e-05
-4.207605e+00  1.082801e-03  6.943086e-03 4.937890e-05
-4.207280e+00 -2.778429e-03 -6.035103e-03 4.414214e-05
-4.206954e+00  3.625010e-03  3.282897e-03 2.391812e-05
-4.206629e+00 -3.363698e-03  4.728105e-04 1.153802e-05
-4.206303e+00  2.074246e-03 -4.084554e-03 2.098608e-05
-4.205977e+00 -1.506652e-04  6.448701e-03 4.160844e-05
-4.205652e+00 -1.819169e-03 -6.842688e-03 5.013175e-05
-4.205326e+00  3.233183e-03  5.145861e-03 3.693336e-05
-4.205001e+00 -3.659125e-03 -1.876424e-03 1.691016e-05
-4.204675e+00  2.966702e-03 -1.966821e-03 1.266971e-05
-4.204350e+00 -1.367436e-03  5.209599e-03 2.900980e-05
-4.204024e+00 -6.499556e-04 -6.860959e-03 4.749521e-05
-4.203699e+00  2.468901e-03  6.416093e-03 4.726172e-05
-4.203373e+00 -3.533419e-03 -4.010650e-03 2.857037e-05
-4.203048e+00  3.518062e-03  3.793790e-04 1.252069e-05
-4.202722e+00 -2.427409e-03  3.368308e-03 1.723781e-05
