# x psi_r psi_i psi2 
-7.969726e+00  7.180024e-04 -2.011431e-03 4.561381e-06
-7.969400e+00 -1.137618e-03  3.280055e-03 1.205294e-05
-7.969075e+00  1.209195e-03 -3.546411e-03 1.403919e-05
-7.968749e+00 -9.108622e-04  2.729114e-03 8.277731e-06
-7.968424e+00  3.339073e-04 -1.077901e-03 1.273365e-06
-7.968098e+00  3.451543e-04 -9.026730e-04 9.339501e-07
-7.967773e+00 -9.185835e-04  2.607418e-03 7.642423e-06
-7.967447e+00  1.210970e-03 -3.515426e-03 1.382467e-05
-7.967122e+00 -1.132887e-03  3.349247e-03 1.250089e-05
-7.966796e+00  7.082479e-04 -2.159661e-03 5.165750e-06
-7.966471e+00 -6.697616e-05  3.101652e-04 1.006883e-07
-7.966145e+00 -5.947415e-04  1.634100e-03 3.024001e-06
-7.965820e+00  1.074477e-03 -3.079039e-03 1.063498e-05
-7.965494e+00 -1.225487e-03  3.583133e-03 1.434066e-05
-7.965169e+00  1.001596e-03 -2.992351e-03 9.957359e-06
-7.964843e+00 -4.713212e-04  1.487218e-03 2.433961e-06
-7.964518e+00 -2.031013e-04  4.723503e-04 2.643649e-07
-7.964192e+00  8.153485e-04 -2.287581e-03 5.897818e-06
-7.963866e+00 -1.178131e-03  3.403805e-03 1.297388e-05
-7.963541e+00  1.180487e-03 -3.479949e-03 1.350360e-05
-7.963215e+00 -8.217180e-04  2.492748e-03 6.889013e-06
-7.962890e+00  2.115994e-04 -7.438567e-04 5.980971e-07
-7.962564e+00  4.632103e-04 -1.232326e-03 1.733190e-06
-7.962239e+00 -9.962751e-04  2.831950e-03 9.012504e-06
-7.961913e+00  1.224534e-03 -3.566230e-03 1.421748e-05
-7.961588e+00 -1.078178e-03  3.210799e-03 1.147170e-05
-7.961262e+00  6.020053e-04 -1.874267e-03 3.875286e-06
-7.960937e+00  5.829787e-05 -3.497020e-05 4.621556e-09
-7.960611e+00 -7.007250e-04  1.933517e-03 4.229504e-06
-7.960286e+00  1.128751e-03 -3.241248e-03 1.177977e-05
-7.959960e+00 -1.211452e-03  3.558569e-03 1.413103e-05
-7.959635e+00  9.235504e-04 -2.788521e-03 8.628797e-06
-7.959309e+00 -3.531415e-04  1.166405e-03 1.485210e-06
-7.958984e+00 -3.252619e-04  8.121187e-04 7.653321e-07
-7.958658e+00  9.041213e-04 -2.542485e-03 7.281664e-06
-7.958332e+00 -1.206363e-03  3.495957e-03 1.367703e-05
-7.958007e+00  1.139545e-03 -3.381191e-03 1.273102e-05
-7.957681e+00 -7.241303e-04  2.233257e-03 5.511801e-06
-7.957356e+00  8.722103e-05 -4.029233e-04 1.699547e-07
-7.957030e+00  5.763310e-04 -1.550526e-03 2.736287e-06
-7.956705e+00 -1.063536e-03  3.030187e-03 1.031314e-05
-7.956379e+00  1.225362e-03 -3.583932e-03 1.434608e-05
-7.956054e+00 -1.012324e-03  3.042557e-03 1.028195e-05
-7.955728e+00  4.896176e-04 -1.571489e-03 2.709303e-06
-7.955403e+00  1.828376e-04 -3.797664e-04 1.776522e-07
-7.955077e+00 -7.993199e-04  2.214976e-03 5.545030e-06
-7.954752e+00  1.171243e-03 -3.373367e-03 1.275141e-05
-7.954426e+00 -1.184846e-03  3.500978e-03 1.366071e-05
-7.954101e+00  8.359882e-04 -2.558819e-03 7.246429e-06
-7.953775e+00 -2.314122e-04  8.347788e-04 7.504072e-07
-7.953450e+00 -4.439199e-04  1.144336e-03 1.506571e-06
-7.953124e+00  9.834110e-04 -2.773781e-03 8.660961e-06
-7.952799e+00 -1.222032e-03  3.555658e-03 1.413607e-05
-7.952473e+00  1.086804e-03 -3.251054e-03 1.175050e-05
-7.952147e+00 -6.191160e-04  1.953048e-03 4.197700e-06
-7.951822e+00 -3.794007e-05 -5.826241e-05 4.833957e-09
-7.951496e+00  6.833513e-04 -1.854323e-03 3.905484e-06
-7.951171e+00 -1.119679e-03  3.200293e-03 1.149556e-05
-7.950845e+00  1.213457e-03 -3.568369e-03 1.420573e-05
-7.950520e+00 -9.360165e-04  2.846081e-03 8.976304e-06
-7.950194e+00  3.722525e-04 -1.254135e-03 1.711427e-06
-7.949869e+00  3.053561e-04 -7.210269e-04 6.131221e-07
-7.949543e+00 -8.895133e-04  2.475868e-03 6.921154e-06
-7.949218e+00  1.201523e-03 -3.474172e-03 1.351353e-05
-7.948892e+00 -1.145953e-03  3.410895e-03 1.294741e-05
-7.948567e+00  7.398237e-04 -2.305373e-03 5.862084e-06
-7.948241e+00 -1.073952e-04  4.954143e-04 2.569690e-07
-7.947916e+00 -5.578513e-04  1.465924e-03 2.460130e-06
-7.947590e+00  1.052406e-03 -2.979327e-03 9.983949e-06
-7.947265e+00 -1.224988e-03  3.582356e-03 1.433387e-05
-7.946939e+00  1.022819e-03 -3.090747e-03 1.059888e-05
-7.946613e+00 -5.077674e-04  1.654719e-03 2.995921e-06
-7.946288e+00 -1.625889e-04  2.869305e-04 1.087643e-07
